ID,English,French,MSA,POS,EasyCODA,EasyRegion,EasyEasinessScore,MediumCODA,MediumRegion,MediumEasinessScore,HardCODA,HardRegion,HardEasinessScore
89,reservation,réservation,حَجْز,NOUN,حجز,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,رزرفاسيون,Morocco+Algeria,100,ريسيرفاسيون,Tunisia+Libya,0
92,help,aider,ساعَد,VERB,ساعد,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,ساند,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",150,اغاث,Qatar+Saudi+Oman+Yemen,50
93,shoe,chaussure,حِذاء,NOUN,حذا,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",1200,صباط,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Tunisia+Libya",150,سباط,Morocco+Algeria,50
95,credit,crédit,ٱِئْتِمان,NOUN,ائتمان,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",250,قرض,Syria+Lebanon+Jordan+Palestine,150,بطاقة ائتمان,Tunisia+Libya,50
96,thanks,merci,شُكْراً,NOUN,شكرا,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,يعيشك,"Morocco+Algeria, Tunisia+Libya",150,متشكر,Egypt+Sudan,50
98,cigarette,cigarette,سِيجارَة,NOUN,سيجارة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",1200,شكارة,Qatar+Saudi+Oman+Yemen,150,زقارة,Qatar+Saudi+Oman+Yemen,50
99,here,ici,هُنا,ADV,هنا,"Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,هنانا,Iraq,150,لهنا,Tunisia+Libya,50
100,tie,cravate,رَبْطَة عُنْق,NOUN,كرافات,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Tunisia+Libya",300,ربطة,"Syria+Lebanon+Jordan+Palestine, Iraq",150,كرافة,Syria+Lebanon+Jordan+Palestine,50
104,headache,mal de tête,صُداع,NOUN,صداع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,شقيقة,Morocco+Algeria,150,مصدع,Qatar+Saudi+Oman+Yemen,50
107,where,où,أَيْنَ,ADV,وين,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",1300,على هين,Qatar+Saudi+Oman+Yemen,100,فينه,Qatar+Saudi+Oman+Yemen,50
108,car,voiture,سَيّارَة,NOUN,سيارة,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,موتر,Qatar+Saudi+Oman+Yemen,150,طوموبيل,Morocco+Algeria,50
111,budget,budget,مِيزانِيَّة,NOUN,ميزانية,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1250,مصروف,Egypt+Sudan,150,بودجي,Morocco+Algeria,0
116,worry,se inquiéter,قَلِق,VERB,قلق,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,اتحير,Tunisia+Libya,150,تنشن,Egypt+Sudan,50
117,accident,accident,حادِث,NOUN,حادث,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",1300,دعمة,"Iraq, Qatar+Saudi+Oman+Yemen",150,كسدة,Morocco+Algeria,0
120,beef,boeuf,لَحْم بَقَرِيّ,ADJ,لحم بقر,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,بقري,"Egypt+Sudan, Morocco+Algeria, Tunisia+Libya",150,بتلو,Egypt+Sudan,50
122,ring,bague,خاتَم,NOUN,خاتم,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,خوصة,Tunisia+Libya,100,حلقة,Iraq,50
123,bus,bus,حافِلَة,NOUN,حافلة,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Morocco+Algeria, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",1250,توبيس,Morocco+Algeria,150,تاته,Iraq,50
126,meat,viande,لَحْم,NOUN,لحم,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,شركة,Qatar+Saudi+Oman+Yemen,150,ذبيحة,Qatar+Saudi+Oman+Yemen,50
129,vegetable,légume,خُضْرَة,NOUN,خضرة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,خضروات,Tunisia+Libya,150,خضراوات,Qatar+Saudi+Oman+Yemen,50
131,steak,steak,شَرِيحَة لَحْم,NOUN,شريحة لحم,Qatar+Saudi+Oman+Yemen,1100,شرحة,Syria+Lebanon+Jordan+Palestine,150,بفتيك,Egypt+Sudan,50
133,school,école,مَدْرَسَة,NOUN,مدرسة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1250,ليكول,Morocco+Algeria,100,المسيد,Morocco+Algeria,50
135,foreign,étranger,أَجْنَبِيّ,ADJ,اجنبي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,اعجمي,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",150,افرنجي,Qatar+Saudi+Oman+Yemen,50
136,use,usage,ٱِسْتِخْدام,NOUN,استخدام,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",300,فايدة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",150,استنفاع,Syria+Lebanon+Jordan+Palestine,50
137,natural,naturel,طَبِيعِيّ,ADJ,طبيعي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,فطري,Syria+Lebanon+Jordan+Palestine,150,نورمال,Morocco+Algeria,50
140,hear,entendre,سَمِع,VERB,سمع,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,تصنت,Morocco+Algeria,100,استاخ,Qatar+Saudi+Oman+Yemen,0
141,stop,arrêt,مَحَطَّة,NOUN,محطة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1250,نقطة,Qatar+Saudi+Oman+Yemen,150,لاري,Morocco+Algeria,50
143,coat,manteau,مِعْطَف,NOUN,معطف,Iraq,1100,سترة,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",150,بالطو,Iraq,50
144,contract,contrat,عَقْد,NOUN,عقد,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,كنتراتو,"Egypt+Sudan, Tunisia+Libya",100,تفاقية,Qatar+Saudi+Oman+Yemen,0
149,shirt,chemise,قَمِيص,NOUN,قميص,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",1300,بلوزة,Tunisia+Libya,150,فنلة,Egypt+Sudan,50
150,system,système,نِظام,NOUN,نظام,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,شبكة,Syria+Lebanon+Jordan+Palestine,150,سسطم,Morocco+Algeria,0
151,watch,regarder,شاهَد,VERB,شاهد,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,خزر,"Morocco+Algeria, Tunisia+Libya",150,حتر,Qatar+Saudi+Oman+Yemen,50
155,point,point,نُقْطَة,NOUN,نقطة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,اشارة,Qatar+Saudi+Oman+Yemen,150,بونط,Egypt+Sudan,50
156,arm,bras,ذِراع,NOUN,ذراع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",1250,زند,"Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",150,دراع,Morocco+Algeria,50
159,lock,enfermer,أَغْلَق,VERB,غلق,"Morocco+Algeria, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",1150,تربس,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan",150,طفى,Syria+Lebanon+Jordan+Palestine,50
160,child,enfant,طِفْل,NOUN,طفل,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,بوبو,Syria+Lebanon+Jordan+Palestine,150,زعطوط,Iraq,50
164,friend,ami,صَدِيق,NOUN,صديق,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,صحوبة,Tunisia+Libya,100,رفيج,Qatar+Saudi+Oman+Yemen,50
168,visit,visiter,زار,VERB,زار,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,راد,Qatar+Saudi+Oman+Yemen,150,داز,Morocco+Algeria,50
170,different,différent,مُخْتَلِف,ADJ,مختلف,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,فرق,Qatar+Saudi+Oman+Yemen,150,مبدل,Morocco+Algeria,50
171,shower,douche,دُوش,NOUN,دوش,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Iraq, Tunisia+Libya",1350,بانيو,Tunisia+Libya,150,سبحة,Qatar+Saudi+Oman+Yemen,50
174,new,nouveau,جَدِيد,ADJ,جديد,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,فرش,Qatar+Saudi+Oman+Yemen,150,بورقته,Syria+Lebanon+Jordan+Palestine,50
175,bottle,bouteille,زُجاجَة,NOUN,زجاجة,Qatar+Saudi+Oman+Yemen,1050,قارورة,Qatar+Saudi+Oman+Yemen,150,دبة,Qatar+Saudi+Oman+Yemen,50
178,street,rue,شارِع,NOUN,شارع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1300,زنقة,"Morocco+Algeria, Tunisia+Libya",150,زاروب,Syria+Lebanon+Jordan+Palestine,50
179,trip,voyage,رِحْلَة,NOUN,رحلة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,سفرية,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",150,ضهرة,Syria+Lebanon+Jordan+Palestine,0
180,forget,oublier,نَسِي,VERB,نسى,"Morocco+Algeria, Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,اهمل,Syria+Lebanon+Jordan+Palestine,100,سهى,Egypt+Sudan,50
183,place,endroit,مَكان,NOUN,مكان,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,بقعة,"Qatar+Saudi+Oman+Yemen, Tunisia+Libya",150,دعنة,Qatar+Saudi+Oman+Yemen,0
184,sure,sûr,مُتَأَكِّد,ADJ,متأكد,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,من جد,Qatar+Saudi+Oman+Yemen,100,مأكد,Syria+Lebanon+Jordan+Palestine,50
185,court,court,مَلْعَب,NOUN,ملعب,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1300,ميدان,Qatar+Saudi+Oman+Yemen,150,لاكور,Morocco+Algeria,50
186,"morning , a.m.",matin,صَباح,NOUN,صباح,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Qatar+Saudi+Oman+Yemen, Egypt+Sudan, Tunisia+Libya",1300,ضحى,Qatar+Saudi+Oman+Yemen,150,عبكرة,Syria+Lebanon+Jordan+Palestine,50
187,salad,salade,سَلَطَة,NOUN,سلاطة,"Iraq, Tunisia+Libya",1200,خضرة,Qatar+Saudi+Oman+Yemen,150,شلاضة,Morocco+Algeria,50
188,fish,poisson,سَمَك,NOUN,سمك,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",1300,بواسون,Morocco+Algeria,100,سردين,Morocco+Algeria,50
190,double,double,مُزْدَوِج,ADJ,مزدوج,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",1200,مدوبل,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria",150,مجوز,Syria+Lebanon+Jordan+Palestine,50
191,meal,repas,وَجْبَة,NOUN,وجبة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",1250,اكال,Tunisia+Libya,150,روبى,Morocco+Algeria,50
192,doctor,médecin,طَبِيب,NOUN,طبيب,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",1300,حكيم,Syria+Lebanon+Jordan+Palestine,150,تكتور,Qatar+Saudi+Oman+Yemen,50
193,police,police,شُرْطَة,NOUN,شرطة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",1250,درك,Syria+Lebanon+Jordan+Palestine,150,لابوليس,Morocco+Algeria,50
198,slope,pente,مُنْحَدَر,NOUN,منحدر,"Syria+Lebanon+Jordan+Palestine, Iraq, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",1250,دحديرة,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen",150,سفح,Qatar+Saudi+Oman+Yemen,50
199,letter,lettre,خِطاب,NOUN,خطاب,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",1200,ورقة,Qatar+Saudi+Oman+Yemen,150,قرطاسة,Qatar+Saudi+Oman+Yemen,50
200,hat,chapeau,قُبَّعَة,NOUN,قبعة,"Iraq, Qatar+Saudi+Oman+Yemen",1150,كاسكيت,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",150,بيريه,Egypt+Sudan,50
