ID,English,French,MSA,POS,Category,CODA,Region,ASimLevel,FSimLevel,DFreqLevel,DComLevel,EasinessScore
16,white,blanc,أَبْيَض,ADJ,Easy,ابيض,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
16,white,blanc,أَبْيَض,ADJ,Hard,ابيضاني,Iraq,D,D,M,L,50
16,white,blanc,أَبْيَض,ADJ,Easy,احمر,Egypt+Sudan,D,D,H,L,200
16,white,blanc,أَبْيَض,ADJ,Easy,بلون,Morocco+Algeria,D,S,M,L,250
16,white,blanc,أَبْيَض,ADJ,Easy,بيض,Morocco+Algeria,S,D,H,L,1200
17,stamp,timbre,طابِع,NOUN,Easy,تامبر,Morocco+Algeria,D,S,M,L,200
17,stamp,timbre,طابِع,NOUN,Easy,تمبر,Morocco+Algeria,D,S,M,L,200
17,stamp,timbre,طابِع,NOUN,Medium,تمبري,Tunisia+Libya,D,S,L,L,150
17,stamp,timbre,طابِع,NOUN,Easy,ختم,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Egypt+Sudan",D,D,H,M,250
17,stamp,timbre,طابِع,NOUN,Medium,دمغة,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine",D,D,L,M,100
17,stamp,timbre,طابِع,NOUN,Easy,طابع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,M,H,1250
17,stamp,timbre,طابِع,NOUN,Easy,طابعة,Egypt+Sudan,S,D,M,L,1150
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,ازبتالية,Egypt+Sudan,D,D,L,L,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,اسبتالية,Egypt+Sudan,D,D,L,L,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Medium,اوبطال,Morocco+Algeria,D,D,L,L,100
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,دختر,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,سبطار,Morocco+Algeria,D,D,L,L,50
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,سبيتار,Tunisia+Libya,D,D,M,L,50
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Medium,سبيطار,"Morocco+Algeria, Tunisia+Libya",D,D,M,M,150
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,سبيطال,Tunisia+Libya,D,D,L,L,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,صبيطار,Tunisia+Libya,D,D,L,L,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Easy,مستشفى,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Medium,مشفى,Syria+Lebanon+Jordan+Palestine,D,D,M,L,150
19,watch,montre,ساعَة,NOUN,Easy,ساعة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
19,watch,montre,ساعَة,NOUN,Medium,ساعة ايد,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
19,watch,montre,ساعَة,NOUN,Medium,ساعة يد,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
19,watch,montre,ساعَة,NOUN,Medium,مكانة,Morocco+Algeria,D,D,M,L,150
19,watch,montre,ساعَة,NOUN,Hard,منقالة,Tunisia+Libya,D,D,L,L,0
20,"pain , hurt","douleur , mal",أَلَم,NOUN,Easy,الم,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
20,"pain , hurt","douleur , mal",أَلَم,NOUN,Medium,جرح,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
20,"pain , hurt","douleur , mal",أَلَم,NOUN,Medium,حرق,Morocco+Algeria,D,D,H,L,150
20,"pain , hurt","douleur , mal",أَلَم,NOUN,Medium,حريق,Morocco+Algeria,D,D,H,L,150
20,"pain , hurt","douleur , mal",أَلَم,NOUN,Medium,سهر,Qatar+Saudi+Oman+Yemen,D,D,H,L,150
20,"pain , hurt","douleur , mal",أَلَم,NOUN,Easy,ضر,Syria+Lebanon+Jordan+Palestine,D,D,H,L,200
20,"pain , hurt","douleur , mal",أَلَم,NOUN,Easy,عذاب,Syria+Lebanon+Jordan+Palestine,D,D,H,L,200
20,"pain , hurt","douleur , mal",أَلَم,NOUN,Medium,عوار,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
20,"pain , hurt","douleur , mal",أَلَم,NOUN,Easy,وجع,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",D,D,H,H,300
20,"pain , hurt","douleur , mal",أَلَم,NOUN,Medium,وجيعة,Tunisia+Libya,D,D,M,L,150
21,special,spécial,خاصّ,ADJ,Easy,خاص,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
21,special,spécial,خاصّ,ADJ,Easy,خاصة,Tunisia+Libya,S,D,M,L,1150
21,special,spécial,خاصّ,ADJ,Easy,خصوصي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",D,D,M,M,200
21,special,spécial,خاصّ,ADJ,Easy,سبسيال,"Morocco+Algeria, Tunisia+Libya",D,S,M,M,250
21,special,spécial,خاصّ,ADJ,Medium,سبيشل,Egypt+Sudan,D,S,M,L,150
21,special,spécial,خاصّ,ADJ,Easy,متميز,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",D,D,H,M,250
21,special,spécial,خاصّ,ADJ,Easy,مخصوص,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",D,D,M,M,200
21,special,spécial,خاصّ,ADJ,Easy,مميز,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",D,D,H,M,250
22,personal,personnel,شَخْصِيّ,ADJ,Hard,بريفي,Morocco+Algeria,D,D,M,L,50
22,personal,personnel,شَخْصِيّ,ADJ,Easy,خاص,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",D,D,H,H,300
22,personal,personnel,شَخْصِيّ,ADJ,Easy,خصوصي,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",D,D,M,H,250
22,personal,personnel,شَخْصِيّ,ADJ,Easy,ذاتي,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",D,D,H,M,200
22,personal,personnel,شَخْصِيّ,ADJ,Easy,شخصي,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
23,stay,séjour,إِقامَة,NOUN,Easy,اقامة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",S,D,M,H,1250
23,stay,séjour,إِقامَة,NOUN,Medium,بيات,Egypt+Sudan,D,D,M,L,150
23,stay,séjour,إِقامَة,NOUN,Medium,جلسة,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
23,stay,séjour,إِقامَة,NOUN,Easy,سجور,Morocco+Algeria,D,S,L,L,200
23,stay,séjour,إِقامَة,NOUN,Easy,سيجور,Tunisia+Libya,D,S,L,L,200
23,stay,séjour,إِقامَة,NOUN,Medium,قعاد,Egypt+Sudan,D,D,M,L,150
23,stay,séjour,إِقامَة,NOUN,Easy,قعدة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",D,D,M,H,250
23,stay,séjour,إِقامَة,NOUN,Easy,مبيت,"Morocco+Algeria, Qatar+Saudi+Oman+Yemen",D,D,M,M,200
23,stay,séjour,إِقامَة,NOUN,Medium,نزلة,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
24,fruit,fruit,فاكِهَة,NOUN,Medium,ثمر,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",D,D,M,M,150
24,fruit,fruit,فاكِهَة,NOUN,Medium,خضرة,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
24,fruit,fruit,فاكِهَة,NOUN,Hard,ديسار,Tunisia+Libya,D,D,L,L,50
24,fruit,fruit,فاكِهَة,NOUN,Medium,غلة,Tunisia+Libya,D,D,M,L,100
24,fruit,fruit,فاكِهَة,NOUN,Easy,فاكهة,"Egypt+Sudan, Iraq, Tunisia+Libya, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
24,fruit,fruit,فاكِهَة,NOUN,Hard,فاكية,Morocco+Algeria,D,D,L,L,50
24,fruit,fruit,فاكِهَة,NOUN,Easy,فروي,Morocco+Algeria,D,S,M,L,250
24,fruit,fruit,فاكِهَة,NOUN,Medium,فواكة,Syria+Lebanon+Jordan+Palestine,D,D,M,L,150
24,fruit,fruit,فاكِهَة,NOUN,Easy,فواكه,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Morocco+Algeria, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
24,fruit,fruit,فاكِهَة,NOUN,Hard,فواكي,Syria+Lebanon+Jordan+Palestine,D,D,L,L,50
24,fruit,fruit,فاكِهَة,NOUN,Medium,فوالة,Qatar+Saudi+Oman+Yemen,D,D,L,L,100
24,fruit,fruit,فاكِهَة,NOUN,Medium,هبش,Qatar+Saudi+Oman+Yemen,D,D,M,L,100
25,message,message,رِسالَة,NOUN,Medium,اس ام اس,Morocco+Algeria,D,D,H,L,100
25,message,message,رِسالَة,NOUN,Easy,جواب,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",D,D,H,M,250
25,message,message,رِسالَة,NOUN,Easy,خطاب,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",D,D,H,M,200
25,message,message,رِسالَة,NOUN,Easy,رسالة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,M,H,1250
25,message,message,رِسالَة,NOUN,Easy,مساج,Morocco+Algeria,D,S,H,L,250
25,message,message,رِسالَة,NOUN,Easy,مسج,Qatar+Saudi+Oman+Yemen,D,S,M,L,200
25,message,message,رِسالَة,NOUN,Easy,مكتوب,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya",D,D,H,M,250
26,american,américain,أَمْرِيكِيّ,ADJ,Easy,اميركاني,Syria+Lebanon+Jordan+Palestine,D,S,L,L,200
26,american,américain,أَمْرِيكِيّ,ADJ,Easy,امريكاني,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",D,S,M,M,300
26,american,américain,أَمْرِيكِيّ,ADJ,Easy,امريكي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
26,american,américain,أَمْرِيكِيّ,ADJ,Medium,امركاني,Syria+Lebanon+Jordan+Palestine,D,S,L,L,150
26,american,américain,أَمْرِيكِيّ,ADJ,Easy,اميركي,Syria+Lebanon+Jordan+Palestine,S,D,M,L,1150
26,american,américain,أَمْرِيكِيّ,ADJ,Medium,مركاني,Morocco+Algeria,D,S,L,L,150
27,leather,cuir,جِلْد,NOUN,Easy,جلد,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
27,leather,cuir,جِلْد,NOUN,Easy,كوير,"Morocco+Algeria, Tunisia+Libya",D,S,M,M,300
28,cold,froid,بارِد,ADJ,Easy,بارد,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",S,D,H,H,1300
28,cold,froid,بارِد,ADJ,Easy,برد,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",S,D,H,M,1250
28,cold,froid,بارِد,ADJ,Medium,ثالج,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
28,cold,froid,بارِد,ADJ,Easy,ثلج,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
28,cold,froid,بارِد,ADJ,Medium,ساقع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan",D,D,M,M,150
28,cold,froid,بارِد,ADJ,Hard,صاقط,Egypt+Sudan,D,D,M,L,50
28,cold,froid,بارِد,ADJ,Hard,صردة,Qatar+Saudi+Oman+Yemen,D,D,L,L,0
28,cold,froid,بارِد,ADJ,Hard,صقع,Tunisia+Libya,D,D,M,L,50
28,cold,froid,بارِد,ADJ,Easy,فري,Morocco+Algeria,D,S,M,L,250
28,cold,froid,بارِد,ADJ,Hard,قرصة,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
28,cold,froid,بارِد,ADJ,Hard,مسقع,Syria+Lebanon+Jordan+Palestine,D,D,M,L,50
28,cold,froid,بارِد,ADJ,Hard,مصقع,Tunisia+Libya,D,D,M,L,50
29,music,musique,مُوسِيقَى,NOUN,Medium,دق طبل,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
29,music,musique,مُوسِيقَى,NOUN,Medium,طرب,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
29,music,musique,مُوسِيقَى,NOUN,Hard,لاموزيك,Morocco+Algeria,D,D,L,L,0
29,music,musique,مُوسِيقَى,NOUN,Medium,مزيكة,Egypt+Sudan,D,S,L,L,150
29,music,musique,مُوسِيقَى,NOUN,Medium,موزيكة,Tunisia+Libya,D,S,L,L,150
29,music,musique,مُوسِيقَى,NOUN,Easy,موسيقى,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
29,music,musique,مُوسِيقَى,NOUN,Easy,موسيقي,Qatar+Saudi+Oman+Yemen,S,D,H,L,1200
30,blanket,couverture,بَطّانِيَّة,NOUN,Hard,برنوص,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
