ID,English,French,MSA,POS,Easy_target,Medium_target,Hard_target,Easy_distractor_1,Easy_distractor_2,Medium_distractor_1,Medium_distractor_2,Hard_distractor_1,Hard_distractor_2
117,accident,accident,حادِث,NOUN,اكسيدون,دعمة,كسدة,اسيون,مادام,عمة,دكمة,كسوة,كنية
118,order,commande,طَلَب,NOUN,اوردر,امر,,كورنر,ابرطر,امن,زمر,مبلا,بوكس
120,beef,boeuf,لَحْم بَقَرِيّ,ADJ,لحم عجل,بقري,شمبري,معطل,متعطل,عدل,عطل,مبطي,بكله
123,bus,bus,حافِلَة,NOUN,بص,بوس,كار,صاص,بصة,موس,يم,دار,كارو
124,local,local,مَحَلِّيّ,ADJ,بلدي,منزلي,موضعي,بجد,باقي,منزل,امانة,مثني,جوهري
131,steak,steak,شَرِيحَة لَحْم,NOUN,ستيك,شطفة لحم,بفتيك,سويك,شيك,شطفة,قرعة,قحمة,شركة
135,foreign,étranger,أَجْنَبِيّ,ADJ,خارجي,براني,افرنجي,جريب,صعيب,سوري,واجد,فري,ابري
136,use,usage,ٱِسْتِخْدام,NOUN,استعمال,استغلال,ستعمال,استعجالي,استعلام,فاكية,فليجة,سعما,امال
137,natural,naturel,طَبِيعِيّ,ADJ,عادي,ناتورال,فطري,ثاني,باهي,اهواي,داروا,فري,فير
140,hear,entendre,سَمِع,VERB,تسمع,فهم,تصنت,سمع,تسمح,هم,نهم,اتصنت,استر
142,view,vue,مَنْظَر,NOUN,مشهد,فيو,فرجة,مشاي,موعد,فير,عطلة,فرزة,فرة
143,coat,manteau,مِعْطَف,NOUN,كوت,جاكيتة,بالطو,كوتي,كوس,فترة,سفرة,كود,كبوس
148,class,classe,دَرَجَة,NOUN,مستوى,مكانة,طراز,طبخة,كلاص,صج,صك,طران,طراد
149,shirt,chemise,قَمِيص,NOUN,شميز,فنيلة,قمجة,ميز,شميزة,فاميلة,شيرة,قمة,سفرية
151,watch,regarder,شاهَد,VERB,شاف,ابصر,دحج,عاف,تربع,حور,طلع,راعى,غير
156,arm,bras,ذِراع,NOUN,ايد,ساعد,دراع,قد,صيد,زنس,سند,كراع,درج
159,lock,enfermer,أَغْلَق,VERB,سكر,شد,طفى,قال,سبر,تربع,قد,طرى,غفى
160,child,enfant,طِفْل,NOUN,فرخ,بيبي,صبي,جليد,فرة,وفد,وادم,لنتي,بي
161,room,chambre,غُرْفَة ، حُجْرَة,NOUN,بيت,دار,صفة,بيس,بين,موضة,كار,صحة,صفحة
164,friend,ami,صَدِيق,NOUN,امي,خبير,زميل,ام,امن,رب,آل,ميل,ريم
166,side,côté,جانِب,NOUN,طرف,ناحية,صفحة,طرب,وجع,ام,فوج,صفة,صحة
170,different,différent,مُخْتَلِف,ADJ,غير,عكس,متفاوت,صغير,فير,فرش,فري,عدل,قبال
171,shower,douche,دُوش,NOUN,حمام,شاور,بانيو,لمام,حرام,شور,شاذر,سبتة,صبوح
173,country,pays,بَلَد,NOUN,دولة,قطر,ديرة,دوخة,دورة,كيف,ريح,دايرة,سيرة
174,new,nouveau,جَدِيد,ADJ,حديث,جديد لنج,مودرن,رديء,ردي,كوري,سوري,فري,شديد
175,bottle,bouteille,زُجاجَة,NOUN,بطل,قزازة,غرشة,اطل,بكل,قزاز,اجازة,جرعة,كيشة
178,street,rue,شارِع,NOUN,طريق,زنقة,زاروب,حريق,درك,فرقة,زنس,سحارة,حجارة
179,trip,voyage,رِحْلَة,NOUN,سفرة,طلعة,جولة,سهر,سور,طلة,سلعة,رودة,جوة
182,night,nuit,لَيْل,NOUN,مسا,عشا,فالليل,مشا,عشت,مشي,عمي,بالليل,الليلة
183,place,endroit,مَكان,NOUN,موقع,جهة,دعنة,مول,موضة,جيهة,طرح,لعنة,دعمة
184,sure,sûr,مُتَأَكِّد,ADJ,اكيد,من جد,متيقن,سوى,سوري,حقيقة,عن جد,مزيان,مليق
190,double,double,مُزْدَوِج,ADJ,مضاعف,ثنين,زوز,اقل,عفش,مقبل,قنين,عزوز,مجهز
191,meal,repas,وَجْبَة,NOUN,صحن,فطور,روبى,شكل,شحن,رس,درب,طلة,مكلة
192,doctor,médecin,طَبِيب,NOUN,دكتور,حكيم,تكتور,فكتورة,شختورة,حكي,ميدان,دختر,مكتوب
193,police,police,شُرْطَة,NOUN,بوليس,درك,لابوليس,بولي,بلوس,تمن,امة,صعدة,نجاع
195,boat,bateau,قارِب,NOUN,زورق,فلوكة,طراد,باتي,مركوب,بسبور,وابور,لنجة,طران
199,letter,lettre,خِطاب,NOUN,مكتوب,كلمة,قرطاسة,جوا,جاب,كمة,كلية,برودة,بروج
200,hat,chapeau,قُبَّعَة,NOUN,شابو,كاسكيت,كلاو,شاب,طاقة,ناب,كعب,كلمة,كلاص
202,soup,soupe,حَساء,NOUN,شربة,مرقة,صوبة,شرحة,شرفة,مرة,فرقة,طوبة,صوب
203,clothes,vêtement,مَلابِس,NOUN,هدوم,كسوة,قش,طياب,اياب,وي,زين,طش,قشر
205,dish,plat,طَبَق,NOUN,صحن,تبسي,صينية,صحة,شحن,بلاش,سبسي,ورا,قطعة
207,form,formulaire,ٱِسْتِمارَة,NOUN,نموذج,ورقة,اورنيك,نمونة,كموند,فرقة,طلة,كيشة,كلية
209,"want , would like",vouloir,أَراد ، وَدّ ، رَغِب,VERB,حب,كان مشتهي,اشتى,سلب,احتار,عاش,شاط,اشتا,حاتى
211,smoking,fumer,تَدْخِين,NOUN,دخان,شراب السجاير,دوخة,دباب,دزدان,ورا الظهر,كرت السعر,دورة,كيف
212,sit,se asseoir,جَلَس,VERB,قعد,تربع,كدس,قاعد,قد,روح,ريع,هجر,هج
214,"best , better",meilleur,أَفْضَل,ADJ,احسن,خير,ازبط,اجدد,اجد,بخير,خطير,اعزب,ابري
217,seem,sembler,بَدا,VERB,شكله,كان شكل,تهايا,بات,كان,وجه,كعد,راح,لاحق
218,operator,opérateur,عامِل ال+ تِلِفُون,NOUN,عامل التلفون,عامل المقسم,المرة,عامل الفندق,ام الخلول,بدلة,ازالة,بالمرة,امة
219,explain,expliquer,شَرَح,VERB,وضح,فصل,علل,بيت,فكر,جبر,عبر,عتل,عزل
220,depend,dépendre,تَوَقَّف عَلَى,ADP,اعتمد,قايم على,اتكل,سع,جنب,ساير صلى,بالاضافة,اشتغل,فحال
222,table,table,مائِدَة,NOUN,طاولة,طبلية,تخت,خاولي,اول,طبخة,طابة,فرة,ولية
224,stomach,estomac,مَعِدَة,NOUN,بطن,كرشة,ليسطومة,كطن,بين,غرشة,كرة,ديسطونس,ليسونس
226,steal,voler,سَرَق,VERB,باق,اختلس,شل,نهض,ذهب,ساب,نشد,طل,شاط
227,give,donner,أَعْطَى,VERB,جاب,هز,مكن,ساب,جاز,نال,غدى,ممكن,تمكن
228,seat,place,مَقْعَد,NOUN,مكان,محل,دكة,كان,تكان,بلاكة,صعدة,سكة,دكمة
230,size,taille,مَقاس ، حَجْم,NOUN,طول,كبر,قامة,جول,قش,ياي,كفر,قائمة,قمة
231,"speak , talk",parler,تَحَدَّث ، تَكَلَّم,VERB,قال,اتحاكى,تجابر,تكلم,سلم,حوى,هبر,دشدش,حاكى
232,look for,chercher,بَحَث,VERB,فتش,ابصر وين,لوج,حور,دوز,جلب,طلب,نشل,تحكى
233,maybe,peut-être,رُبَّما,ADV,امكن,قد يكون,بيجوز,بالاك,بلكشي,احين,امتين,يجوز,بايش
235,case,cas,حالَة,NOUN,كيس,قضية,مسألة,كاس,كويس,طرف,تقضية,مساحة,ماكلة
236,bed,lit,سَرِير,NOUN,فرش,عن قريب,ناموسية,قرش,فرة,قريب,تقريب,قعاد,يخت
237,driver 's license,permis de conduire,رُخْصَة قِيادَة,NOUN,رخصة,برمي,اجازة,رخص,خرخرة,بري,برمة,ازازة,جزازة
238,wonderful,merveilleux,رائِع,ADJ,هايل,شي كبير,بيعقد,جليل,عليل,خير,يصير,يهبل,باهي
239,plate,assiette,طَبَق,NOUN,صحن,ماعون,وعا,شحن,صحة,معونة,ماين,رحلة,سبسي
241,lipstick,rouge à lèvre,أَحْمَر ال+ شِفاه,NOUN,روج الافر,احمر شفايف,بترة,حارة,نمرة,ومية,سومة,سترة,عوار
242,call,appel,مُكالَمَة,NOUN,اتصال,مخابرة,تعيطة,امال,اتجاه,قبال,اكال,تيكة,تعياط
244,fever,fièvre,حُمَّى,NOUN,حرارة,سخانة,حرارة مرتفعة,سمانة,حجارة,كلونية,صونية,باباة,ردة
245,old,vieux,قَدِيم,ADJ,عتيق,عجوز,شارف,شايح,خايب,مجوز,شابة,طارف,مقرف
248,picture,photo,صُورَة,NOUN,تصويرة,رسمة,تابلوه,تضويرة,مصويرة,رسوم,ريم,فوز,فوقت
249,line,ligne,خَطّ,NOUN,سطر,صف,طابور,قطر,سور,صج,حق,وابور,بابور
250,serve,servir,قَدَّم,VERB,ضيف,سيرفى,دنى,خمم,قدم,عرف,امل,سلب,درى
251,idea,idée,فِكْرَة,NOUN,ايدي,راي,شور,ياي,تاي,مشي,رس,شوي,سور
254,pay,payer,دَفَع,VERB,خلص,تك,اوفى,سرد,سند,سدك,شك,وفى,ساوى
259,people,gens,ناس,NOUN,اهل,رجال,جماعة,نفس,اكل,قوام,درب,يمة,جمادة
260,subway,métro,مِتْرُو ال+ انَفَاق,NOUN,مترو الانفاق,قطار الانفاق,نفق,موتر,جيرو,قطر,فطور,نفر,ترينو
261,"baggage , luggage",bagage,مَتاع,NOUN,اغراض,شناطي,شواكيش,جنطة,شط,عيش,شحنة,جنب,جني
263,right,bon,صَحِيح,ADJ,صح,كاين منها,باهي,قصح,صج,مزبوط,عجل,زاهي,باقي
265,price tag,étiquette de prix,بِطاقَة ال+ سِعْر,NOUN,سعر,كرت,علامة,سهر,سير,تيكا,جاج,تكت,كار
266,put,mettre,وَضَع,VERB,حط,ترك,ذب,حل,حطم,قرب,برك,كب,ذهب
268,aisle,couloir,مَمَرّ,NOUN,كولوار,ممشى,مخطف,روتور,مخمرة,مشى,منشف,حجة,حجاة
270,wonder,demander,تَساءَل,VERB,استغرب,تعجب,استفسر,اغترب,استقرض,تعقب,انعجب,استخبر,استفاد
272,join,joindre,ٱِنْضَمّ,VERB,اشترك,انتمى,ولى,دخلي,خل,جاز,جر,دق,وصى
274,family,famille,أُسْرَة,NOUN,عايلة,ناس البيت,لافامي,اطل,ميلة,فانيلة,امجاد,حل,آلة
275,building,bâtiment,مَبْنَى,NOUN,عمارة,بنيان,موبل,امارة,شقارة,بنة,بلا,مودل,مول
276,help,aide,مُساعَدَة,NOUN,دعم,مساندة,نجدة,بون,دعمة,زند,سقد,ميلة,جمعية
277,what time,à quelle heure,مَتَى,ADV,الساعة كم,متين,احين,مقتى,تى,امكن,بقداش,حين,اي حين
278,break,casser,كَسَر,VERB,خرب,صار رجيع,حطم,خنب,ضرب,دق,زت,طب,بحبش
280,start,commencer,بَدَأ,VERB,ابتدا,شرع,كماصا,اشتا,استضا,كرع,هرس,بدى,باصر
281,send,envoyer,أَرْسَل,VERB,ودى,وجه,صافط,ولى,ادى,وصى,جه,طبش,عدى
283,ready,prêt,جاهِز,ADJ,مستعد,مجهز,واتي,واعر,جائز,مجوز,واجب,واطي,واجي
284,dress,robe,فُسْتان,NOUN,روبة,ثوب نسائي,كسوة,نوبة,طوبة,دري,قريدس,بدالة,كروة
287,customs,douane,ال+ جَمارِك,NOUN,ديوانة,الرسوم,التفتيش,ليونة,سيمانة,جمارك,رسوم,لافان,اوان
289,center,centre,مَرْكَز,NOUN,سنتر,مقر,فسط,بوسط,بقلب,ورطة,محضر,فسخ,فوسط
290,prescription,ordonnance,رُوشِتَّة ، وصفة دواء,NOUN,وصفة,اردوننس,ورقة الدوا,صفة,وصية,ارجنس,ارجونس,تسكرة,تيكة
292,good,bon,جَيِّد,ADJ,جميل,بخير,يشهي,مليق,زوين,خطير,اخير,ثنين,قنين
294,do you mind,ça vous déranger,هَلْ تُمانِع,VERB,لو سمحت,عفوا,وخا,ما ضل,عن باله,مكن,تمكن,وكف,طرا
295,problem,problème,مُشْكِلَة,NOUN,اشكالية,ورطة,بلشة,اكال,الحال,وسطة,ورقة,جزمة,سلفة
298,include,comprendre,شَمِل,VERB,اشتمل,فيه,خشش,هم,ضل,ثمن,غفي,ادرك,تفرج
300,hot,chaud,ساخِن,ADJ,حامي,يحرق,ملهلب,حاضر,حر,داوي,وافد,يسبر,خاوي
303,return,retour,عَوْدَة,NOUN,رجوع,ردة,اياب,طلوع,رسمة,مدة,جردة,جيم,جيهة
304,elevator,ascenseur,مِصْعَد,NOUN,سانسور,صونصير,اصنصيل,سانتورة,سي سور,لفظ,لفة,صونية,خنزير
305,business,affaire,عَمَل,NOUN,شغل,افير,مهمة,شكل,شغال,صنة,حجة,هدمة,مهرة
306,find,trouver,وَجَد,VERB,لقي,جبر,صاب,بقى,لقط,دار,شطف,عصر,غاب
307,stop,arrêter,تَوَقَّف,VERB,حبس,اتعطل,تبسمر,كبس,نطل,طل,حصل,جبد,حمد
310,see,voir,رَأَى,VERB,شاف,نظر,رابى,خاف,عاف,بات,نطر,بيت,حضر
311,suggest,suggérer,ٱِقْتَرَح,VERB,عرض,طرح,وصى,عرف,فر,طرى,طاح,وصل,وفى
312,floor,étage,طابِق,NOUN,دور,ايتاج,طاق,دار,مور,تاج,ايعاز,طاس,طاقة
314,go,aller,ذَهَب,VERB,مشي,رحل,ضوى,راد,رزح,فتت,تحرى,حوى,روى
317,keep,garder,ٱِحْتَفَظ,VERB,حفظ,حافض على,دعى,ختى,خلف,حصل على,على باله,سعى,تبقى
318,jacket,veste,سُتْرَة,NOUN,جاكت,قميص,كبوت,جاكيتة,ذات,حلوف,قيد,كبوس,كود
322,like,aimer,أَحَبّ,VERB,اعجب,بغى,اشتا,عجبه,تعجب,نوى,روى,ركب,اشتى
323,ask,demander,سَأَل,VERB,طلب,استفسر,سقسى,طلع,طل,نجد,شد,قسم,تقفى
324,exchange,change,صَرْف,NOUN,تبديل,شونج,مقايضة,تبطيل,تنزيل,تحصيل,بدلة,مقابلة,ملاية
326,rent,louer,ٱِسْتَأْجَر,VERB,اجر,كرى,ستقعد,اجى,اشر,صرى,طرى,قعد,ساند
327,departure,départ,مُغادَرَة,NOUN,انطلاق,طلوع,شومة,بروج,فروج,ديسار,مشى,سيدة,سومة
332,box,boîte,صُنْدُوق,NOUN,كرتون,علبة,باكو,ريون,كروة,حقة,بوك,باكي,بانو
334,work,travail,عَمَل,NOUN,دوام,موضوع,كد,شتلة,شغال,هدمة,موزع,مرة,مامة
338,press,appuyer,ضَغَط,VERB,زر,عصر,سدك,زت,زخ,عثر,برم,حوس,سد
340,follow,suivre,ٱِتَّبَع,VERB,لحق,راقب,ترصد,تربع,تابع,طارح,قمر,تعب,تلف
341,list,liste,قائِمَة,NOUN,جدول,لايحة,فهرس,جول,كيف,دائرة,دايرة,فلوس,فير
343,exit,sortie,خُرُوج,NOUN,منفذ,طلعة,صرفة,مدرج,خرج,طلة,سلعة,صرفية,شرفة
344,front,"en face de , face à",أَمام,NOUN,مقدمة,مقابيل,فوش,ادام,قوام,وجهة,موجه,فوج,قعاد
345,single,simple,مُفْرَد,ADJ,وحيد,فردي,مفرداني,ردي,وافد,صردة,خايب,براني,مركاني
346,part,partie,جُزْء,NOUN,طرف,حصة,نتفة,ظرف,كسم,خوي,حقة,شطة,حكة
347,use,utiliser,ٱِسْتَخْدَم,VERB,خدم,شغل,تعاطى,شكل,خمم,اتغلب,استنى,وكف,توظف
349,drink,boisson,مَشْرُوب,NOUN,شراب,بواسون,حاجة نشربها,شاب,شربت,شرحة,شرفة,زرعة,جمعة
350,great,génial,عَظِيم,ADJ,مهم,شي كبير,موش نرمال,كتير,رافع,اضخم,رزين,تحفة,لايق
351,drop,tomber,سَقَط,VERB,طاح,تفلت,نكع,نشل,نقل,طل,ذب,كبس,هبش
352,happen,passer,حَدَث,VERB,جرى,طرى,داز,دار,حل,درى,طرش,داس,صايب
353,change,monnaie,فَكَّة,NOUN,صرافة,تبديل,فراطة,صرفة,صف,كرافة,جرافة,فرشية,طماطة
355,fill,remplir,مَلَأ,VERB,ترا,حشا,ترس,عار,عبى,حيا,اول,هرس,ترك
356,ticket,billet,تَذْكَرَة,NOUN,تكت,بطاقة دخول,بيي,تخت,تيكت,تيكة,طاقة,بيبي,بري
357,other,autre,أُخْرَى,ADJ,غير,واحد آخر,لاخ,فير,صغير,باهي,وحد آخر,ماخر,لخر
360,have,devoir,ٱِضْطَرّ,VERB,كان لازم,كان خاصه,تلز,كان لازمه,صار لازم,عزم,جزم,تلف,تلا
361,by the way,au fait,بِ+ ال+ مُناسَبَة,NOUN,بالمناسبة,حقا,لعلمك,على بين,بالسلامة,حصة,حبة,علم,عم
366,order,commander,طَلَب,VERB,امر,كلف,فوض,ام,اقر,تلف,توكل,فوت,فول
368,full,complet,كامِل,ADJ,مملي,ممتلي,متروس,مزيان,تمام,مسلي,كحل,مقبل,جاف
369,finish,finir,ٱِنْتَهَى,VERB,فنش,تم,انعدم,نهض,خلى,دبر,هبر,تسالا,وصى
371,moment,moment,لَحْظَة,NOUN,دقيقة,شوي,نوبة,شقيقة,ديرة,شوز,شتي,ولية,طوبة
372,time,temps,وَقْت,NOUN,حين,زمن,اوان,سمن,زين,فرة,بترة,حلوان,واد
373,know,"savoir , connaître",عَرَف,VERB,دري,سمع,استخبر,درب,درس,علل,عزم,استخار,اتخابر
374,do,faire,فَعَل ، قام بِ+,ADP,نفذ,قام,سبر,الى,سع,كنه,لاما,كتر,ساير
381,food,cuisine,طَعام,NOUN,اكال,ماكلة,طياب,قول,بوت,اكلة,امال,طيب,دقمة
382,leave,partir,غادَر,VERB,راح,فات,هج,روى,طاح,صار,ساب,وعى,مر
383,"too , also",aussi,أَيْضاً,ADV,حتى,ثاني,همين,تماك,بركة,هانه,شقد,كام,هين
384,last,dernier,ماضِي,ADJ,اللي فات,فايت,اخراني,خير,ماخر,مصيت,فري,لخراني,زاز
386,need,falloir,ٱِحْتاج,VERB,لزم,اعتاز,بغى,عزم,جزم,جلب,حاز,بدى,بقى
387,money,argent,نُقود,NOUN,فلوس,بيس,مصاري,حمال,امال,بين,بوس,زغط,دكة
389,lady,dame,سَيِّدَة,NOUN,مادام,مدموزيل,حرمة,مقة,سع,امة,جامي,عملة,برمة
390,style,style,طِراز,NOUN,موديل,نمط,صورة,بكل,سيل,نوط,روضة,طريفة,صبيغة
392,report,rapport,تَقْرِير,NOUN,رابور,بلاغ,نبأ,كشن,كدف,بيات,ربيان,رب,نفر
394,enjoy,apprécier,ٱِسْتَمْتَع,VERB,انبسط,عيش حياتك,زهى,كلف,ضيف,عاف,عار,سيي,زكى
395,person,personne,شَخْص,NOUN,مخلوق,رجال,نسمة,عد,حق,زوز,زوم,نسبة,ودن
399,way,chemin,طَرِيق,NOUN,سبيل,خط,مسرب,درج,طرب,دكة,حكة,زمر,سحارة
400,turn,tourner,ٱِتَّجَه,VERB,دور,افتر,احترف,صف,هف,روح,اخذا,حوس,حمد
401,glass,verre,كُوب,NOUN,كاس,قلص,جلاص,كان,كاب,قلل,كلاص,مقر,مدة
402,"then , so","alors , donc",إِذَنْ ، فَ+,CCONJ,طب,اذا,عب,فبعدين,مي,يو,اما,اومبعد,بعد
405,show me,montres moi,أرِ +نِي,PRON,بين لي,ظهر لي,ارجيني,اينا,ديالي,اشو,شو,اينيه,الجن
406,work,"marcher , travailler",عَمِل,VERB,اشتغل,مارس,كد,خمم,قدم,تعقب,تعجب,قد,سد
407,call,"appeler , rappeler",ٱِتَّصَل,VERB,كلم,خابر,زهم,طل,سلب,دز,هم,ادى,زهى
410,let,laisser,دَعّ,VERB,خلى,خل,دخلي,هج,شد,اتريع,خلص,تفلت,فوت
412,tonight,ce soir,ال+ لَيْلَة,NOUN,الليلة,اليوم فالليل,العشية,طبلية,فالمية,اسا,بالكل,فيل,ذيل
414,discount,remise,خَصْم,NOUN,رميز,تنزيلات,اوكازيون,ميز,رمز,رسم,حسه,شونجمو,انولاسيون
415,kind,genre,نَوْع,NOUN,صنف,شكل,قالب,جنط,جني,بكل,شال,صوغة,نوط
419,come,venir,أَتَى ، حَضَر ، جاء,VERB,وصل,تفضل,مرق,غرف,شاء,وجه,فضل,ضل,ظل
420,think,croire,ٱِعْتَقَد,VERB,اتصور,عن باله,مخمخ,ظل,خاف,شبح,خدم,رن,ضمن
422,"store , shop",magasin,مَتْجَر ، مَحَلّ,NOUN,دكان,تكان,برادات,سجور,رتور,ساق,سور,خزر,مخطف
423,"just , only",seulement,فَقَط,ADV,بس,برك,اكهو,به,بعد,شي,بكم,اكو,هناكهو
424,large,grand,كَبِير,ADJ,ضخم,عود,شحط,اضخم,وافد,نود,كون,حر,براني
425,"have , get",avoir,حَصَل,VERB,جاب,كان,احتكم,مسك,عبر,نشل,نقل,حاج,جاز
426,make a call,passer un appel,أَجْرَى مُكالَمَة,NOUN,طلب,سوى اتصال,زهم,كلش,علم,حق,شق,زوم,عيش
427,tell,indiquer,أَخْبَر,VERB,قال,وصل,نبا,فول,بلش,حدف,فصل,درك,درس
428,check,vérifier,فَحَص,VERB,راجع,قلب,تمم,شك,شاط,قرب,جلب,فتت,فت
429,"stay , remain",rester,مَكَث,VERB,فضل,تم,استنى,خل,تجلس,عزل,ضن,استوى,ستنى
430,beautiful,beau,جَمِيل,ADJ,وسيم,مزيان,زاز,وسيع,جسيم,رزين,شيبة,داز,زوز
432,please,"s' il vous plait , veuillez",مِن فَضْل +ك,PRON,لو سمحت,من رخصتك,اترجاك,ليكا,خلا,وشو,تبعش,الا,هوما
433,have,avoir,لَدَى,NOUN,عند,معه,بيملك,عهد,عاد,لا,ع+,طرف,قطر
435,excuse me,excuser moi,ال+ مَعْذِرَة,NOUN,سامحني,سمحوا لي,المعذرة,معليه,سوجي,معله,مكلف,مساحة,ماله
436,sorry,désoler,آسِف,NOUN,متأسف,عذرا,معلهش,سوجي,سورية,معله,مع,ماله,معه
437,today,aujourd'hui,ال+ يَوْم,NOUN,اليوم,ذا اليوم,الليلة,الي,اسيون,ذا الحين,ما عليه,فالليل,يوم
439,very,très,جِدّاً ، ل+ ال+ غاية,NOUN,قوي,كثير,خيرات,خوي,وي,كرة,شكل,خضروات,بيات
440,well,eh bien,حَسَناً,NOUN,تمام,الحمد لالله,معله,لمام,طياب,دار,اخ,معلش,باكي
442,ah!,ah!,أَه!,INTJ,او,اخ,ياح,يو,وي,اوب,جاي,يا,آي
444,is ... true ?,est -ce que ... ?,هَلْ ... ؟ ، أَ+ ... ؟,PART ... ?,هل,صدك,اسكو,فيّ,اكدر,عادي,نجم,اسكه,اقدر
445,"could you ... ? , can you ... ?",peux -tu ... ?,هَل يُمكِنُ +كَ أن ... ؟,SCONJ ... ?,تقدر,تقدر تسوي,تنجم,,,,,,
