ID,English,French,MSA,POS,Category,CODA,Region,ASimLevel,FSimLevel,DFreqLevel,DComLevel,EasinessScore
4,restaurant,restaurant,مَطْعَم,NOUN,Hard,ريستو,Morocco+Algeria,D,D,L,L,50
4,restaurant,restaurant,مَطْعَم,NOUN,Medium,ريستوران,Morocco+Algeria,D,S,L,L,150
4,restaurant,restaurant,مَطْعَم,NOUN,Hard,ريستورو,Morocco+Algeria,D,D,L,L,0
4,restaurant,restaurant,مَطْعَم,NOUN,Easy,مطعم,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
9,insurance,assurance,تَأْمِين,NOUN,Medium,اسيرونس,Tunisia+Libya,D,S,L,L,150
9,insurance,assurance,تَأْمِين,NOUN,Medium,اسرنس,Morocco+Algeria,D,S,L,L,150
9,insurance,assurance,تَأْمِين,NOUN,Hard,بوليصة,Egypt+Sudan,D,D,L,L,50
9,insurance,assurance,تَأْمِين,NOUN,Medium,بيما,Qatar+Saudi+Oman+Yemen,D,D,M,L,100
9,insurance,assurance,تَأْمِين,NOUN,Easy,تأمين,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,M,H,1250
9,insurance,assurance,تَأْمِين,NOUN,Hard,سيقورطة,Tunisia+Libya,D,D,L,L,0
9,insurance,assurance,تَأْمِين,NOUN,Easy,ضمان,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",D,D,H,H,300
9,insurance,assurance,تَأْمِين,NOUN,Easy,ضمانة,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",D,D,M,M,200
9,insurance,assurance,تَأْمِين,NOUN,Hard,لاصورونس,Morocco+Algeria,D,D,L,L,0
11,red,rouge,أَحْمَر,ADJ,Easy,احمر,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",S,D,H,H,1300
11,red,rouge,أَحْمَر,ADJ,Easy,حمر,"Iraq, Tunisia+Libya",S,D,M,M,1200
11,red,rouge,أَحْمَر,ADJ,Easy,حمرة,Morocco+Algeria,S,D,M,L,1150
11,red,rouge,أَحْمَر,ADJ,Easy,روج,"Morocco+Algeria, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",D,S,M,M,300
11,red,rouge,أَحْمَر,ADJ,Medium,نبيتي,Syria+Lebanon+Jordan+Palestine,D,D,M,L,100
11,red,rouge,أَحْمَر,ADJ,Hard,نبيدي,Syria+Lebanon+Jordan+Palestine,D,D,L,L,0
11,red,rouge,أَحْمَر,ADJ,Easy,وردي,Egypt+Sudan,D,S,H,L,300
12,possible,possible,مُمْكِن,ADJ,Easy,احتمال,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen, Egypt+Sudan, Tunisia+Libya",D,D,H,H,300
12,possible,possible,مُمْكِن,ADJ,Hard,اسكه,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
12,possible,possible,مُمْكِن,ADJ,Hard,بيجوز,Syria+Lebanon+Jordan+Palestine,D,D,M,L,50
12,possible,possible,مُمْكِن,ADJ,Medium,بيصير,Syria+Lebanon+Jordan+Palestine,D,D,H,L,150
12,possible,possible,مُمْكِن,ADJ,Easy,بلاك,Morocco+Algeria,D,D,H,L,200
12,possible,possible,مُمْكِن,ADJ,Medium,بوسيبل,Morocco+Algeria,D,S,M,L,150
12,possible,possible,مُمْكِن,ADJ,Medium,جائز,Iraq,D,D,M,L,150
12,possible,possible,مُمْكِن,ADJ,Easy,جايز,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",D,D,M,H,250
12,possible,possible,مُمْكِن,ADJ,Medium,مباح,Egypt+Sudan,D,D,H,L,150
12,possible,possible,مُمْكِن,ADJ,Easy,محتمل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",D,D,M,M,200
12,possible,possible,مُمْكِن,ADJ,Easy,مسموح,Morocco+Algeria,D,D,H,L,200
12,possible,possible,مُمْكِن,ADJ,Easy,معقول,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",D,D,H,M,250
12,possible,possible,مُمْكِن,ADJ,Easy,ممكن,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
12,possible,possible,مُمْكِن,ADJ,Easy,وارد,"Syria+Lebanon+Jordan+Palestine, Iraq, Egypt+Sudan, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",D,D,H,H,300
12,possible,possible,مُمْكِن,ADJ,Easy,يجوز,Iraq,D,D,H,L,200
12,possible,possible,مُمْكِن,ADJ,Easy,يصير,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
12,possible,possible,مُمْكِن,ADJ,Easy,يمكن,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",D,D,H,M,250
13,museum,musée,مَتْحَف,NOUN,Hard,انتيكخانة,Egypt+Sudan,D,D,L,L,0
13,museum,musée,مَتْحَف,NOUN,Easy,متحف,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
13,museum,musée,مَتْحَف,NOUN,Medium,ميوزيه,Morocco+Algeria,D,S,L,L,100
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,ازبتالية,Egypt+Sudan,D,D,L,L,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,اسبتالية,Egypt+Sudan,D,D,L,L,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Medium,اوبطال,Morocco+Algeria,D,D,L,L,100
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,دختر,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,سبطار,Morocco+Algeria,D,D,L,L,50
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,سبيتار,Tunisia+Libya,D,D,M,L,50
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Medium,سبيطار,"Morocco+Algeria, Tunisia+Libya",D,D,M,M,150
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,سبيطال,Tunisia+Libya,D,D,L,L,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Hard,صبيطار,Tunisia+Libya,D,D,L,L,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Easy,مستشفى,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
18,hospital,hôpital,مُسْتَشْفَى,NOUN,Medium,مشفى,Syria+Lebanon+Jordan+Palestine,D,D,M,L,150
19,watch,montre,ساعَة,NOUN,Easy,ساعة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
19,watch,montre,ساعَة,NOUN,Medium,ساعة ايد,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
19,watch,montre,ساعَة,NOUN,Medium,ساعة يد,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
19,watch,montre,ساعَة,NOUN,Medium,مكانة,Morocco+Algeria,D,D,M,L,150
19,watch,montre,ساعَة,NOUN,Hard,منقالة,Tunisia+Libya,D,D,L,L,0
24,fruit,fruit,فاكِهَة,NOUN,Medium,ثمر,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",D,D,M,M,150
24,fruit,fruit,فاكِهَة,NOUN,Medium,خضرة,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
24,fruit,fruit,فاكِهَة,NOUN,Hard,ديسار,Tunisia+Libya,D,D,L,L,50
24,fruit,fruit,فاكِهَة,NOUN,Medium,غلة,Tunisia+Libya,D,D,M,L,100
24,fruit,fruit,فاكِهَة,NOUN,Easy,فاكهة,"Egypt+Sudan, Iraq, Tunisia+Libya, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
24,fruit,fruit,فاكِهَة,NOUN,Hard,فاكية,Morocco+Algeria,D,D,L,L,50
24,fruit,fruit,فاكِهَة,NOUN,Easy,فروي,Morocco+Algeria,D,S,M,L,250
24,fruit,fruit,فاكِهَة,NOUN,Medium,فواكة,Syria+Lebanon+Jordan+Palestine,D,D,M,L,150
24,fruit,fruit,فاكِهَة,NOUN,Easy,فواكه,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Morocco+Algeria, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
24,fruit,fruit,فاكِهَة,NOUN,Hard,فواكي,Syria+Lebanon+Jordan+Palestine,D,D,L,L,50
24,fruit,fruit,فاكِهَة,NOUN,Medium,فوالة,Qatar+Saudi+Oman+Yemen,D,D,L,L,100
24,fruit,fruit,فاكِهَة,NOUN,Medium,هبش,Qatar+Saudi+Oman+Yemen,D,D,M,L,100
28,cold,froid,بارِد,ADJ,Easy,بارد,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",S,D,H,H,1300
28,cold,froid,بارِد,ADJ,Easy,برد,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",S,D,H,M,1250
28,cold,froid,بارِد,ADJ,Medium,ثالج,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
28,cold,froid,بارِد,ADJ,Easy,ثلج,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
28,cold,froid,بارِد,ADJ,Medium,ساقع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan",D,D,M,M,150
28,cold,froid,بارِد,ADJ,Hard,صاقط,Egypt+Sudan,D,D,M,L,50
28,cold,froid,بارِد,ADJ,Hard,صردة,Qatar+Saudi+Oman+Yemen,D,D,L,L,0
28,cold,froid,بارِد,ADJ,Hard,صقع,Tunisia+Libya,D,D,M,L,50
28,cold,froid,بارِد,ADJ,Easy,فري,Morocco+Algeria,D,S,M,L,250
28,cold,froid,بارِد,ADJ,Hard,قرصة,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
28,cold,froid,بارِد,ADJ,Hard,مسقع,Syria+Lebanon+Jordan+Palestine,D,D,M,L,50
28,cold,froid,بارِد,ADJ,Hard,مصقع,Tunisia+Libya,D,D,M,L,50
29,music,musique,مُوسِيقَى,NOUN,Medium,دق طبل,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
29,music,musique,مُوسِيقَى,NOUN,Medium,طرب,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
29,music,musique,مُوسِيقَى,NOUN,Hard,لاموزيك,Morocco+Algeria,D,D,L,L,0
29,music,musique,مُوسِيقَى,NOUN,Medium,مزيكة,Egypt+Sudan,D,S,L,L,150
29,music,musique,مُوسِيقَى,NOUN,Medium,موزيكة,Tunisia+Libya,D,S,L,L,150
29,music,musique,مُوسِيقَى,NOUN,Easy,موسيقى,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
29,music,musique,مُوسِيقَى,NOUN,Easy,موسيقي,Qatar+Saudi+Oman+Yemen,S,D,H,L,1200
30,blanket,couverture,بَطّانِيَّة,NOUN,Hard,برنوص,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
30,blanket,couverture,بَطّانِيَّة,NOUN,Easy,بطانية,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
30,blanket,couverture,بَطّانِيَّة,NOUN,Easy,حرام,Syria+Lebanon+Jordan+Palestine,D,D,H,L,200
30,blanket,couverture,بَطّانِيَّة,NOUN,Hard,شاذر,Qatar+Saudi+Oman+Yemen,D,D,L,L,0
30,blanket,couverture,بَطّانِيَّة,NOUN,Easy,غطا,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",D,D,M,H,250
30,blanket,couverture,بَطّانِيَّة,NOUN,Easy,غطاء,Tunisia+Libya,D,D,H,L,200
30,blanket,couverture,بَطّانِيَّة,NOUN,Easy,فراش,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
30,blanket,couverture,بَطّانِيَّة,NOUN,Medium,فرشية,Tunisia+Libya,D,D,L,L,100
30,blanket,couverture,بَطّانِيَّة,NOUN,Hard,كمبل,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
30,blanket,couverture,بَطّانِيَّة,NOUN,Hard,كوفرتة,Morocco+Algeria,D,D,L,L,0
30,blanket,couverture,بَطّانِيَّة,NOUN,Medium,كيشة,Morocco+Algeria,D,D,L,L,100
30,blanket,couverture,بَطّانِيَّة,NOUN,Easy,لحاف,"Syria+Lebanon+Jordan+Palestine, Iraq, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",D,D,M,H,250
30,blanket,couverture,بَطّانِيَّة,NOUN,Medium,ملاية,Morocco+Algeria,D,D,M,L,150
31,beach,plage,شاطِئ,NOUN,Easy,بحر,"Morocco+Algeria, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",D,D,H,H,300
31,beach,plage,شاطِئ,NOUN,Easy,بلاج,"Egypt+Sudan, Morocco+Algeria",D,S,M,M,250
31,beach,plage,شاطِئ,NOUN,Hard,ساحل,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
31,beach,plage,شاطِئ,NOUN,Easy,شاطئ,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
31,beach,plage,شاطِئ,NOUN,Easy,شاطي,Iraq,S,D,M,L,1150
31,beach,plage,شاطِئ,NOUN,Easy,شط,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",S,D,M,M,1200
31,beach,plage,شاطِئ,NOUN,Medium,كورنيش,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
31,beach,plage,شاطِئ,NOUN,Hard,لابلاج,Morocco+Algeria,D,D,L,L,0
34,market,marché,سُوق,NOUN,Hard,اورزدي,Iraq,D,D,L,L,0
34,market,marché,سُوق,NOUN,Medium,سوبر ماركت,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
34,market,marché,سُوق,NOUN,Easy,سوق,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
34,market,marché,سُوق,NOUN,Hard,عرصة,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
34,market,marché,سُوق,NOUN,Medium,مارشي,Morocco+Algeria,D,D,M,L,100
34,market,marché,سُوق,NOUN,Medium,مرشي,Tunisia+Libya,D,D,M,L,100
34,market,marché,سُوق,NOUN,Easy,مول,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
34,market,marché,سُوق,NOUN,Medium,هبطة,Qatar+Saudi+Oman+Yemen,D,D,L,L,100
36,meeting,réunion,ٱِجْتِماع,NOUN,Easy,اجتماع,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",D,D,H,H,300
36,meeting,réunion,ٱِجْتِماع,NOUN,Easy,تجمع,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
36,meeting,réunion,ٱِجْتِماع,NOUN,Hard,جتماع,Morocco+Algeria,D,D,M,L,50
36,meeting,réunion,ٱِجْتِماع,NOUN,Easy,جلسة,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen, Egypt+Sudan, Tunisia+Libya",D,D,M,H,250
36,meeting,réunion,ٱِجْتِماع,NOUN,Easy,جمعة,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",D,D,M,M,200
36,meeting,réunion,ٱِجْتِماع,NOUN,Medium,ريونيو,Morocco+Algeria,D,D,L,L,100
36,meeting,réunion,ٱِجْتِماع,NOUN,Medium,ريينيو,Morocco+Algeria,D,D,L,L,100
36,meeting,réunion,ٱِجْتِماع,NOUN,Easy,قعدة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan",D,D,M,M,200
36,meeting,réunion,ٱِجْتِماع,NOUN,Easy,لقاء,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",D,D,H,M,250
36,meeting,réunion,ٱِجْتِماع,NOUN,Easy,لمة,"Qatar+Saudi+Oman+Yemen, Tunisia+Libya",D,D,M,M,200
36,meeting,réunion,ٱِجْتِماع,NOUN,Easy,مقابلة,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Egypt+Sudan",D,D,M,M,200
36,meeting,réunion,ٱِجْتِماع,NOUN,Medium,ملاقاة,Qatar+Saudi+Oman+Yemen,D,D,L,L,100
36,meeting,réunion,ٱِجْتِماع,NOUN,Medium,ملتقى,Tunisia+Libya,D,D,M,L,150
36,meeting,réunion,ٱِجْتِماع,NOUN,Medium,ندوة,Tunisia+Libya,D,D,M,L,150
38,green,vert,أَخْضَر,ADJ,Easy,اخضر,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",S,D,H,H,1300
38,green,vert,أَخْضَر,ADJ,Easy,خضر,"Morocco+Algeria, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
38,green,vert,أَخْضَر,ADJ,Hard,زيتوني,Syria+Lebanon+Jordan+Palestine,D,D,M,L,50
38,green,vert,أَخْضَر,ADJ,Easy,فير,Morocco+Algeria,D,S,M,L,250
38,green,vert,أَخْضَر,ADJ,Medium,مخضر,Egypt+Sudan,D,D,M,L,100
45,delicious,délicieux,لَذِيذ,ADJ,Hard,بيشهي,Syria+Lebanon+Jordan+Palestine,D,D,M,L,50
45,delicious,délicieux,لَذِيذ,ADJ,Medium,بنين,"Morocco+Algeria, Tunisia+Libya",D,D,M,M,150
45,delicious,délicieux,لَذِيذ,ADJ,Easy,حالي,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
45,delicious,délicieux,لَذِيذ,ADJ,Easy,حلو,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",D,D,H,H,300
45,delicious,délicieux,لَذِيذ,ADJ,Easy,ذكي,Egypt+Sudan,D,D,H,L,200
45,delicious,délicieux,لَذِيذ,ADJ,Medium,زاكي,Syria+Lebanon+Jordan+Palestine,D,D,M,L,100
45,delicious,délicieux,لَذِيذ,ADJ,Easy,زين,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
45,delicious,délicieux,لَذِيذ,ADJ,Easy,شهي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",D,D,M,M,200
45,delicious,délicieux,لَذِيذ,ADJ,Medium,طاعم,Egypt+Sudan,D,D,M,L,150
45,delicious,délicieux,لَذِيذ,ADJ,Easy,طعم,"Egypt+Sudan, Qatar+Saudi+Oman+Yemen",D,D,H,M,250
45,delicious,délicieux,لَذِيذ,ADJ,Medium,طعيم,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
45,delicious,délicieux,لَذِيذ,ADJ,Easy,طيب,"Syria+Lebanon+Jordan+Palestine, Iraq, Qatar+Saudi+Oman+Yemen",D,D,H,M,250
45,delicious,délicieux,لَذِيذ,ADJ,Easy,لذيذ,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,H,H,1300
45,delicious,délicieux,لَذِيذ,ADJ,Easy,لطيف,Tunisia+Libya,D,D,H,L,200
46,main,principal,رَئِيسِيّ,ADJ,Easy,اساسي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",D,D,H,H,300
46,main,principal,رَئِيسِيّ,ADJ,Hard,جوهري,Syria+Lebanon+Jordan+Palestine,D,D,M,L,50
46,main,principal,رَئِيسِيّ,ADJ,Easy,رئيسي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
46,main,principal,رَئِيسِيّ,ADJ,Medium,عمومي,Egypt+Sudan,D,D,M,L,150
46,main,principal,رَئِيسِيّ,ADJ,Hard,لاباز,Morocco+Algeria,D,D,M,L,50
46,main,principal,رَئِيسِيّ,ADJ,Easy,لازم,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
46,main,principal,رَئِيسِيّ,ADJ,Easy,مركزي,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",D,D,M,M,200
46,main,principal,رَئِيسِيّ,ADJ,Medium,هو صح,Morocco+Algeria,D,D,H,L,100
46,main,principal,رَئِيسِيّ,ADJ,Hard,ليسونسيل,Morocco+Algeria,D,D,L,L,0
49,tip,pourboire,بَقْشِيش,NOUN,Easy,اكرامية,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",D,D,L,H,200
49,tip,pourboire,بَقْشِيش,NOUN,Medium,بخشيش,"Syria+Lebanon+Jordan+Palestine, Iraq, Qatar+Saudi+Oman+Yemen",D,D,M,M,150
49,tip,pourboire,بَقْشِيش,NOUN,Easy,بقشيش,"Morocco+Algeria, Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",S,D,M,H,1250
49,tip,pourboire,بَقْشِيش,NOUN,Easy,بوربوار,"Morocco+Algeria, Tunisia+Libya",D,S,L,M,200
49,tip,pourboire,بَقْشِيش,NOUN,Hard,تضويرة,Morocco+Algeria,D,D,L,L,0
49,tip,pourboire,بَقْشِيش,NOUN,Medium,تيبس,Syria+Lebanon+Jordan+Palestine,D,D,M,L,150
49,tip,pourboire,بَقْشِيش,NOUN,Medium,حق التعب,Qatar+Saudi+Oman+Yemen,D,D,H,L,100
49,tip,pourboire,بَقْشِيش,NOUN,Medium,حلاوة,Egypt+Sudan,D,D,M,L,150
49,tip,pourboire,بَقْشِيش,NOUN,Medium,حلوان,Syria+Lebanon+Jordan+Palestine,D,D,M,L,150
49,tip,pourboire,بَقْشِيش,NOUN,Medium,مساعدة,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
49,tip,pourboire,بَقْشِيش,NOUN,Medium,مكافأة,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
50,pair,paire,زَوْج,NOUN,Easy,اثنين,"Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Egypt+Sudan",D,D,H,M,250
50,pair,paire,زَوْج,NOUN,Hard,اثنيناتهم,Qatar+Saudi+Oman+Yemen,D,D,M,L,50
50,pair,paire,زَوْج,NOUN,Hard,ازواز,Tunisia+Libya,D,D,L,L,50
50,pair,paire,زَوْج,NOUN,Easy,الاثنين,Qatar+Saudi+Oman+Yemen,D,D,H,L,200
50,pair,paire,زَوْج,NOUN,Medium,جزمة,Morocco+Algeria,D,D,M,L,150
50,pair,paire,زَوْج,NOUN,Medium,جوج,Morocco+Algeria,D,D,M,L,100
50,pair,paire,زَوْج,NOUN,Easy,جوز,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan",D,D,M,M,200
50,pair,paire,زَوْج,NOUN,Medium,حبتين,Qatar+Saudi+Oman+Yemen,D,D,M,L,150
50,pair,paire,زَوْج,NOUN,Easy,زوج,"Syria+Lebanon+Jordan+Palestine, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",S,D,H,H,1300
50,pair,paire,زَوْج,NOUN,Medium,زوز,Tunisia+Libya,D,D,M,L,100
50,pair,paire,زَوْج,NOUN,Hard,فردتين,Iraq,D,D,M,L,50
51,fork,fourchette,شَوْكَة,NOUN,Hard,جطل,Iraq,D,D,M,L,50
51,fork,fourchette,شَوْكَة,NOUN,Easy,شوكة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",S,D,M,H,1250
51,fork,fourchette,شَوْكَة,NOUN,Medium,فرشيطة,"Morocco+Algeria, Tunisia+Libya",D,D,M,M,150
51,fork,fourchette,شَوْكَة,NOUN,Hard,فرشيطه,Morocco+Algeria,D,D,M,L,50
51,fork,fourchette,شَوْكَة,NOUN,Hard,فرقيتة,Tunisia+Libya,D,D,L,L,0
