ID,English,French,MSA,POS,CODA,CODA_Root,Region,DCom,RCom,ASim,FSim,DFreq,DA_Frequency,ASimLevel,FSimLevel,DFreqLevel,DComLevel,RComLevel,EasinessScore,EasinessCategory,ALL LEVELS?,ALL LEVELS( No ASIM)?
3,train,train,قِطار,NOUN,ريل,رل,Iraq,1,1,0,0,4,"8,084",D,D,M,L,L,50,Hard,TRUE,TRUE
3,train,train,قِطار,NOUN,طران,طرن,Morocco+Algeria,1,1,0,0,1,8,D,D,L,L,L,0,Hard,TRUE,TRUE
3,train,train,قِطار,NOUN,طرن,طرن,Morocco+Algeria,1,1,0,0,3,322,D,D,M,L,L,50,Hard,TRUE,TRUE
3,train,train,قِطار,NOUN,قطار,قطر,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",5,6,1,0,5,"74,383",S,D,H,H,H,1300,Easy,TRUE,TRUE
3,train,train,قِطار,NOUN,قطر,قطر,Egypt+Sudan,1,6,1,0,6,"1,175,187",S,D,H,L,H,1200,Easy,TRUE,TRUE
3,train,train,قِطار,NOUN,وابور,بر,Egypt+Sudan,1,1,0,0,2,172,D,D,M,L,L,50,Hard,TRUE,TRUE
4,restaurant,restaurant,مَطْعَم,NOUN,رستوران,رسترن,"Egypt+Sudan, Morocco+Algeria, Tunisia+Libya",3,3,0,1,1,16,D,S,L,M,M,200,Easy,TRUE,TRUE
4,restaurant,restaurant,مَطْعَم,NOUN,ريستو,رست,Morocco+Algeria,1,1,0,0,1,18,D,D,L,L,L,0,Hard,TRUE,TRUE
4,restaurant,restaurant,مَطْعَم,NOUN,ريستوران,رسترن,Morocco+Algeria,1,3,0,1,1,14,D,S,L,L,M,150,Medium,TRUE,TRUE
4,restaurant,restaurant,مَطْعَم,NOUN,ريستورو,رستر,Morocco+Algeria,1,1,0,0,0,0,D,D,L,L,L,0,Hard,TRUE,TRUE
4,restaurant,restaurant,مَطْعَم,NOUN,مطعم,طعم,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,5,"181,449",S,D,H,H,H,1300,Easy,TRUE,TRUE
5,name,nom,ٱِسْم,NOUN,آسم,سم,Morocco+Algeria,1,6,1,0,2,161,S,D,M,L,H,1150,Easy,FALSE,FALSE
5,name,nom,ٱِسْم,NOUN,اسم,سم,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,6,"1,009,398",S,D,H,H,H,1300,Easy,FALSE,FALSE
5,name,nom,ٱِسْم,NOUN,سمية,سم,Morocco+Algeria,1,6,1,0,3,"1,750",S,D,M,L,H,1150,Easy,FALSE,FALSE
5,name,nom,ٱِسْم,NOUN,كنية,كن,Morocco+Algeria,1,1,0,0,2,81,D,D,M,L,L,50,Hard,FALSE,FALSE
6,water,eau,ماء,NOUN,شربة,شرب,Tunisia+Libya,1,1,0,0,3,415,D,D,M,L,L,50,Hard,FALSE,FALSE
6,water,eau,ماء,NOUN,ما,م,"Morocco+Algeria, Tunisia+Libya",2,6,1,0,8,"37,545,128",S,D,H,M,H,1250,Easy,FALSE,FALSE
6,water,eau,ماء,NOUN,ماء,م,Qatar+Saudi+Oman+Yemen,1,6,1,0,5,"295,270",S,D,H,L,H,1200,Easy,FALSE,FALSE
6,water,eau,ماء,NOUN,ماي,م,"Iraq, Qatar+Saudi+Oman+Yemen",2,6,1,0,5,"76,919",S,D,H,M,H,1250,Easy,FALSE,FALSE
6,water,eau,ماء,NOUN,موي,م,Qatar+Saudi+Oman+Yemen,1,6,1,0,4,"3,638",S,D,M,L,H,1150,Easy,FALSE,FALSE
6,water,eau,ماء,NOUN,موية,م,"Qatar+Saudi+Oman+Yemen, Egypt+Sudan",2,6,1,0,3,"1,329",S,D,M,M,H,1200,Easy,FALSE,FALSE
6,water,eau,ماء,NOUN,مي,م,"Syria+Lebanon+Jordan+Palestine, Iraq",2,6,1,0,6,"750,385",S,D,H,M,H,1250,Easy,FALSE,FALSE
6,water,eau,ماء,NOUN,مية,م,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya",4,6,1,0,4,"6,661",S,D,M,H,H,1250,Easy,FALSE,FALSE
7,yen,yen,يِن,NOUN,يان,ن,Tunisia+Libya,1,6,1,1,4,"18,953",S,S,M,L,H,1250,Easy,FALSE,FALSE
7,yen,yen,يِن,NOUN,ين,ن,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,1,5,"79,068",S,S,H,H,H,1400,Easy,FALSE,FALSE
8,week,semaine,أُسْبُوع,NOUN,اسبوع,سبع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,6,"492,738",S,D,H,H,H,1300,Easy,FALSE,FALSE
8,week,semaine,أُسْبُوع,NOUN,جمعة,جمع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",3,3,0,0,4,"4,904",D,D,M,M,M,150,Medium,FALSE,FALSE
8,week,semaine,أُسْبُوع,NOUN,سبوع,سبع,"Qatar+Saudi+Oman+Yemen, Tunisia+Libya",2,6,1,0,4,"12,991",S,D,M,M,H,1200,Easy,FALSE,FALSE
8,week,semaine,أُسْبُوع,NOUN,سمانة,سمن,Morocco+Algeria,1,1,0,1,2,68,D,S,M,L,L,150,Medium,FALSE,FALSE
8,week,semaine,أُسْبُوع,NOUN,سيمانة,سمن,Morocco+Algeria,1,1,0,1,2,89,D,S,M,L,L,150,Medium,FALSE,FALSE
9,insurance,assurance,تَأْمِين,NOUN,اسيرونس,سرنس,Tunisia+Libya,1,2,0,1,0,2,D,S,L,L,M,150,Medium,TRUE,TRUE
9,insurance,assurance,تَأْمِين,NOUN,اسرنس,سرنس,Morocco+Algeria,1,2,0,1,0,0,D,S,L,L,M,150,Medium,TRUE,TRUE
9,insurance,assurance,تَأْمِين,NOUN,بوليصة,بلص,Egypt+Sudan,1,1,0,0,1,19,D,D,L,L,L,0,Hard,TRUE,TRUE
9,insurance,assurance,تَأْمِين,NOUN,بيما,بم,Qatar+Saudi+Oman+Yemen,1,1,0,0,2,222,D,D,M,L,L,50,Hard,TRUE,TRUE
9,insurance,assurance,تَأْمِين,NOUN,تأمين,من,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,3,781,S,D,M,H,H,1250,Easy,TRUE,TRUE
9,insurance,assurance,تَأْمِين,NOUN,سيقورطة,سقرط,Tunisia+Libya,1,1,0,0,1,10,D,D,L,L,L,0,Hard,TRUE,TRUE
9,insurance,assurance,تَأْمِين,NOUN,ضمان,ضمن,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",5,5,0,0,6,"399,576",D,D,H,H,H,300,Easy,TRUE,TRUE
9,insurance,assurance,تَأْمِين,NOUN,ضمانة,ضمن,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",2,5,0,0,2,61,D,D,M,M,H,200,Easy,TRUE,TRUE
9,insurance,assurance,تَأْمِين,NOUN,لاصورونس,لصرنس,Morocco+Algeria,1,1,0,0,0,0,D,D,L,L,L,0,Hard,TRUE,TRUE
10,month,mois,شَهْر,NOUN,شهر,شهر,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,6,"678,996",S,D,H,H,H,1300,Easy,FALSE,FALSE
11,red,rouge,أَحْمَر,ADJ,احمر,حمر,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",6,6,1,0,5,"255,932",S,D,H,H,H,1300,Easy,FALSE,FALSE
11,red,rouge,أَحْمَر,ADJ,حمر,حمر,"Iraq, Tunisia+Libya",2,6,1,0,4,"31,060",S,D,M,M,H,1200,Easy,FALSE,FALSE
11,red,rouge,أَحْمَر,ADJ,حمرة,حمر,Morocco+Algeria,1,6,1,0,3,791,S,D,M,L,H,1150,Easy,FALSE,FALSE
11,red,rouge,أَحْمَر,ADJ,روج,رج,"Morocco+Algeria, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",3,3,0,1,4,"23,905",D,S,M,M,M,250,Easy,FALSE,FALSE
11,red,rouge,أَحْمَر,ADJ,نبيتي,نب,Syria+Lebanon+Jordan+Palestine,1,1,0,0,3,488,D,D,M,L,L,50,Hard,FALSE,FALSE
11,red,rouge,أَحْمَر,ADJ,نبيدي,نبد,Syria+Lebanon+Jordan+Palestine,1,1,0,0,0,1,D,D,L,L,L,0,Hard,FALSE,FALSE
11,red,rouge,أَحْمَر,ADJ,وردي,رد,Egypt+Sudan,1,1,0,1,5,"42,247",D,S,H,L,L,200,Easy,FALSE,FALSE
12,possible,possible,مُمْكِن,ADJ,احتمال,حمل,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen, Egypt+Sudan, Tunisia+Libya",4,4,0,0,5,"94,114",D,D,H,H,H,300,Easy,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,اسكه,سكه,Qatar+Saudi+Oman+Yemen,1,1,0,0,2,85,D,D,M,L,L,50,Hard,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,بيجوز,بجز,Syria+Lebanon+Jordan+Palestine,1,1,0,0,3,"1,058",D,D,M,L,L,50,Hard,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,بيصير,بصر,Syria+Lebanon+Jordan+Palestine,1,1,0,0,5,"71,498",D,D,H,L,L,100,Medium,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,بلاك,بلك,Morocco+Algeria,1,1,0,0,5,"76,303",D,D,H,L,L,100,Medium,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,بوسيبل,بسبل,Morocco+Algeria,1,1,0,1,2,286,D,S,M,L,L,150,Medium,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,جائز,جز,Iraq,1,5,0,0,4,"10,748",D,D,M,L,H,150,Medium,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,جايز,جز,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",5,5,0,0,4,"30,954",D,D,M,H,H,250,Easy,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,مباح,بح,Egypt+Sudan,1,1,0,0,5,"31,874",D,D,H,L,L,100,Medium,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,محتمل,حمل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,4,0,0,4,"12,689",D,D,M,M,H,200,Easy,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,مسموح,سمح,Morocco+Algeria,1,1,0,0,5,"62,838",D,D,H,L,L,100,Medium,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,معقول,معقل,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",2,2,0,0,5,"98,544",D,D,H,M,M,200,Easy,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,ممكن,مكن,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,6,"1,683,114",S,D,H,H,H,1300,Easy,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,وارد,رد,"Syria+Lebanon+Jordan+Palestine, Iraq, Egypt+Sudan, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",5,5,0,0,5,"61,034",D,D,H,H,H,300,Easy,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,يجوز,جز,Iraq,1,5,0,0,5,"157,736",D,D,H,L,H,200,Easy,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,يصير,صر,Qatar+Saudi+Oman+Yemen,1,1,0,0,6,"509,724",D,D,H,L,L,100,Medium,TRUE,TRUE
12,possible,possible,مُمْكِن,ADJ,يمكن,مكن,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",3,6,0,0,6,"1,611,631",D,D,H,M,H,250,Easy,TRUE,TRUE
13,museum,musée,مَتْحَف,NOUN,انتيكخانة,نتكخن,Egypt+Sudan,1,1,0,0,0,0,D,D,L,L,L,0,Hard,TRUE,FALSE
13,museum,musée,مَتْحَف,NOUN,متحف,تحف,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,5,"59,890",S,D,H,H,H,1300,Easy,TRUE,FALSE
13,museum,musée,مَتْحَف,NOUN,ميوزيه,مزه,Morocco+Algeria,1,1,0,1,0,0,D,S,L,L,L,100,Medium,TRUE,FALSE
14,door,porte,باب,NOUN,باب,بب,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,6,"1,179,708",S,D,H,H,H,1300,Easy,FALSE,FALSE
14,door,porte,باب,NOUN,بوابة,بب,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine",2,6,1,0,3,"3,066",S,D,M,M,H,1200,Easy,FALSE,FALSE
14,door,porte,باب,NOUN,دروازة,درز,Qatar+Saudi+Oman+Yemen,1,1,0,0,1,27,D,D,L,L,L,0,Hard,FALSE,FALSE
15,tea,thé,شاي,NOUN,اتاي,ت,Morocco+Algeria,1,2,0,1,3,"1,059",D,S,M,L,M,200,Easy,FALSE,FALSE
15,tea,thé,شاي,NOUN,تاي,ت,Tunisia+Libya,1,2,0,1,4,"13,029",D,S,M,L,M,200,Easy,FALSE,FALSE
15,tea,thé,شاي,NOUN,شاي,ش,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",4,4,1,0,5,"75,905",S,D,H,H,H,1300,Easy,FALSE,FALSE
15,tea,thé,شاي,NOUN,شاهي,شه,"Tunisia+Libya, Qatar+Saudi+Oman+Yemen",2,2,0,0,5,"62,424",D,D,H,M,M,200,Easy,FALSE,FALSE
15,tea,thé,شاي,NOUN,لتاي,لت,Morocco+Algeria,1,1,0,0,2,115,D,D,M,L,L,50,Hard,FALSE,FALSE
16,white,blanc,أَبْيَض,ADJ,ابيض,بض,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,6,1,0,5,"262,393",S,D,H,H,H,1300,Easy,TRUE,FALSE
16,white,blanc,أَبْيَض,ADJ,ابيضاني,بضن,Iraq,1,1,0,0,2,202,D,D,M,L,L,50,Hard,TRUE,FALSE
16,white,blanc,أَبْيَض,ADJ,احمر,حمر,Egypt+Sudan,1,1,0,0,5,"255,932",D,D,H,L,L,100,Medium,TRUE,FALSE
16,white,blanc,أَبْيَض,ADJ,بلون,بلن,Morocco+Algeria,1,1,0,1,4,"29,976",D,S,M,L,L,150,Medium,TRUE,FALSE
16,white,blanc,أَبْيَض,ADJ,بيض,بض,Morocco+Algeria,1,6,1,0,5,"249,536",S,D,H,L,H,1200,Easy,TRUE,FALSE
17,stamp,timbre,طابِع,NOUN,تامبر,تمبر,Morocco+Algeria,1,2,0,1,2,54,D,S,M,L,M,200,Easy,FALSE,FALSE
17,stamp,timbre,طابِع,NOUN,تمبر,تمبر,Morocco+Algeria,1,2,0,1,2,95,D,S,M,L,M,200,Easy,FALSE,FALSE
17,stamp,timbre,طابِع,NOUN,تمبري,تمبر,Tunisia+Libya,1,2,0,1,1,6,D,S,L,L,M,150,Medium,FALSE,FALSE
17,stamp,timbre,طابِع,NOUN,ختم,ختم,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Egypt+Sudan",3,3,0,0,5,"95,906",D,D,H,M,M,200,Easy,FALSE,FALSE
17,stamp,timbre,طابِع,NOUN,دمغة,دمغ,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine",2,2,0,0,1,15,D,D,L,M,M,100,Medium,FALSE,FALSE
17,stamp,timbre,طابِع,NOUN,طابع,طبع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,4,"25,375",S,D,M,H,H,1250,Easy,FALSE,FALSE
17,stamp,timbre,طابِع,NOUN,طابعة,طبع,Egypt+Sudan,1,6,1,0,2,54,S,D,M,L,H,1150,Easy,FALSE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,ازبتالية,زبتل,Egypt+Sudan,1,1,0,0,0,0,D,D,L,L,L,0,Hard,TRUE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,اسبتالية,سبتل,Egypt+Sudan,1,1,0,0,0,0,D,D,L,L,L,0,Hard,TRUE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,اوبطال,بطل,Morocco+Algeria,1,1,0,0,0,0,D,D,L,L,L,0,Hard,TRUE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,دختر,دختر,Qatar+Saudi+Oman+Yemen,1,1,0,0,3,441,D,D,M,L,L,50,Hard,TRUE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبطار,سبطر,Morocco+Algeria,1,2,0,0,1,13,D,D,L,L,M,50,Hard,TRUE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبيتار,سبتر,Tunisia+Libya,1,1,0,0,3,745,D,D,M,L,L,50,Hard,TRUE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبيطار,سبطر,"Morocco+Algeria, Tunisia+Libya",2,2,0,0,3,756,D,D,M,M,M,150,Medium,TRUE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبيطال,سبطل,Tunisia+Libya,1,1,0,0,0,0,D,D,L,L,L,0,Hard,TRUE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,صبيطار,صبطر,Tunisia+Libya,1,1,0,0,1,29,D,D,L,L,L,0,Hard,TRUE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,مستشفى,شف,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,5,1,0,4,"6,324",S,D,M,H,H,1250,Easy,TRUE,FALSE
18,hospital,hôpital,مُسْتَشْفَى,NOUN,مشفى,شف,Syria+Lebanon+Jordan+Palestine,1,5,0,0,2,219,D,D,M,L,H,150,Medium,TRUE,FALSE
19,watch,montre,ساعَة,NOUN,ساعة,سع,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,4,"24,662",S,D,M,H,H,1250,Easy,TRUE,FALSE
19,watch,montre,ساعَة,NOUN,ساعة ايد,سع+د,Qatar+Saudi+Oman+Yemen,1,1,0,0,5,"127,789",D,D,H,L,L,100,Medium,TRUE,FALSE
19,watch,montre,ساعَة,NOUN,ساعة يد,سع+د,Qatar+Saudi+Oman+Yemen,1,1,0,0,6,"658,923",D,D,H,L,L,100,Medium,TRUE,FALSE
19,watch,montre,ساعَة,NOUN,مكانة,كن,Morocco+Algeria,1,1,0,0,3,"1,023",D,D,M,L,L,50,Hard,TRUE,FALSE
19,watch,montre,ساعَة,NOUN,منقالة,منقل,Tunisia+Libya,1,1,0,0,1,24,D,D,L,L,L,0,Hard,TRUE,FALSE
20,"pain , hurt","douleur , mal",أَلَم,NOUN,الم,لم,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,5,1,0,6,"813,532",S,D,H,H,H,1300,Easy,TRUE,TRUE
20,"pain , hurt","douleur , mal",أَلَم,NOUN,جرح,جرح,Qatar+Saudi+Oman+Yemen,1,1,0,0,6,"359,074",D,D,H,L,L,100,Medium,TRUE,TRUE
20,"pain , hurt","douleur , mal",أَلَم,NOUN,حرق,حرق,Morocco+Algeria,1,1,0,0,5,"140,802",D,D,H,L,L,100,Medium,TRUE,TRUE
20,"pain , hurt","douleur , mal",أَلَم,NOUN,حريق,حرق,Morocco+Algeria,1,1,0,0,6,"563,291",D,D,H,L,L,100,Medium,TRUE,TRUE
20,"pain , hurt","douleur , mal",أَلَم,NOUN,سهر,سهر,Qatar+Saudi+Oman+Yemen,1,1,0,0,5,"140,203",D,D,H,L,L,100,Medium,TRUE,TRUE
20,"pain , hurt","douleur , mal",أَلَم,NOUN,ضر,ضرر,Syria+Lebanon+Jordan+Palestine,1,1,0,0,5,"88,564",D,D,H,L,L,100,Medium,TRUE,TRUE
20,"pain , hurt","douleur , mal",أَلَم,NOUN,عذاب,عذب,Syria+Lebanon+Jordan+Palestine,1,1,0,0,6,"990,446",D,D,H,L,L,100,Medium,TRUE,TRUE
20,"pain , hurt","douleur , mal",أَلَم,NOUN,عوار,عر,Qatar+Saudi+Oman+Yemen,1,1,0,0,4,"6,759",D,D,M,L,L,50,Hard,TRUE,TRUE
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجع,جع,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,0,0,6,"464,270",D,D,H,H,H,300,Easy,TRUE,TRUE
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجيعة,جع,Tunisia+Libya,1,6,0,0,2,100,D,D,M,L,H,150,Medium,TRUE,TRUE
21,special,spécial,خاصّ,ADJ,خاص,خصص,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,5,1,0,6,"1,243,275",S,D,H,H,H,1300,Easy,FALSE,FALSE
21,special,spécial,خاصّ,ADJ,خاصة,خصص,Tunisia+Libya,1,5,1,0,4,"13,400",S,D,M,L,H,1150,Easy,FALSE,FALSE
21,special,spécial,خاصّ,ADJ,خصوصي,خصص,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,5,0,0,4,"7,726",D,D,M,M,H,200,Easy,FALSE,FALSE
21,special,spécial,خاصّ,ADJ,سبسيال,سبسل,"Morocco+Algeria, Tunisia+Libya",2,2,0,1,2,35,D,S,M,M,M,250,Easy,FALSE,FALSE
21,special,spécial,خاصّ,ADJ,سبيشل,سبشل,Egypt+Sudan,1,1,0,1,4,"7,800",D,S,M,L,L,150,Medium,FALSE,FALSE
21,special,spécial,خاصّ,ADJ,متميز,مز,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",2,3,0,0,5,"110,669",D,D,H,M,M,200,Easy,FALSE,FALSE
21,special,spécial,خاصّ,ADJ,مخصوص,خصص,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,5,0,0,4,"15,609",D,D,M,M,H,200,Easy,FALSE,FALSE
21,special,spécial,خاصّ,ADJ,مميز,مز,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",3,3,0,0,6,"542,411",D,D,H,M,M,200,Easy,FALSE,FALSE
22,personal,personnel,شَخْصِيّ,ADJ,بريفي,برف,Morocco+Algeria,1,1,0,0,3,408,D,D,M,L,L,50,Hard,FALSE,FALSE
