ID,English,French,MSA,POS,CODA,Region,DCom,RCom,ASim,FSim,DFreq,DA_Frequency,ASimLevel,FSimLevel,DFreqLevel,DComLevel,RComLevel,EasinessScore,EasinessCategory
3,train,train,قِطار,NOUN,طرن,Morocco+Algeria,1,1,0,0,3,322,D,D,M,L,L,50,Hard
3,train,train,قِطار,NOUN,قطار,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",5,6,1,0,5,"74,383",S,D,H,H,H,1300,Easy
3,train,train,قِطار,NOUN,قطر,Egypt+Sudan,1,6,1,0,6,"1,175,187",S,D,H,L,H,1200,Easy
3,train,train,قِطار,NOUN,وابور,Egypt+Sudan,1,6,0,0,2,172,D,D,M,L,H,150,Medium
4,restaurant,restaurant,مَطْعَم,NOUN,رستوران,"Egypt+Sudan, Morocco+Algeria, Tunisia+Libya",3,3,0,1,1,16,D,S,L,M,M,200,Easy
4,restaurant,restaurant,مَطْعَم,NOUN,ريستو,Morocco+Algeria,1,2,0,0,1,18,D,D,L,L,M,50,Hard
4,restaurant,restaurant,مَطْعَم,NOUN,ريستوران,Morocco+Algeria,1,3,0,1,1,14,D,S,L,L,M,150,Medium
4,restaurant,restaurant,مَطْعَم,NOUN,ريستورو,Morocco+Algeria,1,1,0,0,0,0,D,D,L,L,L,0,Hard
4,restaurant,restaurant,مَطْعَم,NOUN,مطعم,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,5,"181,449",S,D,H,H,H,1300,Easy
5,name,nom,ٱِسْم,NOUN,آسم,Morocco+Algeria,1,6,0,0,2,161,D,D,M,L,H,150,Medium
5,name,nom,ٱِسْم,NOUN,اسم,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,0,0,6,"1,009,398",D,D,H,H,H,300,Easy
5,name,nom,ٱِسْم,NOUN,سمية,Morocco+Algeria,1,6,0,0,3,"1,750",D,D,M,L,H,150,Medium
5,name,nom,ٱِسْم,NOUN,كنية,Morocco+Algeria,1,6,0,0,2,81,D,D,M,L,H,150,Medium
6,water,eau,ماء,NOUN,شربة,Tunisia+Libya,1,6,0,0,3,415,D,D,M,L,H,150,Medium
6,water,eau,ماء,NOUN,ما,"Morocco+Algeria, Tunisia+Libya",2,6,1,0,8,"37,545,128",S,D,H,M,H,1250,Easy
6,water,eau,ماء,NOUN,ماء,Qatar+Saudi+Oman+Yemen,1,6,1,0,5,"295,270",S,D,H,L,H,1200,Easy
6,water,eau,ماء,NOUN,ماي,"Iraq, Qatar+Saudi+Oman+Yemen",2,6,1,0,5,"76,919",S,D,H,M,H,1250,Easy
6,water,eau,ماء,NOUN,موي,Qatar+Saudi+Oman+Yemen,1,6,1,0,4,"3,638",S,D,M,L,H,1150,Easy
6,water,eau,ماء,NOUN,موية,"Qatar+Saudi+Oman+Yemen, Egypt+Sudan",2,6,1,0,3,"1,329",S,D,M,M,H,1200,Easy
6,water,eau,ماء,NOUN,مي,"Syria+Lebanon+Jordan+Palestine, Iraq",2,6,1,0,6,"750,385",S,D,H,M,H,1250,Easy
6,water,eau,ماء,NOUN,مية,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya",4,6,1,0,4,"6,661",S,D,M,H,H,1250,Easy
7,yen,yen,يِن,NOUN,يان,Tunisia+Libya,1,6,1,1,4,"18,953",S,S,M,L,H,1250,Easy
7,yen,yen,يِن,NOUN,ين,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,1,5,"79,068",S,S,H,H,H,1400,Easy
8,week,semaine,أُسْبُوع,NOUN,اسبوع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,6,"492,738",S,D,H,H,H,1300,Easy
8,week,semaine,أُسْبُوع,NOUN,جمعة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",3,6,0,0,4,"4,904",D,D,M,M,H,200,Easy
8,week,semaine,أُسْبُوع,NOUN,سبوع,"Qatar+Saudi+Oman+Yemen, Tunisia+Libya",2,6,1,0,4,"12,991",S,D,M,M,H,1200,Easy
8,week,semaine,أُسْبُوع,NOUN,سمانة,Morocco+Algeria,1,4,0,1,2,68,D,S,M,L,H,250,Easy
8,week,semaine,أُسْبُوع,NOUN,سيمانة,Morocco+Algeria,1,4,0,1,2,89,D,S,M,L,H,250,Easy
9,insurance,assurance,تَأْمِين,NOUN,اسيرونس,Tunisia+Libya,1,2,0,1,0,2,D,S,L,L,M,150,Medium
9,insurance,assurance,تَأْمِين,NOUN,اسرنس,Morocco+Algeria,1,2,0,1,0,0,D,S,L,L,M,150,Medium
9,insurance,assurance,تَأْمِين,NOUN,بوليصة,Egypt+Sudan,1,3,0,0,1,19,D,D,L,L,M,50,Hard
9,insurance,assurance,تَأْمِين,NOUN,بيما,Qatar+Saudi+Oman+Yemen,1,2,0,0,2,222,D,D,M,L,M,100,Medium
9,insurance,assurance,تَأْمِين,NOUN,تأمين,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,3,781,S,D,M,H,H,1250,Easy
9,insurance,assurance,تَأْمِين,NOUN,سيقورطة,Tunisia+Libya,1,1,0,0,1,10,D,D,L,L,L,0,Hard
9,insurance,assurance,تَأْمِين,NOUN,ضمان,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",5,5,0,0,6,"399,576",D,D,H,H,H,300,Easy
9,insurance,assurance,تَأْمِين,NOUN,ضمانة,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",2,5,0,0,2,61,D,D,M,M,H,200,Easy
9,insurance,assurance,تَأْمِين,NOUN,لاصورونس,Morocco+Algeria,1,1,0,0,0,0,D,D,L,L,L,0,Hard
10,month,mois,شَهْر,NOUN,شهر,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,6,"678,996",S,D,H,H,H,1300,Easy
11,red,rouge,أَحْمَر,ADJ,احمر,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",6,6,1,0,5,"255,932",S,D,H,H,H,1300,Easy
11,red,rouge,أَحْمَر,ADJ,حمر,"Iraq, Tunisia+Libya",2,6,1,0,4,"31,060",S,D,M,M,H,1200,Easy
11,red,rouge,أَحْمَر,ADJ,حمرة,Morocco+Algeria,1,6,1,0,3,791,S,D,M,L,H,1150,Easy
11,red,rouge,أَحْمَر,ADJ,روج,"Morocco+Algeria, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",3,6,0,1,4,"23,905",D,S,M,M,H,300,Easy
11,red,rouge,أَحْمَر,ADJ,نبيتي,Syria+Lebanon+Jordan+Palestine,1,2,0,0,3,488,D,D,M,L,M,100,Medium
11,red,rouge,أَحْمَر,ADJ,نبيدي,Syria+Lebanon+Jordan+Palestine,1,1,0,0,0,1,D,D,L,L,L,0,Hard
11,red,rouge,أَحْمَر,ADJ,وردي,Egypt+Sudan,1,6,0,1,5,"42,247",D,S,H,L,H,300,Easy
12,possible,possible,مُمْكِن,ADJ,احتمال,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen, Egypt+Sudan, Tunisia+Libya",4,6,0,0,5,"94,114",D,D,H,H,H,300,Easy
12,possible,possible,مُمْكِن,ADJ,اسكه,Qatar+Saudi+Oman+Yemen,1,1,0,0,2,85,D,D,M,L,L,50,Hard
12,possible,possible,مُمْكِن,ADJ,بيجوز,Syria+Lebanon+Jordan+Palestine,1,1,0,0,3,"1,058",D,D,M,L,L,50,Hard
12,possible,possible,مُمْكِن,ADJ,بيصير,Syria+Lebanon+Jordan+Palestine,1,2,0,0,5,"71,498",D,D,H,L,M,150,Medium
12,possible,possible,مُمْكِن,ADJ,بلاك,Morocco+Algeria,1,5,0,0,5,"76,303",D,D,H,L,H,200,Easy
12,possible,possible,مُمْكِن,ADJ,بوسيبل,Morocco+Algeria,1,1,0,1,2,286,D,S,M,L,L,150,Medium
12,possible,possible,مُمْكِن,ADJ,جائز,Iraq,1,6,0,0,4,"10,748",D,D,M,L,H,150,Medium
12,possible,possible,مُمْكِن,ADJ,جايز,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",5,6,0,0,4,"30,954",D,D,M,H,H,250,Easy
12,possible,possible,مُمْكِن,ADJ,مباح,Egypt+Sudan,1,2,0,0,5,"31,874",D,D,H,L,M,150,Medium
12,possible,possible,مُمْكِن,ADJ,محتمل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,6,0,0,4,"12,689",D,D,M,M,H,200,Easy
12,possible,possible,مُمْكِن,ADJ,مسموح,Morocco+Algeria,1,6,0,0,5,"62,838",D,D,H,L,H,200,Easy
12,possible,possible,مُمْكِن,ADJ,معقول,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",2,6,0,0,5,"98,544",D,D,H,M,H,250,Easy
12,possible,possible,مُمْكِن,ADJ,ممكن,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,6,"1,683,114",S,D,H,H,H,1300,Easy
12,possible,possible,مُمْكِن,ADJ,وارد,"Syria+Lebanon+Jordan+Palestine, Iraq, Egypt+Sudan, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",5,6,0,0,5,"61,034",D,D,H,H,H,300,Easy
12,possible,possible,مُمْكِن,ADJ,يجوز,Iraq,1,6,0,0,5,"157,736",D,D,H,L,H,200,Easy
12,possible,possible,مُمْكِن,ADJ,يصير,Qatar+Saudi+Oman+Yemen,1,6,0,0,6,"509,724",D,D,H,L,H,200,Easy
12,possible,possible,مُمْكِن,ADJ,يمكن,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",3,6,0,0,6,"1,611,631",D,D,H,M,H,250,Easy
13,museum,musée,مَتْحَف,NOUN,انتيكخانة,Egypt+Sudan,1,1,0,0,0,0,D,D,L,L,L,0,Hard
13,museum,musée,مَتْحَف,NOUN,متحف,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,5,"59,890",S,D,H,H,H,1300,Easy
13,museum,musée,مَتْحَف,NOUN,ميوزيه,Morocco+Algeria,1,1,0,1,0,0,D,S,L,L,L,100,Medium
14,door,porte,باب,NOUN,باب,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,6,"1,179,708",S,D,H,H,H,1300,Easy
14,door,porte,باب,NOUN,بوابة,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine",2,6,1,0,3,"3,066",S,D,M,M,H,1200,Easy
14,door,porte,باب,NOUN,دروازة,Qatar+Saudi+Oman+Yemen,1,1,0,0,1,27,D,D,L,L,L,0,Hard
15,tea,thé,شاي,NOUN,اتاي,Morocco+Algeria,1,6,0,1,3,"1,059",D,S,M,L,H,250,Easy
15,tea,thé,شاي,NOUN,تاي,Tunisia+Libya,1,6,0,1,4,"13,029",D,S,M,L,H,250,Easy
15,tea,thé,شاي,NOUN,شاي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",4,6,1,0,5,"75,905",S,D,H,H,H,1300,Easy
15,tea,thé,شاي,NOUN,شاهي,"Tunisia+Libya, Qatar+Saudi+Oman+Yemen",2,4,0,0,5,"62,424",D,D,H,M,H,250,Easy
15,tea,thé,شاي,NOUN,لتاي,Morocco+Algeria,1,1,0,0,2,115,D,D,M,L,L,50,Hard
16,white,blanc,أَبْيَض,ADJ,ابيض,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,6,1,0,5,"262,393",S,D,H,H,H,1300,Easy
16,white,blanc,أَبْيَض,ADJ,ابيضاني,Iraq,1,1,0,0,2,202,D,D,M,L,L,50,Hard
16,white,blanc,أَبْيَض,ADJ,احمر,Egypt+Sudan,1,6,0,0,5,"255,932",D,D,H,L,H,200,Easy
16,white,blanc,أَبْيَض,ADJ,بلون,Morocco+Algeria,1,5,0,1,4,"29,976",D,S,M,L,H,250,Easy
16,white,blanc,أَبْيَض,ADJ,بيض,Morocco+Algeria,1,6,1,0,5,"249,536",S,D,H,L,H,1200,Easy
17,stamp,timbre,طابِع,NOUN,تامبر,Morocco+Algeria,1,2,0,1,2,54,D,S,M,L,M,200,Easy
17,stamp,timbre,طابِع,NOUN,تمبر,Morocco+Algeria,1,2,0,1,2,95,D,S,M,L,M,200,Easy
17,stamp,timbre,طابِع,NOUN,تمبري,Tunisia+Libya,1,2,0,1,1,6,D,S,L,L,M,150,Medium
17,stamp,timbre,طابِع,NOUN,ختم,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Egypt+Sudan",3,6,0,0,5,"95,906",D,D,H,M,H,250,Easy
17,stamp,timbre,طابِع,NOUN,دمغة,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine",2,2,0,0,1,15,D,D,L,M,M,100,Medium
17,stamp,timbre,طابِع,NOUN,طابع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,6,1,0,4,"25,375",S,D,M,H,H,1250,Easy
17,stamp,timbre,طابِع,NOUN,طابعة,Egypt+Sudan,1,6,1,0,2,54,S,D,M,L,H,1150,Easy
18,hospital,hôpital,مُسْتَشْفَى,NOUN,ازبتالية,Egypt+Sudan,1,1,0,0,0,0,D,D,L,L,L,0,Hard
18,hospital,hôpital,مُسْتَشْفَى,NOUN,اسبتالية,Egypt+Sudan,1,1,0,0,0,0,D,D,L,L,L,0,Hard
18,hospital,hôpital,مُسْتَشْفَى,NOUN,اوبطال,Morocco+Algeria,1,5,0,0,0,0,D,D,L,L,H,100,Medium
18,hospital,hôpital,مُسْتَشْفَى,NOUN,دختر,Qatar+Saudi+Oman+Yemen,1,1,0,0,3,441,D,D,M,L,L,50,Hard
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبطار,Morocco+Algeria,1,2,0,0,1,13,D,D,L,L,M,50,Hard
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبيتار,Tunisia+Libya,1,1,0,0,3,745,D,D,M,L,L,50,Hard
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبيطار,"Morocco+Algeria, Tunisia+Libya",2,2,0,0,3,756,D,D,M,M,M,150,Medium
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبيطال,Tunisia+Libya,1,1,0,0,0,0,D,D,L,L,L,0,Hard
18,hospital,hôpital,مُسْتَشْفَى,NOUN,صبيطار,Tunisia+Libya,1,1,0,0,1,29,D,D,L,L,L,0,Hard
18,hospital,hôpital,مُسْتَشْفَى,NOUN,مستشفى,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,6,1,0,4,"6,324",S,D,M,H,H,1250,Easy
18,hospital,hôpital,مُسْتَشْفَى,NOUN,مشفى,Syria+Lebanon+Jordan+Palestine,1,6,0,0,2,219,D,D,M,L,H,150,Medium
19,watch,montre,ساعَة,NOUN,ساعة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,4,"24,662",S,D,M,H,H,1250,Easy
19,watch,montre,ساعَة,NOUN,ساعة ايد,Qatar+Saudi+Oman+Yemen,1,1,0,0,5,"127,789",D,D,H,L,L,100,Medium
19,watch,montre,ساعَة,NOUN,ساعة يد,Qatar+Saudi+Oman+Yemen,1,1,0,0,6,"658,923",D,D,H,L,L,100,Medium
19,watch,montre,ساعَة,NOUN,مكانة,Morocco+Algeria,1,6,0,0,3,"1,023",D,D,M,L,H,150,Medium
19,watch,montre,ساعَة,NOUN,منقالة,Tunisia+Libya,1,1,0,0,1,24,D,D,L,L,L,0,Hard
20,"pain , hurt","douleur , mal",أَلَم,NOUN,الم,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,6,1,0,6,"813,532",S,D,H,H,H,1300,Easy
20,"pain , hurt","douleur , mal",أَلَم,NOUN,جرح,Qatar+Saudi+Oman+Yemen,1,1,0,0,6,"359,074",D,D,H,L,L,100,Medium
20,"pain , hurt","douleur , mal",أَلَم,NOUN,حرق,Morocco+Algeria,1,3,0,0,5,"140,802",D,D,H,L,M,150,Medium
20,"pain , hurt","douleur , mal",أَلَم,NOUN,حريق,Morocco+Algeria,1,3,0,0,6,"563,291",D,D,H,L,M,150,Medium
20,"pain , hurt","douleur , mal",أَلَم,NOUN,سهر,Qatar+Saudi+Oman+Yemen,1,2,0,0,5,"140,203",D,D,H,L,M,150,Medium
20,"pain , hurt","douleur , mal",أَلَم,NOUN,ضر,Syria+Lebanon+Jordan+Palestine,1,6,0,0,5,"88,564",D,D,H,L,H,200,Easy
20,"pain , hurt","douleur , mal",أَلَم,NOUN,عذاب,Syria+Lebanon+Jordan+Palestine,1,6,0,0,6,"990,446",D,D,H,L,H,200,Easy
20,"pain , hurt","douleur , mal",أَلَم,NOUN,عوار,Qatar+Saudi+Oman+Yemen,1,6,0,0,4,"6,759",D,D,M,L,H,150,Medium
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجع,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,0,0,6,"464,270",D,D,H,H,H,300,Easy
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجيعة,Tunisia+Libya,1,6,0,0,2,100,D,D,M,L,H,150,Medium
21,special,spécial,خاصّ,ADJ,خاص,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,6,1,0,6,"1,243,275",S,D,H,H,H,1300,Easy
21,special,spécial,خاصّ,ADJ,خاصة,Tunisia+Libya,1,6,1,0,4,"13,400",S,D,M,L,H,1150,Easy
21,special,spécial,خاصّ,ADJ,خصوصي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,6,0,0,4,"7,726",D,D,M,M,H,200,Easy
21,special,spécial,خاصّ,ADJ,سبسيال,"Morocco+Algeria, Tunisia+Libya",2,2,0,1,2,35,D,S,M,M,M,250,Easy
21,special,spécial,خاصّ,ADJ,سبيشل,Egypt+Sudan,1,1,0,1,4,"7,800",D,S,M,L,L,150,Medium
21,special,spécial,خاصّ,ADJ,متميز,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",2,5,0,0,5,"110,669",D,D,H,M,H,250,Easy
21,special,spécial,خاصّ,ADJ,مخصوص,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,6,0,0,4,"15,609",D,D,M,M,H,200,Easy
21,special,spécial,خاصّ,ADJ,مميز,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",3,5,0,0,6,"542,411",D,D,H,M,H,250,Easy
22,personal,personnel,شَخْصِيّ,ADJ,بريفي,Morocco+Algeria,1,1,0,0,3,408,D,D,M,L,L,50,Hard
22,personal,personnel,شَخْصِيّ,ADJ,خاص,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",4,6,0,0,6,"1,243,275",D,D,H,H,H,300,Easy
22,personal,personnel,شَخْصِيّ,ADJ,خصوصي,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",4,6,0,0,4,"7,726",D,D,M,H,H,250,Easy
22,personal,personnel,شَخْصِيّ,ADJ,ذاتي,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",2,3,0,0,5,"83,719",D,D,H,M,M,200,Easy
22,personal,personnel,شَخْصِيّ,ADJ,شخصي,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,6,1,0,5,"85,998",S,D,H,H,H,1300,Easy
23,stay,séjour,إِقامَة,NOUN,اقامة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",5,6,1,0,3,387,S,D,M,H,H,1250,Easy
23,stay,séjour,إِقامَة,NOUN,بيات,Egypt+Sudan,1,6,0,0,4,"4,243",D,D,M,L,H,150,Medium
23,stay,séjour,إِقامَة,NOUN,جلسة,Qatar+Saudi+Oman+Yemen,1,5,0,0,4,"3,347",D,D,M,L,H,150,Medium
23,stay,séjour,إِقامَة,NOUN,سجور,Morocco+Algeria,1,5,0,1,0,0,D,S,L,L,H,200,Easy
23,stay,séjour,إِقامَة,NOUN,سيجور,Tunisia+Libya,1,5,0,1,1,6,D,S,L,L,H,200,Easy
23,stay,séjour,إِقامَة,NOUN,قعاد,Egypt+Sudan,1,6,0,0,3,452,D,D,M,L,H,150,Medium
23,stay,séjour,إِقامَة,NOUN,قعدة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",5,6,0,0,3,931,D,D,M,H,H,250,Easy
23,stay,séjour,إِقامَة,NOUN,مبيت,"Morocco+Algeria, Qatar+Saudi+Oman+Yemen",2,6,0,0,4,"3,920",D,D,M,M,H,200,Easy
23,stay,séjour,إِقامَة,NOUN,نزلة,Qatar+Saudi+Oman+Yemen,1,6,0,0,3,438,D,D,M,L,H,150,Medium
24,fruit,fruit,فاكِهَة,NOUN,ثمر,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,3,0,0,4,"14,403",D,D,M,M,M,150,Medium
24,fruit,fruit,فاكِهَة,NOUN,خضرة,Qatar+Saudi+Oman+Yemen,1,6,0,0,3,613,D,D,M,L,H,150,Medium
24,fruit,fruit,فاكِهَة,NOUN,ديسار,Tunisia+Libya,1,2,0,0,1,25,D,D,L,L,M,50,Hard
24,fruit,fruit,فاكِهَة,NOUN,غلة,Tunisia+Libya,1,3,0,0,2,72,D,D,M,L,M,100,Medium
24,fruit,fruit,فاكِهَة,NOUN,فاكهة,"Egypt+Sudan, Iraq, Tunisia+Libya, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",5,6,1,0,3,525,S,D,M,H,H,1250,Easy
24,fruit,fruit,فاكِهَة,NOUN,فاكية,Morocco+Algeria,1,2,0,0,1,4,D,D,L,L,M,50,Hard
24,fruit,fruit,فاكِهَة,NOUN,فروي,Morocco+Algeria,1,6,0,1,2,308,D,S,M,L,H,250,Easy
24,fruit,fruit,فاكِهَة,NOUN,فواكة,Syria+Lebanon+Jordan+Palestine,1,6,0,0,2,55,D,D,M,L,H,150,Medium
24,fruit,fruit,فاكِهَة,NOUN,فواكه,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Morocco+Algeria, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",6,6,1,0,4,"8,947",S,D,M,H,H,1250,Easy
