ID,English,French,MSA,POS,Easy_target,Medium_target,Hard_target,Easy_distractor,Medium_distractor,Hard_distractor
178,street,rue,شارِع,NOUN,طريق,زنقة,زاروب,,,
179,trip,voyage,رِحْلَة,NOUN,سفرة,طلعة,جولة,,,
182,night,nuit,لَيْل,NOUN,مسا,عشا,فالليل,,,
183,place,endroit,مَكان,NOUN,موقع,جهة,دعنة,,,
184,sure,sûr,مُتَأَكِّد,ADJ,اكيد,من جد,متيقن,,,
190,double,double,مُزْدَوِج,ADJ,مضاعف,ثنين,زوز,,,
191,meal,repas,وَجْبَة,NOUN,صحن,فطور,روبى,,,
192,doctor,médecin,طَبِيب,NOUN,دكتور,حكيم,تكتور,,,
193,police,police,شُرْطَة,NOUN,بوليس,درك,لابوليس,,,
195,boat,bateau,قارِب,NOUN,زورق,فلوكة,طراد,,,
199,letter,lettre,خِطاب,NOUN,مكتوب,كلمة,قرطاسة,,,
200,hat,chapeau,قُبَّعَة,NOUN,شابو,كاسكيت,كلاو,,,
202,soup,soupe,حَساء,NOUN,شربة,مرقة,صوبة,,,
203,clothes,vêtement,مَلابِس,NOUN,هدوم,كسوة,قش,,,
205,dish,plat,طَبَق,NOUN,صحن,تبسي,صينية,,,
207,form,formulaire,ٱِسْتِمارَة,NOUN,نموذج,ورقة,اورنيك,,,
209,"want , would like",vouloir,أَراد ، وَدّ ، رَغِب,VERB,حب,كان مشتهي,اشتى,,,
211,smoking,fumer,تَدْخِين,NOUN,دخان,شراب السجاير,دوخة,,,
212,sit,se asseoir,جَلَس,VERB,قعد,تربع,كدس,,,
214,"best , better",meilleur,أَفْضَل,ADJ,احسن,خير,ازبط,,,
217,seem,sembler,بَدا,VERB,شكله,كان شكل,تهايا,,,
218,operator,opérateur,عامِل ال+ تِلِفُون,NOUN,عامل التلفون,عامل المقسم,المرة,,,
219,explain,expliquer,شَرَح,VERB,وضح,فصل,علل,,,
220,depend,dépendre,تَوَقَّف عَلَى,ADP,اعتمد,قايم على,اتكل,,,
222,table,table,مائِدَة,NOUN,طاولة,طبلية,تخت,,,
224,stomach,estomac,مَعِدَة,NOUN,بطن,كرشة,ليسطومة,,,
226,steal,voler,سَرَق,VERB,باق,اختلس,شل,,,
227,give,donner,أَعْطَى,VERB,جاب,هز,مكن,,,
228,seat,place,مَقْعَد,NOUN,مكان,محل,دكة,,,
230,size,taille,مَقاس ، حَجْم,NOUN,طول,كبر,قامة,,,
231,"speak , talk",parler,تَحَدَّث ، تَكَلَّم,VERB,قال,اتحاكى,تجابر,,,
232,look for,chercher,بَحَث,VERB,فتش,ابصر وين,لوج,,,
233,maybe,peut-être,رُبَّما,ADV,امكن,قد يكون,بيجوز,,,
235,case,cas,حالَة,NOUN,كيس,قضية,مسألة,,,
236,bed,lit,سَرِير,NOUN,فرش,عن قريب,ناموسية,,,
237,driver 's license,permis de conduire,رُخْصَة قِيادَة,NOUN,رخصة,برمي,اجازة,,,
238,wonderful,merveilleux,رائِع,ADJ,هايل,شي كبير,بيعقد,,,
239,plate,assiette,طَبَق,NOUN,صحن,ماعون,وعا,,,
241,lipstick,rouge à lèvre,أَحْمَر ال+ شِفاه,NOUN,روج الافر,احمر شفايف,بترة,,,
242,call,appel,مُكالَمَة,NOUN,اتصال,مخابرة,تعيطة,,,
244,fever,fièvre,حُمَّى,NOUN,حرارة,سخانة,حرارة مرتفعة,,,
245,old,vieux,قَدِيم,ADJ,عتيق,عجوز,شارف,,,
248,picture,photo,صُورَة,NOUN,تصويرة,رسمة,تابلوه,,,
249,line,ligne,خَطّ,NOUN,سطر,صف,طابور,,,
250,serve,servir,قَدَّم,VERB,ضيف,سيرفى,دنى,,,
251,idea,idée,فِكْرَة,NOUN,ايدي,راي,شور,,,
254,pay,payer,دَفَع,VERB,خلص,تك,اوفى,,,
259,people,gens,ناس,NOUN,اهل,رجال,جماعة,,,
260,subway,métro,مِتْرُو ال+ انَفَاق,NOUN,مترو الانفاق,قطار الانفاق,نفق,,,
261,"baggage , luggage",bagage,مَتاع,NOUN,اغراض,شناطي,شواكيش,,,
263,right,bon,صَحِيح,ADJ,صح,كاين منها,باهي,,,
265,price tag,étiquette de prix,بِطاقَة ال+ سِعْر,NOUN,سعر,كرت,علامة,,,
266,put,mettre,وَضَع,VERB,حط,ترك,ذب,,,
268,aisle,couloir,مَمَرّ,NOUN,كولوار,ممشى,مخطف,,,
270,wonder,demander,تَساءَل,VERB,استغرب,تعجب,استفسر,,,
272,join,joindre,ٱِنْضَمّ,VERB,اشترك,انتمى,ولى,,,
274,family,famille,أُسْرَة,NOUN,عايلة,ناس البيت,لافامي,,,
275,building,bâtiment,مَبْنَى,NOUN,عمارة,بنيان,موبل,,,
276,help,aide,مُساعَدَة,NOUN,دعم,مساندة,نجدة,,,
277,what time,à quelle heure,مَتَى,ADV,الساعة كم,متين,احين,,,
278,break,casser,كَسَر,VERB,خرب,صار رجيع,حطم,,,
280,start,commencer,بَدَأ,VERB,ابتدا,شرع,كماصا,,,
281,send,envoyer,أَرْسَل,VERB,ودى,وجه,صافط,,,
283,ready,prêt,جاهِز,ADJ,مستعد,مجهز,واتي,,,
284,dress,robe,فُسْتان,NOUN,روبة,ثوب نسائي,كسوة,,,
287,customs,douane,ال+ جَمارِك,NOUN,ديوانة,الرسوم,التفتيش,,,
289,center,centre,مَرْكَز,NOUN,سنتر,مقر,فسط,,,
290,prescription,ordonnance,رُوشِتَّة ، وصفة دواء,NOUN,وصفة,اردوننس,ورقة الدوا,,,
292,good,bon,جَيِّد,ADJ,جميل,بخير,يشهي,,,
294,do you mind,ça vous déranger,هَلْ تُمانِع,VERB,لو سمحت,عفوا,وخا,,,
295,problem,problème,مُشْكِلَة,NOUN,اشكالية,ورطة,بلشة,,,
298,include,comprendre,شَمِل,VERB,اشتمل,فيه,خشش,,,
300,hot,chaud,ساخِن,ADJ,حامي,يحرق,ملهلب,,,
303,return,retour,عَوْدَة,NOUN,رجوع,ردة,اياب,,,
304,elevator,ascenseur,مِصْعَد,NOUN,سانسور,صونصير,اصنصيل,,,
305,business,affaire,عَمَل,NOUN,شغل,افير,مهمة,,,
306,find,trouver,وَجَد,VERB,لقي,جبر,صاب,,,
307,stop,arrêter,تَوَقَّف,VERB,حبس,اتعطل,تبسمر,,,
310,see,voir,رَأَى,VERB,شاف,نظر,رابى,,,
311,suggest,suggérer,ٱِقْتَرَح,VERB,عرض,طرح,وصى,,,
312,floor,étage,طابِق,NOUN,دور,ايتاج,طاق,,,
314,go,aller,ذَهَب,VERB,مشي,رحل,ضوى,,,
317,keep,garder,ٱِحْتَفَظ,VERB,حفظ,حافض على,دعى,,,
318,jacket,veste,سُتْرَة,NOUN,جاكت,قميص,كبوت,,,
322,like,aimer,أَحَبّ,VERB,اعجب,بغى,اشتا,,,
323,ask,demander,سَأَل,VERB,طلب,استفسر,سقسى,,,
324,exchange,change,صَرْف,NOUN,تبديل,شونج,مقايضة,,,
326,rent,louer,ٱِسْتَأْجَر,VERB,اجر,كرى,ستقعد,,,
327,departure,départ,مُغادَرَة,NOUN,انطلاق,طلوع,شومة,,,
332,box,boîte,صُنْدُوق,NOUN,كرتون,علبة,باكو,,,
334,work,travail,عَمَل,NOUN,دوام,موضوع,كد,,,
338,press,appuyer,ضَغَط,VERB,زر,عصر,سدك,,,
340,follow,suivre,ٱِتَّبَع,VERB,لحق,راقب,ترصد,,,
341,list,liste,قائِمَة,NOUN,جدول,لايحة,فهرس,,,
343,exit,sortie,خُرُوج,NOUN,منفذ,طلعة,صرفة,,,
344,front,"en face de , face à",أَمام,NOUN,مقدمة,مقابيل,فوش,,,
345,single,simple,مُفْرَد,ADJ,وحيد,فردي,مفرداني,,,
346,part,partie,جُزْء,NOUN,طرف,حصة,نتفة,,,
347,use,utiliser,ٱِسْتَخْدَم,VERB,خدم,شغل,تعاطى,,,
349,drink,boisson,مَشْرُوب,NOUN,شراب,بواسون,حاجة نشربها,,,
350,great,génial,عَظِيم,ADJ,مهم,شي كبير,موش نرمال,,,
351,drop,tomber,سَقَط,VERB,طاح,تفلت,نكع,,,
352,happen,passer,حَدَث,VERB,جرى,طرى,داز,,,
353,change,monnaie,فَكَّة,NOUN,صرافة,تبديل,فراطة,,,
355,fill,remplir,مَلَأ,VERB,ترا,حشا,ترس,,,
356,ticket,billet,تَذْكَرَة,NOUN,تكت,بطاقة دخول,بيي,,,
357,other,autre,أُخْرَى,ADJ,غير,واحد آخر,لاخ,,,
360,have,devoir,ٱِضْطَرّ,VERB,كان لازم,كان خاصه,تلز,,,
361,by the way,au fait,بِ+ ال+ مُناسَبَة,NOUN,بالمناسبة,حقا,لعلمك,,,
366,order,commander,طَلَب,VERB,امر,كلف,فوض,,,
368,full,complet,كامِل,ADJ,مملي,ممتلي,متروس,,,
369,finish,finir,ٱِنْتَهَى,VERB,فنش,تم,انعدم,,,
371,moment,moment,لَحْظَة,NOUN,دقيقة,شوي,نوبة,,,
372,time,temps,وَقْت,NOUN,حين,زمن,اوان,,,
373,know,"savoir , connaître",عَرَف,VERB,دري,سمع,استخبر,,,
374,do,faire,فَعَل ، قام بِ+,ADP,نفذ,قام,سبر,,,
381,food,cuisine,طَعام,NOUN,اكال,ماكلة,طياب,,,
382,leave,partir,غادَر,VERB,راح,فات,هج,,,
383,"too , also",aussi,أَيْضاً,ADV,حتى,ثاني,همين,,,
384,last,dernier,ماضِي,ADJ,اللي فات,فايت,اخراني,,,
386,need,falloir,ٱِحْتاج,VERB,لزم,اعتاز,بغى,,,
387,money,argent,نُقود,NOUN,فلوس,بيس,مصاري,,,
389,lady,dame,سَيِّدَة,NOUN,مادام,مدموزيل,حرمة,,,
390,style,style,طِراز,NOUN,موديل,نمط,صورة,,,
392,report,rapport,تَقْرِير,NOUN,رابور,بلاغ,نبأ,,,
394,enjoy,apprécier,ٱِسْتَمْتَع,VERB,انبسط,عيش حياتك,زهى,,,
395,person,personne,شَخْص,NOUN,مخلوق,رجال,نسمة,,,
399,way,chemin,طَرِيق,NOUN,سبيل,خط,مسرب,,,
400,turn,tourner,ٱِتَّجَه,VERB,دور,افتر,احترف,,,
401,glass,verre,كُوب,NOUN,كاس,قلص,جلاص,,,
402,"then , so","alors , donc",إِذَنْ ، فَ+,CCONJ,طب,اذا,عب,,,
405,show me,montres moi,أرِ +نِي,PRON,بين لي,ظهر لي,ارجيني,,,
406,work,"marcher , travailler",عَمِل,VERB,اشتغل,مارس,كد,,,
407,call,"appeler , rappeler",ٱِتَّصَل,VERB,كلم,خابر,زهم,,,
410,let,laisser,دَعّ,VERB,خلى,خل,دخلي,,,
412,tonight,ce soir,ال+ لَيْلَة,NOUN,الليلة,اليوم فالليل,العشية,,,
414,discount,remise,خَصْم,NOUN,رميز,تنزيلات,اوكازيون,,,
415,kind,genre,نَوْع,NOUN,صنف,شكل,قالب,,,
419,come,venir,أَتَى ، حَضَر ، جاء,VERB,وصل,تفضل,مرق,,,
420,think,croire,ٱِعْتَقَد,VERB,اتصور,عن باله,مخمخ,,,
422,"store , shop",magasin,مَتْجَر ، مَحَلّ,NOUN,دكان,تكان,برادات,,,
423,"just , only",seulement,فَقَط,ADV,بس,برك,اكهو,,,
424,large,grand,كَبِير,ADJ,ضخم,عود,شحط,,,
425,"have , get",avoir,حَصَل,VERB,جاب,كان,احتكم,,,
426,make a call,passer un appel,أَجْرَى مُكالَمَة,NOUN,طلب,سوى اتصال,زهم,,,
427,tell,indiquer,أَخْبَر,VERB,قال,وصل,نبا,,,
428,check,vérifier,فَحَص,VERB,راجع,قلب,تمم,,,
429,"stay , remain",rester,مَكَث,VERB,فضل,تم,استنى,,,
430,beautiful,beau,جَمِيل,ADJ,وسيم,مزيان,زاز,,,
432,please,"s' il vous plait , veuillez",مِن فَضْل +ك,PRON,لو سمحت,من رخصتك,اترجاك,,,
433,have,avoir,لَدَى,NOUN,عند,معه,بيملك,,,
435,excuse me,excuser moi,ال+ مَعْذِرَة,NOUN,سامحني,سمحوا لي,المعذرة,,,
436,sorry,désoler,آسِف,NOUN,متأسف,عذرا,معلهش,,,
437,today,aujourd'hui,ال+ يَوْم,NOUN,اليوم,ذا اليوم,الليلة,,,
439,very,très,جِدّاً ، ل+ ال+ غاية,NOUN,قوي,كثير,خيرات,,,
440,well,eh bien,حَسَناً,NOUN,تمام,الحمد لالله,معله,,,
442,ah!,ah!,أَه!,INTJ,او,اخ,ياح,,,
444,is ... true ?,est -ce que ... ?,هَلْ ... ؟ ، أَ+ ... ؟,PART ... ?,هل,صدك,اسكو,,,
445,"could you ... ? , can you ... ?",peux -tu ... ?,هَل يُمكِنُ +كَ أن ... ؟,SCONJ ... ?,تقدر,تقدر تسوي,تنجم,,,
447,duty-free,hors taxe,مُعْفَى مِن ال+ جُمْرُك,NOUN,معفي من الجمرك,من غير جمارك,معفي مالجمرك,,,
449,good evening,bonsoir,مَساء ال+ خَيْر,NOUN,مساكم الله بالخير,مساك الله بالخير,ليلتك زينة,,,
451,few,quelque,بِضْع,DET,بعض,قليل,حبة,,,
452,in front,devant,أَمام,NOUN,قدام,مقابل,مقابيل,,,
453,hello,bonjour,مَرْحَباً,NOUN,سلام,خيرات,ازايك,,,
455,how much,combien,بِ+ كَمْ,ADV,قداش,شكثر,شحال,,,
457,most,la plupart,مُعْظَم ، أَغْلَب,DET,اكثر,الغالبية,لابلوبار,,,
463,oh!,oh!,أَه!,INTJ,او,يا,اوب,,,
464,okay,ok,حَسَناً,NOUN,اوكي,ما عليه,ميسالش,,,
465,go out,sortir,خَرَج,NOUN,طلع,راح,مشا,,,
466,"pardon , excuse me",pardon,عَفْواً,NOUN,عن اذنك,بعد اذنك,اعذرني,,,
467,percent,pour cent,بِ+ ال+ مِئَة,NOUN,بالمئة,في المية,نسبة,,,
469,someone,quelqu'un,شَخْص ما,PRON,احد,شي واحد,حدن,,,
470,such,tel que,مِثْل,NOUN,نفس,شبه,فحال,,,
472,get up,se lever,ٱِسْتَيْقَظ,VERB,قام,ناض,صبي,,,
473,what,quoi,ماذا,PRON,شني,شلون,وشهو,,,
476,"will , shall",aller,سَوْفَ ، سَ+,PART,راح,باش,بش,,,
477,wow,wouaou,واو,NOUN,الله,بالله,اوو,,,
478,"yes , yeah","oui , ouais",نَعَم ، أَجَل,INTJ,ايوه,هيه,باهي,,,
491,twelve,douze,إثْنَا عَشَر,NUM,اثنعشر,اثنعش,اثنعشن,,,
533,eleventh,onzième,ال+ حادِي عَشَر,NUM,الحادي عشر,الاهدعش,حدعشر,,,
535,thirteenth,treizième,ال+ ثالِث عَشَر,NUM,الثالث عشر,الثلاثتاعش,الثلاثتعشر,,,
538,sixteenth,seizième,ال+ سادِس عَشَر,NUM,السادس عشر,ستتعش,الستتعشر,,,
539,seventeenth,dix-septième,ال+ سابِع عَشَر,NUM,السابع عشر,السبعتعش,السبعتعشر,,,
540,eighteenth,dix-huitième,ال+ ثامِن عَشَر,NUM,الثامن عشر,الثمانتعش,الثمانتعشر,,,
541,nineteenth,dix-neuvième,ال+ تاسِع عَشَر,NUM,التاسع عشر,تسعتعش,التستعتعش,,,
571,about,environ,حَوالَي,NOUN,تقريبا,زي,علاين,,,
579,then,ensuite,ثُمَّ,CCONJ,وبعدين,خلاف,اومبعد,,,
580,another,autre,آخَر,ADJ,ثاني,وحد آخر,اللخري,,,
581,around,vers,حَوالَي ، حَول,NOUN,جنب,جويه,جيهة,,,
582,as,comme,كَ+,ADP,زي,كنه,سعما,,,
584,at,chez,عِنْد,NOUN,في,جنب,حذا,,,
585,because,parce que,لِ+ أَنَّ,SCONJ,لانه,علىشان,بارسكو,,,
587,behind,derrière,خَلْف,NOUN,ورا,بعد,مور,,,
588,beside,près,جِوار,NOUN,عند,حد,بجنب,,,
590,but,mais,لٰكِنْ,CCONJ,ولكن,مي,بصح,,,
592,during,pendant,خِلال,NOUN,وقت,طول,فوقت,,,
595,except,sauf,عَدا,VERB,ما عدا,كان,منعدا,,,
596,for,pour,لِ+ ، مِن أَجْل,NOUN,عشان,حق,منشان,,,
600,inside,à l' intérieur,داخِل,NOUN,الداخل,جوات,فوسط,,,
601,like,comme,مِثْل,NOUN,كي,شبه,فحال,,,
602,near,près,قُرْب,NOUN,جنب,حد,بجنب,,,
604,no,non,كَلّا,INTJ,لا لا,ما شي,هائه,,,
606,take off,baisser le prix,خَصَم,NOUN,نقص,قلل,هبط السومة,,,
609,outside,à l' extérieur,خارِج,NOUN,برات,برا,برع,,,
613,some,"du , quelque",بَعْض,NOUN,شي,حد,حبة,,,
616,"go through , cross",passer,عَبَر,VERB,قطع,جاز,مرق,,,
617,"till , until",jusque,حَتَّى,ADP,لحد,الى,لبين,,,
619,toward,vers,ٱِتِّجاه,NOUN,باتجاه,ناحية,فير,,,
622,while,pendant,أَثْناءَ,NOUN,خلال,لمن,بوندون,,,
625,without,sans,دُون,NOUN,بدون,بلا,مبلا,,,
628,mine,"le mien , la mienne , les miens , les miennes",لِ +ي,PRON,مالي,بو حالي,مالتي,,,
630,myself,moi-même,نَفْس +ِي,PRON,روحي,ذات نفسي,نيت,,,
635,our,nôtre,لَ +نا,PRON,حقنا,بو حالنا,مالتنا,,,
636,ourselves,nous-même,أنْفُسِ +نا,PRON,روحنا,ايدينا,وحدنا,,,
641,yours,"le tien , la tienne , les tiens , les tiennes",لَ +كَ,PRON,حقك,حالك,تاعك,,,
642,yourself,toi-même,نَفْس +كَ,PRON,نفسك,وحدك,نيت,,,
647,yours,"le tien , la tienne , les tiens , les tiennes",لَ +كِ,PRON,لك,بو حالش,الكي,,,
648,yourself,toi-même,نَفْس +كِ,PRON,نفسكي,انتي ذاتك,روحش,,,
649,you,vous,أَنْتُما,PRON,انتن,انتو الاثنين,ثنينكم,,,
652,yours,"la vôtre , le vôtre , les vôtres",لَ +كُما,PRON,حقكم,بو حلكن,لجن,,,
653,yourself,vous-même,نَفْس +كُما,PRON,نفسكم,انفسكن,نفسجن ثنينجن,,,
657,yours,"la vôtre , le vôtre , les vôtres",لَ +كُم,PRON,حقكم,بو حالكم,لالكو,,,
658,yourself,vous-même,نَفْس +كُم,PRON,انفسكم,روحكم,حالكم,,,
662,yours,"la vôtre , le vôtre , les vôtres",لَ +كُنَّ,PRON,حقكم,حقكن,ديالكم,,,
663,yourself,vous-même,نَفْس +كُنَّ,PRON,نفسكم,روحكم,حالكم,,,
668,his,"le sien , la sienne , les siens , les siennes",لَ +هُ,PRON,ماله,بو حله,مالته,,,
669,himself,lui-même,نَفْس +هُ,PRON,نفسه,وحده,بايده,,,
674,hers,"le sien , la sienne , les siens , les siennes",لَ +ها,PRON,حقها,حالها,ديالها,,,
675,herself,lui-même,نَفْس +ها,PRON,روحها,هي ذاتها,بايدها,,,
676,they,ils,هُما,PRON,هن,هنا,هنن,,,
680,theirs,"la leur , le leur , les leurs",لَ +هُما,PRON,لهم,مالهم,تبعهن,,,
681,themselves,eux-même,نَفْس +هُما,PRON,نفسهم,وحدهم,ذاتهن,,,
686,theirs,"la leur , le leur , les leurs",لَ +هُم,PRON,حقهم,تبعهم,الهن,,,
687,themselves,eux-même,نَفْس +هُم,PRON,نفسهم,هم ذاتهم,نفسهن,,,
688,they,elles,هُنَّ,PRON,هم,هوما,هنه,,,
692,theirs,"la leur , le leur , les leurs",لَ +هُنَّ,PRON,حقهم,الهن,تبعهن,,,
693,themselves,eux -même,نَفْس +هُنَّ,PRON,انفسهن,حالهم,نيت,,,
694,this,"ce , cet , ceci",هٰذا,DET,هاذا,ذا,ذيه,,,
695,this,"cette , celle -ci",هٰذِهِ,DET,هاذي,هاي,دهي,,,
699,that,"cela , celui -là",ذٰلِكَ,DET,ذاك,هداك,دهو,,,
703,what,que,ماذا,PRON,واش,شنيا,شنوما,,,
709,there is not ...,il n' y a pas,لَيْسَ هُنالِكَ ، لَيْسَ ثَمَّةَ ، لَيْسَ هُناكَ,ADV,مافيهش,ماكو,مابهش,,,
710,fare,tarif,أُجْرَة,NOUN,سعر,حق,نول,,,
714,black,noir,أَسْوَد,ADJ,اخضر,كحل,شوشان,,,
715,shoot,tirer,أَطْلَق,VERB,ضرب,طق,حدف,,,
717,declare,déclarer,أَعْلَن,VERB,بين,ديكلارا,روج,,,
719,mother,mère,أُمّ,NOUN,والدة,مامة,ماين,,,
720,son,fils,ٱِبْن,NOUN,عيل,طفل,ضنى,,,
722,listen,écouter,ٱِسْتَمَع,VERB,اتسمع,اتصنت,تنصت,,,
727,extra,supplémentaire,إِضافِيّ,ADJ,زيادة,احتياط,بزايد,,,
728,tire,pneu,إِطار,NOUN,تاير,بنو,دولاب,,,
733,exchange,échanger,بَدَّل,VERB,صرف,فك,قايض,,,
735,simple,simple,بَسِيط,ADJ,سهل,هوين,بديهي,,,
742,shopping,shopping,تَسَوُّق,NOUN,شرا,شوبينغ,تمهار,,,
745,tv,télé,تِلْفِزيُون,NOUN,تي في,تلفزة,لاتيلي,,,
749,timetable,horaire,جَدْوَل,NOUN,وقت,جدول مواعيد,ساعة,,,
752,shrimp,crevette,جَمْبَرِيّ,NOUN,كروفات,روبيان,شفرات,,,
753,quality,qualité,جَوْدَة,NOUN,كاليتي,نوعية,نوعية باهية,,,
757,bellboy,chasseur,خادِم,NOUN,عامل,بص بوي,حمال الشنط,,,
758,free,libre,خالِي,ADJ,فاضي,حر,خاوي,,,
760,serious,grave,خَطِير,ADJ,جاد,ضروري,رزين,,,
761,back,arrière,خَلْف,NOUN,وراء,التالي,مؤخرة,,,
763,invite,inviter,دَعا,VERB,عزم,نهم,انفيتا,,,
767,lobby,hall,رَدْهَة,NOUN,لوبي,فسحة,مجبب,,,
773,wife,femme,زَوْجَة,NOUN,حرم,مادام,مكلف,,,
776,happy,heureux,سَعِيد,ADJ,فرح,سالي,متونس,,,
777,ship,bateau,سَفِينَة,NOUN,باتو,بابور,يخت,,,
782,slice,tranche,شَرِيحَة,NOUN,قطعة,طرف,وصلة,,,
784,certificate,certificat,شَهادَة,NOUN,دبلوم,سيرتيفيكا,اجازة,,,
786,interesting,intéressant,شَيِّق,ADJ,مشوق,انترستنج,مسلي,,,
788,TRUE,vrai,صَحِيح,ADJ,صح,حق,مضبوط,,,
791,sauce,sauce,صَلْصَة,NOUN,صوص,مرق,صلصل,,,
792,make,fabriquer,صَنَع,VERB,عمل,صلح,صايب,,,
794,fishing,pêche,صَيْد,NOUN,صيد سمك,بحر,حداق,,,
796,emergency,les urgences,ال+ طَوَارِئ,NOUN,طوارئ,مستعجل,ارجنس,,,
797,student,étudiant,طالِب,NOUN,تلميذ,اتيديون,تلميد,,,
798,counter,comptoir,طاوِلَة,NOUN,كاونتر,طربيزة,ميز,,,
