concept_id	concept_en	concept_fr	msa_word	dia_word	msa_roots	cleaned_msa_root	dia_root	cleaned_dia_root	method
7	name	nom	ٱِسْم	آسم	سم#	سم	سم#	سم	analyzer
7	name	nom	ٱِسْم	اسم	سم#	سم	سم#	سم	analyzer
7	name	nom	ٱِسْم	سمية	سم#	سم	سم#	سم	analyzer
7	name	nom	ٱِسْم	كنية	سم#	سم	كن#	كن	analyzer
8	water	eau	ماء	شربة	م##	م	شرب	شرب	analyzer
8	water	eau	ماء	ما	م##	م	م	م	analyzer+fallback
8	water	eau	ماء	ماء	م##	م	م##	م	analyzer
8	water	eau	ماء	ماي	م##	م	م	م	analyzer+fallback
8	water	eau	ماء	موي	م##	م	م	م	analyzer+fallback
8	water	eau	ماء	موية	م##	م	م	م	analyzer+fallback
8	water	eau	ماء	مي	م##	م	م	م	analyzer+fallback
8	water	eau	ماء	مية	م##	م	م	م	analyzer+fallback
9	yen	yen	يِن	يان	ن	ن	ن	ن	fallback
9	yen	yen	يِن	ين	ن	ن	ن	ن	fallback
11	week	semaine	أُسْبُوع	اسبوع	سبع	سبع	سبع	سبع	analyzer
11	week	semaine	أُسْبُوع	جمعة	سبع	سبع	جمع	جمع	analyzer+fallback
11	week	semaine	أُسْبُوع	سبوع	سبع	سبع	سبع	سبع	analyzer
11	week	semaine	أُسْبُوع	سمانة	سبع	سبع	سمن	سمن	analyzer
11	week	semaine	أُسْبُوع	سيمانة	سبع	سبع	سمن	سمن	analyzer+fallback
12	insurance	assurance	تَأْمِين	اسيرونس	#من	من	سرنس	سرنس	analyzer+fallback
12	insurance	assurance	تَأْمِين	اسرنس	#من	من	سرنس	سرنس	analyzer+fallback
12	insurance	assurance	تَأْمِين	بوليصة	#من	من	بلص	بلص	analyzer+fallback
12	insurance	assurance	تَأْمِين	بيما	#من	من	بم	بم	analyzer+fallback
12	insurance	assurance	تَأْمِين	تأمين	#من	من	#من	من	analyzer
12	insurance	assurance	تَأْمِين	سيقورطة	#من	من	سقرط	سقرط	analyzer+fallback
12	insurance	assurance	تَأْمِين	ضمان	#من	من	ضمن	ضمن	analyzer
12	insurance	assurance	تَأْمِين	ضمانة	#من	من	ضمن	ضمن	analyzer
12	insurance	assurance	تَأْمِين	لاصورونس	#من	من	لصرنس	لصرنس	analyzer+fallback
13	month	mois	شَهْر	شهر	شهر	شهر	شهر	شهر	analyzer
14	red	rouge	أَحْمَر	احمر	حمر	حمر	حمر	حمر	analyzer+fallback
14	red	rouge	أَحْمَر	حمر	حمر	حمر	حمر	حمر	analyzer
14	red	rouge	أَحْمَر	حمرة	حمر	حمر	حمر	حمر	analyzer
14	red	rouge	أَحْمَر	روج	حمر	حمر	رج	رج	analyzer+fallback
14	red	rouge	أَحْمَر	نبيتي	حمر	حمر	نب#	نب	analyzer
14	red	rouge	أَحْمَر	نبيدي	حمر	حمر	نبد	نبد	analyzer+fallback
14	red	rouge	أَحْمَر	وردي	حمر	حمر	#رد	رد	analyzer
16	possible	possible	مُمْكِن	احتمال	مكن	مكن	حمل	حمل	analyzer
16	possible	possible	مُمْكِن	اسكه	مكن	مكن	سكه	سكه	analyzer+fallback
16	possible	possible	مُمْكِن	بيجوز	مكن	مكن	بجز	بجز	analyzer+fallback
16	possible	possible	مُمْكِن	بيصير	مكن	مكن	بصر	بصر	analyzer+fallback
16	possible	possible	مُمْكِن	بلاك	مكن	مكن	بلك	بلك	analyzer+fallback
16	possible	possible	مُمْكِن	بوسيبل	مكن	مكن	بسبل	بسبل	analyzer+fallback
16	possible	possible	مُمْكِن	جائز	مكن	مكن	ج#ز	جز	analyzer
16	possible	possible	مُمْكِن	جايز	مكن	مكن	جز	جز	analyzer+fallback
16	possible	possible	مُمْكِن	مباح	مكن	مكن	ب#ح	بح	analyzer
16	possible	possible	مُمْكِن	محتمل	مكن	مكن	حمل	حمل	analyzer
16	possible	possible	مُمْكِن	مسموح	مكن	مكن	سمح	سمح	analyzer
16	possible	possible	مُمْكِن	معقول	مكن	مكن	عقل	عقل	analyzer
16	possible	possible	مُمْكِن	ممكن	مكن	مكن	مكن	مكن	analyzer
16	possible	possible	مُمْكِن	وارد	مكن	مكن	#رد	رد	analyzer
16	possible	possible	مُمْكِن	يجوز	مكن	مكن	جز	جز	analyzer+fallback
16	possible	possible	مُمْكِن	يصير	مكن	مكن	صر	صر	analyzer+fallback
16	possible	possible	مُمْكِن	يمكن	مكن	مكن	مكن	مكن	analyzer+fallback
19	museum	musée	مَتْحَف	انتيكخانة	تحف	تحف	نتكخن	نتكخن	analyzer+fallback
19	museum	musée	مَتْحَف	متحف	تحف	تحف	تحف	تحف	analyzer
19	museum	musée	مَتْحَف	ميوزيه	تحف	تحف	مزه	مزه	analyzer+fallback
20	door	porte	باب	باب	ب#ب	بب	ب#ب	بب	analyzer
20	door	porte	باب	بوابة	ب#ب	بب	ب#ب	بب	analyzer
20	door	porte	باب	دروازة	ب#ب	بب	درز	درز	analyzer+fallback
21	tea	thé	شاي	اتاي	ش##	ش	ت	ت	analyzer+fallback
21	tea	thé	شاي	تاي	ش##	ش	ت	ت	analyzer+fallback
21	tea	thé	شاي	شاي	ش##	ش	ش##	ش	analyzer
21	tea	thé	شاي	شاهي	ش##	ش	شه#	شه	analyzer
21	tea	thé	شاي	لتاي	ش##	ش	لت	لت	analyzer+fallback
22	white	blanc	أَبْيَض	ابيض	ب#ض	بض	بض	بض	analyzer+fallback
22	white	blanc	أَبْيَض	ابيضاني	ب#ض	بض	بضن	بضن	analyzer+fallback
22	white	blanc	أَبْيَض	احمر	ب#ض	بض	حمر	حمر	analyzer+fallback
22	white	blanc	أَبْيَض	بلون	ب#ض	بض	بلن	بلن	analyzer+fallback
22	white	blanc	أَبْيَض	بيض	ب#ض	بض	ب#ض	بض	analyzer
23	stamp	timbre	طابِع	تامبر	طبع	طبع	تمبر	تمبر	analyzer+fallback
23	stamp	timbre	طابِع	تمبر	طبع	طبع	تمبر	تمبر	analyzer+fallback
23	stamp	timbre	طابِع	تمبري	طبع	طبع	تمبر	تمبر	analyzer+fallback
23	stamp	timbre	طابِع	ختم	طبع	طبع	ختم	ختم	analyzer
23	stamp	timbre	طابِع	دمغة	طبع	طبع	دمغ	دمغ	analyzer
23	stamp	timbre	طابِع	طابع	طبع	طبع	طبع	طبع	analyzer
23	stamp	timbre	طابِع	طابعة	طبع	طبع	طبع	طبع	analyzer
24	hospital	hôpital	مُسْتَشْفَى	ازبتالية	شف#	شف	زبتل	زبتل	analyzer+fallback
24	hospital	hôpital	مُسْتَشْفَى	اسبتالية	شف#	شف	سبتل	سبتل	analyzer+fallback
24	hospital	hôpital	مُسْتَشْفَى	اوبطال	شف#	شف	بطل	بطل	analyzer+fallback
24	hospital	hôpital	مُسْتَشْفَى	دختر	شف#	شف	دختر	دختر	analyzer+fallback
24	hospital	hôpital	مُسْتَشْفَى	سبطار	شف#	شف	سبطر	سبطر	analyzer+fallback
24	hospital	hôpital	مُسْتَشْفَى	سبيتار	شف#	شف	سبتر	سبتر	analyzer+fallback
24	hospital	hôpital	مُسْتَشْفَى	سبيطار	شف#	شف	سبطر	سبطر	analyzer+fallback
24	hospital	hôpital	مُسْتَشْفَى	سبيطال	شف#	شف	سبطل	سبطل	analyzer+fallback
24	hospital	hôpital	مُسْتَشْفَى	صبيطار	شف#	شف	صبطر	صبطر	analyzer+fallback
24	hospital	hôpital	مُسْتَشْفَى	مستشفى	شف#	شف	شف#	شف	analyzer
24	hospital	hôpital	مُسْتَشْفَى	مشفى	شف#	شف	شف#	شف	analyzer
26	watch	montre	ساعَة	ساعة	س#ع	سع	س#ع	سع	analyzer
26	watch	montre	ساعَة	ساعة ايد	س#ع	سع	س#ع+#د#	سع+د	analyzer
26	watch	montre	ساعَة	ساعة يد	س#ع	سع	س#ع+#د#	سع+د	analyzer
26	watch	montre	ساعَة	مكانة	س#ع	سع	ك#ن	كن	analyzer
26	watch	montre	ساعَة	منقالة	س#ع	سع	منقل	منقل	analyzer+fallback
28	pain , hurt	douleur , mal	أَلَم	الم	#لم	لم	#لم	لم	analyzer
28	pain , hurt	douleur , mal	أَلَم	جرح	#لم	لم	جرح	جرح	analyzer
28	pain , hurt	douleur , mal	أَلَم	حرق	#لم	لم	حرق	حرق	analyzer
28	pain , hurt	douleur , mal	أَلَم	حريق	#لم	لم	حرق	حرق	analyzer
28	pain , hurt	douleur , mal	أَلَم	سهر	#لم	لم	سهر	سهر	analyzer
28	pain , hurt	douleur , mal	أَلَم	ضر	#لم	لم	ضرر	ضرر	analyzer
28	pain , hurt	douleur , mal	أَلَم	عذاب	#لم	لم	عذب	عذب	analyzer
28	pain , hurt	douleur , mal	أَلَم	عوار	#لم	لم	ع#ر	عر	analyzer
28	pain , hurt	douleur , mal	أَلَم	وجع	#لم	لم	#جع	جع	analyzer
28	pain , hurt	douleur , mal	أَلَم	وجيعة	#لم	لم	#جع	جع	analyzer
29	special	spécial	خاصّ	خاص	خصص	خصص	خصص	خصص	analyzer
29	special	spécial	خاصّ	خاصة	خصص	خصص	خصص	خصص	analyzer
29	special	spécial	خاصّ	خصوصي	خصص	خصص	خصص	خصص	analyzer
29	special	spécial	خاصّ	سبسيال	خصص	خصص	سبسل	سبسل	analyzer+fallback
29	special	spécial	خاصّ	سبيشل	خصص	خصص	سبشل	سبشل	analyzer+fallback
29	special	spécial	خاصّ	متميز	خصص	خصص	م#ز	مز	analyzer
29	special	spécial	خاصّ	مخصوص	خصص	خصص	خصص	خصص	analyzer
29	special	spécial	خاصّ	مميز	خصص	خصص	م#ز	مز	analyzer
31	personal	personnel	شَخْصِيّ	بريفي	شخص	شخص	برف	برف	analyzer+fallback
31	personal	personnel	شَخْصِيّ	خاص	شخص	شخص	خصص	خصص	analyzer
31	personal	personnel	شَخْصِيّ	خصوصي	شخص	شخص	خصص	خصص	analyzer
31	personal	personnel	شَخْصِيّ	ذاتي	شخص	شخص	ذت	ذت	analyzer+fallback
31	personal	personnel	شَخْصِيّ	شخصي	شخص	شخص	شخص	شخص	analyzer
32	stay	séjour	إِقامَة	اقامة	ق#م	قم	ق#م	قم	analyzer
32	stay	séjour	إِقامَة	بيات	ق#م	قم	ب#ت	بت	analyzer
32	stay	séjour	إِقامَة	جلسة	ق#م	قم	جلس	جلس	analyzer
32	stay	séjour	إِقامَة	سجور	ق#م	قم	سجر	سجر	analyzer+fallback
32	stay	séjour	إِقامَة	سيجور	ق#م	قم	سجر	سجر	analyzer+fallback
32	stay	séjour	إِقامَة	قعاد	ق#م	قم	قعد	قعد	analyzer
32	stay	séjour	إِقامَة	قعدة	ق#م	قم	قعد	قعد	analyzer
32	stay	séjour	إِقامَة	مبيت	ق#م	قم	ب#ت	بت	analyzer
32	stay	séjour	إِقامَة	نزلة	ق#م	قم	نزل	نزل	analyzer
33	fruit	fruit	فاكِهَة	ثمر	فكه	فكه	ثمر	ثمر	analyzer
33	fruit	fruit	فاكِهَة	خضرة	فكه	فكه	خضر	خضر	analyzer
33	fruit	fruit	فاكِهَة	ديسار	فكه	فكه	دسر	دسر	analyzer+fallback
33	fruit	fruit	فاكِهَة	غلة	فكه	فكه	غلل	غلل	analyzer
33	fruit	fruit	فاكِهَة	فاكهة	فكه	فكه	فكه	فكه	analyzer
33	fruit	fruit	فاكِهَة	فاكية	فكه	فكه	فك	فك	analyzer+fallback
33	fruit	fruit	فاكِهَة	فروي	فكه	فكه	فر	فر	analyzer+fallback
33	fruit	fruit	فاكِهَة	فواكة	فكه	فكه	فكه	فكه	analyzer
33	fruit	fruit	فاكِهَة	فواكه	فكه	فكه	فكه	فكه	analyzer
33	fruit	fruit	فاكِهَة	فواكي	فكه	فكه	فك	فك	analyzer+fallback
33	fruit	fruit	فاكِهَة	فوالة	فكه	فكه	ف#ل	فل	analyzer
33	fruit	fruit	فاكِهَة	هبش	فكه	فكه	هبش	هبش	analyzer
34	message	message	رِسالَة	اس ام اس	رسل	رسل	س+#مم+س	س+مم+س	analyzer
34	message	message	رِسالَة	جواب	رسل	رسل	ج#ب	جب	analyzer
34	message	message	رِسالَة	خطاب	رسل	رسل	خطب	خطب	analyzer
34	message	message	رِسالَة	رسالة	رسل	رسل	رسل	رسل	analyzer
34	message	message	رِسالَة	مساج	رسل	رسل	مسج	مسج	analyzer+fallback
34	message	message	رِسالَة	مسج	رسل	رسل	مسج	مسج	analyzer+fallback
34	message	message	رِسالَة	مكتوب	رسل	رسل	كتب	كتب	analyzer
35	american	américain	أَمْرِيكِيّ	اميركاني	#مرك	مرك	#مرك	مرك	analyzer
35	american	américain	أَمْرِيكِيّ	امريكاني	#مرك	مرك	#مرك	مرك	analyzer
35	american	américain	أَمْرِيكِيّ	امريكي	#مرك	مرك	#مرك	مرك	analyzer
35	american	américain	أَمْرِيكِيّ	امركاني	#مرك	مرك	مركن	مركن	analyzer+fallback
35	american	américain	أَمْرِيكِيّ	اميركي	#مرك	مرك	#مرك	مرك	analyzer
35	american	américain	أَمْرِيكِيّ	مركاني	#مرك	مرك	مركن	مركن	analyzer+fallback
36	leather	cuir	جِلْد	جلد	جلد	جلد	جلد	جلد	analyzer
36	leather	cuir	جِلْد	كوير	جلد	جلد	كر	كر	analyzer+fallback
37	cold	froid	بارِد	بارد	برد	برد	برد	برد	analyzer
37	cold	froid	بارِد	برد	برد	برد	برد	برد	analyzer
37	cold	froid	بارِد	ثالج	برد	برد	ثلج	ثلج	analyzer+fallback
37	cold	froid	بارِد	ثلج	برد	برد	ثلج	ثلج	analyzer
37	cold	froid	بارِد	ساقع	برد	برد	سقع	سقع	analyzer+fallback
37	cold	froid	بارِد	صاقط	برد	برد	صقط	صقط	analyzer+fallback
37	cold	froid	بارِد	صردة	برد	برد	صرد	صرد	analyzer
37	cold	froid	بارِد	صقع	برد	برد	صقع	صقع	analyzer
37	cold	froid	بارِد	فري	برد	برد	فر#	فر	analyzer
37	cold	froid	بارِد	قرصة	برد	برد	قرص	قرص	analyzer
37	cold	froid	بارِد	مسقع	برد	برد	مسقع	مسقع	analyzer+fallback
37	cold	froid	بارِد	مصقع	برد	برد	صقع	صقع	analyzer
38	music	musique	مُوسِيقَى	دق طبل	مسق	مسق	دقق+طبل	دقق+طبل	analyzer+fallback
38	music	musique	مُوسِيقَى	طرب	مسق	مسق	طرب	طرب	analyzer+fallback
38	music	musique	مُوسِيقَى	لاموزيك	مسق	مسق	لمزك	لمزك	fallback
38	music	musique	مُوسِيقَى	مزيكة	مسق	مسق	مزك	مزك	fallback
38	music	musique	مُوسِيقَى	موزيكة	مسق	مسق	مزك	مزك	fallback
38	music	musique	مُوسِيقَى	موسيقى	مسق	مسق	مسق	مسق	fallback
38	music	musique	مُوسِيقَى	موسيقي	مسق	مسق	م#سق	مسق	analyzer+fallback
39	blanket	couverture	بَطّانِيَّة	برنوص	بطن	بطن	برنص	برنص	analyzer+fallback
39	blanket	couverture	بَطّانِيَّة	بطانية	بطن	بطن	بطن	بطن	analyzer
39	blanket	couverture	بَطّانِيَّة	حرام	بطن	بطن	حرم	حرم	analyzer
39	blanket	couverture	بَطّانِيَّة	شاذر	بطن	بطن	شذر	شذر	analyzer+fallback
39	blanket	couverture	بَطّانِيَّة	غطا	بطن	بطن	غط	غط	analyzer+fallback
39	blanket	couverture	بَطّانِيَّة	غطاء	بطن	بطن	غط#	غط	analyzer
39	blanket	couverture	بَطّانِيَّة	فراش	بطن	بطن	فرش	فرش	analyzer
39	blanket	couverture	بَطّانِيَّة	فرشية	بطن	بطن	فرش	فرش	analyzer+fallback
39	blanket	couverture	بَطّانِيَّة	كمبل	بطن	بطن	كمبل	كمبل	analyzer+fallback
39	blanket	couverture	بَطّانِيَّة	كوفرتة	بطن	بطن	كفرت	كفرت	analyzer+fallback
39	blanket	couverture	بَطّانِيَّة	كيشة	بطن	بطن	كش	كش	analyzer+fallback
39	blanket	couverture	بَطّانِيَّة	لحاف	بطن	بطن	لحف	لحف	analyzer
39	blanket	couverture	بَطّانِيَّة	ملاية	بطن	بطن	مل#	مل	analyzer
40	beach	plage	شاطِئ	بحر	شط#	شط	بحر	بحر	analyzer
40	beach	plage	شاطِئ	بلاج	شط#	شط	بلج	بلج	analyzer+fallback
40	beach	plage	شاطِئ	ساحل	شط#	شط	سحل	سحل	analyzer
40	beach	plage	شاطِئ	شاطئ	شط#	شط	شط#	شط	analyzer
40	beach	plage	شاطِئ	شاطي	شط#	شط	شط	شط	analyzer+fallback
40	beach	plage	شاطِئ	شط	شط#	شط	شطط	شطط	analyzer
40	beach	plage	شاطِئ	كورنيش	شط#	شط	كرنش	كرنش	analyzer+fallback
40	beach	plage	شاطِئ	لابلاج	شط#	شط	لبلج	لبلج	analyzer+fallback
41	driver	chauffeur	سائِق	دريول	س#ق	سق	درل	درل	analyzer+fallback
41	driver	chauffeur	سائِق	سائق	س#ق	سق	س#ق	سق	analyzer
41	driver	chauffeur	سائِق	سايق	س#ق	سق	سق	سق	analyzer+fallback
41	driver	chauffeur	سائِق	سواق	س#ق	سق	س#ق	سق	analyzer
41	driver	chauffeur	سائِق	شفور	س#ق	سق	شفر	شفر	analyzer+fallback
41	driver	chauffeur	سائِق	شوفور	س#ق	سق	شفر	شفر	analyzer+fallback
41	driver	chauffeur	سائِق	شوفير	س#ق	سق	شفر	شفر	analyzer+fallback
41	driver	chauffeur	سائِق	شيفور	س#ق	سق	شفر	شفر	analyzer+fallback
42	juice	jus	عَصِير	جو	عصر	عصر	ج	ج	analyzer+fallback
42	juice	jus	عَصِير	زوم	عصر	عصر	ز#م	زم	analyzer
42	juice	jus	عَصِير	شراب	عصر	عصر	شرب	شرب	analyzer
42	juice	jus	عَصِير	شربت	عصر	عصر	شربت	شربت	analyzer+fallback
42	juice	jus	عَصِير	عصير	عصر	عصر	عصر	عصر	analyzer
44	market	marché	سُوق	اورزدي	س#ق	سق	رزد	رزد	analyzer+fallback
44	market	marché	سُوق	سوبر ماركت	س#ق	سق	سبر+مركت	سبر+مركت	analyzer+fallback
44	market	marché	سُوق	سوق	س#ق	سق	س#ق	سق	analyzer
44	market	marché	سُوق	عرصة	س#ق	سق	عرص	عرص	analyzer
44	market	marché	سُوق	مارشي	س#ق	سق	مرش	مرش	analyzer+fallback
44	market	marché	سُوق	مرشي	س#ق	سق	مرش	مرش	analyzer+fallback
44	market	marché	سُوق	مول	س#ق	سق	مل	مل	analyzer+fallback
44	market	marché	سُوق	هبطة	س#ق	سق	هبط	هبط	analyzer
45	tennis	tennis	تِنِس	تنس	تنس	تنس	تنس	تنس	fallback
45	tennis	tennis	تِنِس	تنيس	تنس	تنس	تنس	تنس	fallback
46	meeting	réunion	ٱِجْتِماع	اجتماع	جمع	جمع	جمع	جمع	analyzer
46	meeting	réunion	ٱِجْتِماع	تجمع	جمع	جمع	جمع	جمع	analyzer
46	meeting	réunion	ٱِجْتِماع	جتماع	جمع	جمع	جتمع	جتمع	analyzer+fallback
46	meeting	réunion	ٱِجْتِماع	جلسة	جمع	جمع	جلس	جلس	analyzer
46	meeting	réunion	ٱِجْتِماع	جمعة	جمع	جمع	جمع	جمع	analyzer+fallback
46	meeting	réunion	ٱِجْتِماع	ريونيو	جمع	جمع	رن	رن	analyzer+fallback
46	meeting	réunion	ٱِجْتِماع	ريينيو	جمع	جمع	رن	رن	analyzer+fallback
46	meeting	réunion	ٱِجْتِماع	قعدة	جمع	جمع	قعد	قعد	analyzer
46	meeting	réunion	ٱِجْتِماع	لقاء	جمع	جمع	لق#	لق	analyzer
46	meeting	réunion	ٱِجْتِماع	لمة	جمع	جمع	لمم	لمم	analyzer
46	meeting	réunion	ٱِجْتِماع	مقابلة	جمع	جمع	قبل	قبل	analyzer
46	meeting	réunion	ٱِجْتِماع	ملاقاة	جمع	جمع	لق#	لق	analyzer
46	meeting	réunion	ٱِجْتِماع	ملتقى	جمع	جمع	لق#	لق	analyzer
46	meeting	réunion	ٱِجْتِماع	ندوة	جمع	جمع	ند#	ند	analyzer
47	cheese	fromage	جُبْن	جبن	جبن	جبن	جبن	جبن	analyzer
47	cheese	fromage	جُبْن	جبنة	جبن	جبن	جبن	جبن	analyzer
47	cheese	fromage	جُبْن	فرماج	جبن	جبن	فرمج	فرمج	analyzer+fallback
48	green	vert	أَخْضَر	اخضر	خضر	خضر	خضر	خضر	analyzer+fallback
48	green	vert	أَخْضَر	خضر	خضر	خضر	خضر	خضر	analyzer
48	green	vert	أَخْضَر	زيتوني	خضر	خضر	ز#ت	زت	analyzer
48	green	vert	أَخْضَر	فير	خضر	خضر	فر	فر	analyzer+fallback
48	green	vert	أَخْضَر	مخضر	خضر	خضر	مخضر	مخضر	analyzer+fallback
49	french	français	فَرَنْسِيّ	سوري	فرنس	فرنس	س#ر#	سر	analyzer+fallback
49	french	français	فَرَنْسِيّ	فرنساوي	فرنس	فرنس	فرنس	فرنس	fallback
49	french	français	فَرَنْسِيّ	فرنساوى	فرنس	فرنس	فرنس	فرنس	fallback
49	french	français	فَرَنْسِيّ	فرنسي	فرنس	فرنس	فرنس	فرنس	fallback
49	french	français	فَرَنْسِيّ	فرونسي	فرنس	فرنس	فرنس	فرنس	fallback
50	ham	jambon	لَحْم ال+ خِنْزِير	جمبون	لحم+خنزر	لحم+خنزر	جمبن	جمبن	analyzer+fallback
50	ham	jambon	لَحْم ال+ خِنْزِير	حلوف	لحم+خنزر	لحم+خنزر	حلف	حلف	analyzer
50	ham	jambon	لَحْم ال+ خِنْزِير	خنزير	لحم+خنزر	لحم+خنزر	خنزر	خنزر	analyzer
50	ham	jambon	لَحْم ال+ خِنْزِير	لحم الخنزير	لحم+خنزر	لحم+خنزر	لحم+خنزر	لحم+خنزر	analyzer
50	ham	jambon	لَحْم ال+ خِنْزِير	لحم بورك	لحم+خنزر	لحم+خنزر	لحم+برك	لحم+برك	analyzer
50	ham	jambon	لَحْم ال+ خِنْزِير	لحم خنزير	لحم+خنزر	لحم+خنزر	لحم+خنزر	لحم+خنزر	analyzer
50	ham	jambon	لَحْم ال+ خِنْزِير	لحمة خنزير	لحم+خنزر	لحم+خنزر	لحم+خنزر	لحم+خنزر	analyzer
55	rice	riz	رُزّ	تمن	رزز	رزز	تمن	تمن	analyzer
55	rice	riz	رُزّ	رز	رزز	رزز	رزز	رزز	analyzer
55	rice	riz	رُزّ	روز	رزز	رزز	ر#ز	رز	analyzer
55	rice	riz	رُزّ	عيش	رزز	رزز	ع#ش	عش	analyzer
57	opera	opéra	أُوبِرا	اوبرا	بر	بر	بر	بر	fallback
58	account	compte	حِساب	حساب	حسب	حسب	حسب	حسب	analyzer
58	account	compte	حِساب	رصيد	حسب	حسب	رصد	رصد	analyzer
58	account	compte	حِساب	فاتورة	حسب	حسب	فتر	فتر	analyzer
58	account	compte	حِساب	كونت	حسب	حسب	كنت	كنت	analyzer+fallback
59	direction	direction	ٱِتِّجاه	اتجاه	#جه	جه	#جه	جه	analyzer
59	direction	direction	ٱِتِّجاه	تجاه	#جه	جه	تجه	تجه	analyzer+fallback
59	direction	direction	ٱِتِّجاه	جنب	#جه	جه	جنب	جنب	analyzer
59	direction	direction	ٱِتِّجاه	جهة	#جه	جه	#جه	جه	analyzer
59	direction	direction	ٱِتِّجاه	جيهة	#جه	جه	جه	جه	analyzer+fallback
59	direction	direction	ٱِتِّجاه	شيرة	#جه	جه	ش#ر	شر	analyzer
59	direction	direction	ٱِتِّجاه	صفحة	#جه	جه	صفح	صفح	analyzer
59	direction	direction	ٱِتِّجاه	صلا	#جه	جه	صل	صل	analyzer+fallback
59	direction	direction	ٱِتِّجاه	صوب	#جه	جه	ص#ب	صب	analyzer
59	direction	direction	ٱِتِّجاه	طريق	#جه	جه	طرق	طرق	analyzer
59	direction	direction	ٱِتِّجاه	مسار	#جه	جه	س#ر	سر	analyzer
59	direction	direction	ٱِتِّجاه	مسلك	#جه	جه	سلك	سلك	analyzer
59	direction	direction	ٱِتِّجاه	ميلة	#جه	جه	مل	مل	analyzer+fallback
59	direction	direction	ٱِتِّجاه	ناحية	#جه	جه	نح#	نح	analyzer
59	direction	direction	ٱِتِّجاه	وجهة	#جه	جه	#جه	جه	analyzer
59	direction	direction	ٱِتِّجاه	يم	#جه	جه			analyzer
59	direction	direction	ٱِتِّجاه	يمة	#جه	جه	م	م	analyzer+fallback
60	delicious	délicieux	لَذِيذ	بيشهي	لذذ	لذذ	بشه	بشه	analyzer+fallback
60	delicious	délicieux	لَذِيذ	بنين	لذذ	لذذ	بنن	بنن	analyzer+fallback
60	delicious	délicieux	لَذِيذ	حالي	لذذ	لذذ	ح#ل	حل	analyzer
60	delicious	délicieux	لَذِيذ	حلو	لذذ	لذذ	حل#	حل	analyzer
60	delicious	délicieux	لَذِيذ	ذكي	لذذ	لذذ	ذك#	ذك	analyzer
60	delicious	délicieux	لَذِيذ	زاكي	لذذ	لذذ	زك	زك	analyzer+fallback
60	delicious	délicieux	لَذِيذ	زين	لذذ	لذذ	ز#ن	زن	analyzer
