ID,English,French,MSA,POS,CODA,Region,DCom,ASim,FSim,DFreq,DA_Frequency
11,red,rouge,أَحْمَر,ADJ,حمر,"Iraq, Tunisia+Libya",2,1,0,4,"31,060"
11,red,rouge,أَحْمَر,ADJ,حمرة,Morocco+Algeria,1,1,0,3,791
11,red,rouge,أَحْمَر,ADJ,روج,"Morocco+Algeria, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",3,0,1,4,"23,905"
11,red,rouge,أَحْمَر,ADJ,نبيتي,Syria+Lebanon+Jordan+Palestine,1,0,0,3,488
11,red,rouge,أَحْمَر,ADJ,نبيدي,Syria+Lebanon+Jordan+Palestine,1,0,0,0,1
11,red,rouge,أَحْمَر,ADJ,وردي,Egypt+Sudan,1,0,1,5,"42,247"
12,possible,possible,مُمْكِن,ADJ,احتمال,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen, Egypt+Sudan, Tunisia+Libya",4,0,0,5,"94,114"
12,possible,possible,مُمْكِن,ADJ,اسكه,Qatar+Saudi+Oman+Yemen,1,0,0,2,85
12,possible,possible,مُمْكِن,ADJ,بيجوز,Syria+Lebanon+Jordan+Palestine,1,0,0,3,"1,058"
12,possible,possible,مُمْكِن,ADJ,بيصير,Syria+Lebanon+Jordan+Palestine,1,0,0,5,"71,498"
12,possible,possible,مُمْكِن,ADJ,بلاك,Morocco+Algeria,1,0,0,5,"76,303"
12,possible,possible,مُمْكِن,ADJ,بوسيبل,Morocco+Algeria,1,0,1,2,286
12,possible,possible,مُمْكِن,ADJ,جائز,Iraq,1,0,0,4,"10,748"
12,possible,possible,مُمْكِن,ADJ,جايز,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",5,0,0,4,"30,954"
12,possible,possible,مُمْكِن,ADJ,مباح,Egypt+Sudan,1,0,0,5,"31,874"
12,possible,possible,مُمْكِن,ADJ,محتمل,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,0,0,4,"12,689"
12,possible,possible,مُمْكِن,ADJ,مسموح,Morocco+Algeria,1,0,0,5,"62,838"
12,possible,possible,مُمْكِن,ADJ,معقول,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",2,0,0,5,"98,544"
12,possible,possible,مُمْكِن,ADJ,ممكن,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,1,0,6,"1,683,114"
12,possible,possible,مُمْكِن,ADJ,وارد,"Syria+Lebanon+Jordan+Palestine, Iraq, Egypt+Sudan, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",5,0,0,5,"61,034"
12,possible,possible,مُمْكِن,ADJ,يجوز,Iraq,1,0,0,5,"157,736"
12,possible,possible,مُمْكِن,ADJ,يصير,Qatar+Saudi+Oman+Yemen,1,0,0,6,"509,724"
12,possible,possible,مُمْكِن,ADJ,يمكن,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",3,0,0,6,"1,611,631"
13,museum,musée,مَتْحَف,NOUN,انتيكخانة,Egypt+Sudan,1,0,0,0,0
13,museum,musée,مَتْحَف,NOUN,متحف,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,1,0,5,"59,890"
13,museum,musée,مَتْحَف,NOUN,ميوزيه,Morocco+Algeria,1,0,1,0,0
14,door,porte,باب,NOUN,باب,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,1,0,6,"1,179,708"
14,door,porte,باب,NOUN,بوابة,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine",2,1,0,3,"3,066"
14,door,porte,باب,NOUN,دروازة,Qatar+Saudi+Oman+Yemen,1,0,0,1,27
15,tea,thé,شاي,NOUN,اتاي,Morocco+Algeria,1,0,1,3,"1,059"
15,tea,thé,شاي,NOUN,تاي,Tunisia+Libya,1,0,1,4,"13,029"
15,tea,thé,شاي,NOUN,شاي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen",4,1,0,5,"75,905"
15,tea,thé,شاي,NOUN,شاهي,"Tunisia+Libya, Qatar+Saudi+Oman+Yemen",2,0,0,5,"62,424"
15,tea,thé,شاي,NOUN,لتاي,Morocco+Algeria,1,0,0,2,115
16,white,blanc,أَبْيَض,ADJ,ابيض,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,1,0,5,"262,393"
16,white,blanc,أَبْيَض,ADJ,ابيضاني,Iraq,1,0,0,2,202
16,white,blanc,أَبْيَض,ADJ,احمر,Egypt+Sudan,1,0,0,5,"255,932"
16,white,blanc,أَبْيَض,ADJ,بلون,Morocco+Algeria,1,0,1,4,"29,976"
16,white,blanc,أَبْيَض,ADJ,بيض,Morocco+Algeria,1,1,0,5,"249,536"
17,stamp,timbre,طابِع,NOUN,تامبر,Morocco+Algeria,1,0,1,2,54
17,stamp,timbre,طابِع,NOUN,تمبر,Morocco+Algeria,1,0,1,2,95
17,stamp,timbre,طابِع,NOUN,تمبري,Tunisia+Libya,1,0,1,1,6
17,stamp,timbre,طابِع,NOUN,ختم,"Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Egypt+Sudan",3,0,0,5,"95,906"
17,stamp,timbre,طابِع,NOUN,دمغة,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine",2,0,0,1,15
17,stamp,timbre,طابِع,NOUN,طابع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,1,0,4,"25,375"
17,stamp,timbre,طابِع,NOUN,طابعة,Egypt+Sudan,1,1,0,2,54
18,hospital,hôpital,مُسْتَشْفَى,NOUN,ازبتالية,Egypt+Sudan,1,0,0,0,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,اسبتالية,Egypt+Sudan,1,0,0,0,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,اوبطال,Morocco+Algeria,1,0,0,0,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,دختر,Qatar+Saudi+Oman+Yemen,1,0,0,3,441
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبطار,Morocco+Algeria,1,0,0,1,13
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبيتار,Tunisia+Libya,1,0,0,3,745
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبيطار,"Morocco+Algeria, Tunisia+Libya",2,0,0,3,756
18,hospital,hôpital,مُسْتَشْفَى,NOUN,سبيطال,Tunisia+Libya,1,0,0,0,0
18,hospital,hôpital,مُسْتَشْفَى,NOUN,صبيطار,Tunisia+Libya,1,0,0,1,29
18,hospital,hôpital,مُسْتَشْفَى,NOUN,مستشفى,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,1,0,4,"6,324"
18,hospital,hôpital,مُسْتَشْفَى,NOUN,مشفى,Syria+Lebanon+Jordan+Palestine,1,0,0,2,219
19,watch,montre,ساعَة,NOUN,ساعة,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,1,0,4,"24,662"
19,watch,montre,ساعَة,NOUN,ساعة ايد,Qatar+Saudi+Oman+Yemen,1,0,0,5,"127,789"
19,watch,montre,ساعَة,NOUN,ساعة يد,Qatar+Saudi+Oman+Yemen,1,0,0,6,"658,923"
19,watch,montre,ساعَة,NOUN,مكانة,Morocco+Algeria,1,0,0,3,"1,023"
19,watch,montre,ساعَة,NOUN,منقالة,Tunisia+Libya,1,0,0,1,24
20,"pain , hurt","douleur , mal",أَلَم,NOUN,الم,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,1,0,6,"813,532"
20,"pain , hurt","douleur , mal",أَلَم,NOUN,جرح,Qatar+Saudi+Oman+Yemen,1,0,0,6,"359,074"
20,"pain , hurt","douleur , mal",أَلَم,NOUN,حرق,Morocco+Algeria,1,0,0,5,"140,802"
20,"pain , hurt","douleur , mal",أَلَم,NOUN,حريق,Morocco+Algeria,1,0,0,6,"563,291"
20,"pain , hurt","douleur , mal",أَلَم,NOUN,سهر,Qatar+Saudi+Oman+Yemen,1,0,0,5,"140,203"
20,"pain , hurt","douleur , mal",أَلَم,NOUN,ضر,Syria+Lebanon+Jordan+Palestine,1,0,0,5,"88,564"
20,"pain , hurt","douleur , mal",أَلَم,NOUN,عذاب,Syria+Lebanon+Jordan+Palestine,1,0,0,6,"990,446"
20,"pain , hurt","douleur , mal",أَلَم,NOUN,عوار,Qatar+Saudi+Oman+Yemen,1,0,0,4,"6,759"
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجع,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,0,0,6,"464,270"
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجيعة,Tunisia+Libya,1,0,0,2,100
21,special,spécial,خاصّ,ADJ,خاص,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",5,1,0,6,"1,243,275"
21,special,spécial,خاصّ,ADJ,خاصة,Tunisia+Libya,1,1,0,4,"13,400"
21,special,spécial,خاصّ,ADJ,خصوصي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,0,0,4,"7,726"
21,special,spécial,خاصّ,ADJ,سبسيال,"Morocco+Algeria, Tunisia+Libya",2,0,1,2,35
21,special,spécial,خاصّ,ADJ,سبيشل,Egypt+Sudan,1,0,1,4,"7,800"
21,special,spécial,خاصّ,ADJ,متميز,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",2,0,0,5,"110,669"
21,special,spécial,خاصّ,ADJ,مخصوص,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,0,0,4,"15,609"
21,special,spécial,خاصّ,ADJ,مميز,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",3,0,0,6,"542,411"
22,personal,personnel,شَخْصِيّ,ADJ,بريفي,Morocco+Algeria,1,0,0,3,408
22,personal,personnel,شَخْصِيّ,ADJ,خاص,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",4,0,0,6,"1,243,275"
22,personal,personnel,شَخْصِيّ,ADJ,خصوصي,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",4,0,0,4,"7,726"
22,personal,personnel,شَخْصِيّ,ADJ,ذاتي,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",2,0,0,5,"83,719"
22,personal,personnel,شَخْصِيّ,ADJ,شخصي,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,1,0,5,"85,998"
23,stay,séjour,إِقامَة,NOUN,اقامة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",5,1,0,3,387
23,stay,séjour,إِقامَة,NOUN,بيات,Egypt+Sudan,1,0,0,4,"4,243"
23,stay,séjour,إِقامَة,NOUN,جلسة,Qatar+Saudi+Oman+Yemen,1,0,0,4,"3,347"
23,stay,séjour,إِقامَة,NOUN,سجور,Morocco+Algeria,1,0,1,0,0
23,stay,séjour,إِقامَة,NOUN,سيجور,Tunisia+Libya,1,0,1,1,6
23,stay,séjour,إِقامَة,NOUN,قعاد,Egypt+Sudan,1,0,0,3,452
23,stay,séjour,إِقامَة,NOUN,قعدة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",5,0,0,3,931
23,stay,séjour,إِقامَة,NOUN,مبيت,"Morocco+Algeria, Qatar+Saudi+Oman+Yemen",2,0,0,4,"3,920"
23,stay,séjour,إِقامَة,NOUN,نزلة,Qatar+Saudi+Oman+Yemen,1,0,0,3,438
24,fruit,fruit,فاكِهَة,NOUN,ثمر,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",3,0,0,4,"14,403"
24,fruit,fruit,فاكِهَة,NOUN,خضرة,Qatar+Saudi+Oman+Yemen,1,0,0,3,613
24,fruit,fruit,فاكِهَة,NOUN,ديسار,Tunisia+Libya,1,0,0,1,25
24,fruit,fruit,فاكِهَة,NOUN,غلة,Tunisia+Libya,1,0,0,2,72
24,fruit,fruit,فاكِهَة,NOUN,فاكهة,"Egypt+Sudan, Iraq, Tunisia+Libya, Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",5,1,0,3,525
24,fruit,fruit,فاكِهَة,NOUN,فاكية,Morocco+Algeria,1,0,0,1,4
24,fruit,fruit,فاكِهَة,NOUN,فروي,Morocco+Algeria,1,0,1,2,308
24,fruit,fruit,فاكِهَة,NOUN,فواكة,Syria+Lebanon+Jordan+Palestine,1,0,0,2,55
24,fruit,fruit,فاكِهَة,NOUN,فواكه,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya, Morocco+Algeria, Egypt+Sudan, Qatar+Saudi+Oman+Yemen",6,1,0,4,"8,947"
24,fruit,fruit,فاكِهَة,NOUN,فواكي,Syria+Lebanon+Jordan+Palestine,1,0,0,1,24
24,fruit,fruit,فاكِهَة,NOUN,فوالة,Qatar+Saudi+Oman+Yemen,1,0,0,1,22
24,fruit,fruit,فاكِهَة,NOUN,هبش,Qatar+Saudi+Oman+Yemen,1,0,0,2,169
25,message,message,رِسالَة,NOUN,اس ام اس,Morocco+Algeria,1,0,0,6,"2,913,790"
25,message,message,رِسالَة,NOUN,جواب,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Tunisia+Libya",3,0,0,5,"91,640"
25,message,message,رِسالَة,NOUN,خطاب,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",2,0,0,5,"175,586"
25,message,message,رِسالَة,NOUN,رسالة,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,1,0,4,"8,707"
25,message,message,رِسالَة,NOUN,مساج,Morocco+Algeria,1,0,1,5,"67,216"
25,message,message,رِسالَة,NOUN,مسج,Qatar+Saudi+Oman+Yemen,1,0,1,4,"28,270"
25,message,message,رِسالَة,NOUN,مكتوب,"Syria+Lebanon+Jordan+Palestine, Iraq, Tunisia+Libya",3,0,0,5,"246,078"
26,american,américain,أَمْرِيكِيّ,ADJ,اميركاني,Syria+Lebanon+Jordan+Palestine,1,0,1,1,26
26,american,américain,أَمْرِيكِيّ,ADJ,امريكاني,"Egypt+Sudan, Syria+Lebanon+Jordan+Palestine, Tunisia+Libya",3,0,1,3,467
26,american,américain,أَمْرِيكِيّ,ADJ,امريكي,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,1,0,5,"176,280"
26,american,américain,أَمْرِيكِيّ,ADJ,امركاني,Syria+Lebanon+Jordan+Palestine,1,0,1,1,19
26,american,américain,أَمْرِيكِيّ,ADJ,اميركي,Syria+Lebanon+Jordan+Palestine,1,1,0,4,"14,511"
26,american,américain,أَمْرِيكِيّ,ADJ,مركاني,Morocco+Algeria,1,0,1,0,0
27,leather,cuir,جِلْد,NOUN,جلد,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen, Morocco+Algeria",6,1,0,5,"204,437"
27,leather,cuir,جِلْد,NOUN,كوير,"Morocco+Algeria, Tunisia+Libya",2,0,1,2,215
28,cold,froid,بارِد,ADJ,بارد,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen, Tunisia+Libya",6,1,0,5,"274,450"
28,cold,froid,بارِد,ADJ,برد,"Syria+Lebanon+Jordan+Palestine, Qatar+Saudi+Oman+Yemen",2,1,0,6,"939,124"
28,cold,froid,بارِد,ADJ,ثالج,Qatar+Saudi+Oman+Yemen,1,0,0,2,91
28,cold,froid,بارِد,ADJ,ثلج,Qatar+Saudi+Oman+Yemen,1,0,0,5,"45,620"
28,cold,froid,بارِد,ADJ,ساقع,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan",2,0,0,3,"2,047"
28,cold,froid,بارِد,ADJ,صاقط,Egypt+Sudan,1,0,0,2,203
28,cold,froid,بارِد,ADJ,صردة,Qatar+Saudi+Oman+Yemen,1,0,0,0,0
28,cold,froid,بارِد,ADJ,صقع,Tunisia+Libya,1,0,0,4,"3,413"
28,cold,froid,بارِد,ADJ,فري,Morocco+Algeria,1,0,1,4,"23,119"
28,cold,froid,بارِد,ADJ,قرصة,Qatar+Saudi+Oman+Yemen,1,0,0,2,211
28,cold,froid,بارِد,ADJ,مسقع,Syria+Lebanon+Jordan+Palestine,1,0,0,2,154
28,cold,froid,بارِد,ADJ,مصقع,Tunisia+Libya,1,0,0,2,309
29,music,musique,مُوسِيقَى,NOUN,دق طبل,Qatar+Saudi+Oman+Yemen,1,0,0,5,"174,384"
29,music,musique,مُوسِيقَى,NOUN,طرب,Qatar+Saudi+Oman+Yemen,1,0,0,5,"90,226"
29,music,musique,مُوسِيقَى,NOUN,لاموزيك,Morocco+Algeria,1,0,0,0,2
29,music,musique,مُوسِيقَى,NOUN,مزيكة,Egypt+Sudan,1,0,1,1,26
29,music,musique,مُوسِيقَى,NOUN,موزيكة,Tunisia+Libya,1,0,1,1,3
29,music,musique,مُوسِيقَى,NOUN,موسيقى,"Syria+Lebanon+Jordan+Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen",6,1,0,3,"2,748"
29,music,musique,مُوسِيقَى,NOUN,موسيقي,Qatar+Saudi+Oman+Yemen,1,1,0,5,"154,303"
30,blanket,couverture,بَطّانِيَّة,NOUN,برنوص,Qatar+Saudi+Oman+Yemen,1,0,0,2,146
30,blanket,couverture,بَطّانِيَّة,NOUN,بطانية,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",6,1,0,2,210
30,blanket,couverture,بَطّانِيَّة,NOUN,حرام,Syria+Lebanon+Jordan+Palestine,1,0,0,6,"506,241"
30,blanket,couverture,بَطّانِيَّة,NOUN,شاذر,Qatar+Saudi+Oman+Yemen,1,0,0,0,1
30,blanket,couverture,بَطّانِيَّة,NOUN,غطا,"Syria+Lebanon+Jordan+Palestine, Egypt+Sudan, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen",5,0,0,4,"11,475"
30,blanket,couverture,بَطّانِيَّة,NOUN,غطاء,Tunisia+Libya,1,0,0,5,"130,549"
30,blanket,couverture,بَطّانِيَّة,NOUN,فراش,Qatar+Saudi+Oman+Yemen,1,0,0,5,"59,578"
30,blanket,couverture,بَطّانِيَّة,NOUN,فرشية,Tunisia+Libya,1,0,0,0,0
