English,French,MSA,POS,Dialect,DCom_Regions,CODA,CODA,RCom_Regions,MSA_Frequency,DA_Frequency,MSAFreq,DCom,RCom,DFreq,ASim,FSim
water,eau,ماء,NOUN,"ALX, AMM, ASW, BAS, BEN, CAI, DAM, JER, SAL, TRI","Egypt+Sudan, Syria, Lebanon, Jordan, Palestine, Iraq, Tunisia+Libya",مية,م,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1428275,6661,6,4,6,4,1,0
yen,yen,يِن,NOUN,"SFA, TUN",Tunisia+Libya,يان,ن,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",139205,18953,5,1,6,4,1,1
yen,yen,يِن,NOUN,"ALE, ALG, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, MUS, RAB, RIY, SAL, SAN, TRI","Syria, Lebanon, Jordan, Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen ",ين,ن,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",139205,79068,5,6,6,5,1,1
week,semaine,أُسْبُوع,NOUN,"ALE, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, RAB, RIY, SAL, SAN","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen , Morocco+Algeria",اسبوع,سبع,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",808461,492738,6,6,6,6,1,0
week,semaine,أُسْبُوع,NOUN,"ALE, ALX, ASW, BEI, CAI, DAM, SFA, TUN","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Tunisia+Libya",جمعة,جمع,"Egypt+Sudan, Jordan, Lebanon, Palestine, Syria, Tunisia+Libya",808461,4904,6,3,6,4,0,0
week,semaine,أُسْبُوع,NOUN,"MUS, TRI","Qatar+Saudi+Oman+Yemen , Tunisia+Libya",سبوع,سبع,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",808461,12991,6,2,6,4,1,0
week,semaine,أُسْبُوع,NOUN,ALG,Morocco+Algeria,سمانة,سمن,Morocco+Algeria,808461,68,6,1,4,2,0,1
week,semaine,أُسْبُوع,NOUN,"FES, RAB",Morocco+Algeria,سيمانة,سمن,Morocco+Algeria,808461,89,6,1,4,2,0,1
insurance,assurance,تَأْمِين,NOUN,"SFA, TUN",Tunisia+Libya,اسيرونس,سرنس,"Morocco+Algeria, Tunisia+Libya",443741,2,6,1,2,0,0,1
insurance,assurance,تَأْمِين,NOUN,"FES, RAB",Morocco+Algeria,اسرنس,سرنس,"Morocco+Algeria, Tunisia+Libya",443741,0,6,1,2,0,0,1
insurance,assurance,تَأْمِين,NOUN,"ALX, ASW, CAI",Egypt+Sudan,بوليصة,بلص,Egypt+Sudan,443741,19,6,1,3,1,0,0
insurance,assurance,تَأْمِين,NOUN,MUS,Qatar+Saudi+Oman+Yemen ,بيما,بم,Qatar+Saudi+Oman+Yemen,443741,222,6,1,2,2,0,0
insurance,assurance,تَأْمِين,NOUN,"ALE, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, MUS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen , Morocco+Algeria",تأمين,من,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",443741,781,6,6,6,3,1,0
insurance,assurance,تَأْمِين,NOUN,"SFA, TUN",Tunisia+Libya,سيقورطة,سقرط,Tunisia+Libya,443741,10,6,1,1,1,0,0
insurance,assurance,تَأْمِين,NOUN,"ALE, ALX, AMM, ASW, BAG, BAS, BEI, CAI, DAM, FES, JED, JER, MOS, RAB, RIY, SAL, SAN","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Iraq, Morocco+Algeria, Qatar+Saudi+Oman+Yemen ",ضمان,ضمن,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria",443741,399576,6,5,5,6,0,0
insurance,assurance,تَأْمِين,NOUN,"ALE, AMM, DAM, JER, SAL, SAN","Syria, Lebanon, Jordan, Palestine, Qatar+Saudi+Oman+Yemen ",ضمانة,ضمن,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria",443741,61,6,2,5,2,0,0
insurance,assurance,تَأْمِين,NOUN,ALG,Morocco+Algeria,لاصورونس,لصرنس,Morocco+Algeria,443741,0,6,1,1,0,0,0
month,mois,شَهْر,NOUN,"ALE, ALG, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, MUS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen ",شهر,شهر,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",3238529,678996,7,6,6,6,1,0
red,rouge,أَحْمَر,ADJ,"ALE, ALG, ALX, AMM, ASW, BAG, BAS, BEI, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, MUS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen , Tunisia+Libya",احمر,حمر,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",196592,255932,5,6,6,5,1,0
red,rouge,أَحْمَر,ADJ,"BAS, BEN","Iraq, Tunisia+Libya",حمر,حمر,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",196592,31060,5,2,6,4,1,0
red,rouge,أَحْمَر,ADJ,ALG,Morocco+Algeria,حمرة,حمر,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",196592,791,5,1,6,3,1,0
red,rouge,أَحْمَر,ADJ,"ALG, BEI, FES, RAB, SFA, TUN","Morocco+Algeria, Syria, Lebanon, Jordan, Palestine, Tunisia+Libya",روج,رج,"Jordan, Lebanon, Morocco+Algeria, Palestine, Syria, Tunisia+Libya",196592,23905,5,3,6,4,0,1
red,rouge,أَحْمَر,ADJ,"BEI, DAM","Syria, Lebanon, Jordan, Palestine",نبيتي,نب,"Jordan, Lebanon, Palestine, Syria",196592,488,5,1,2,3,0,0
red,rouge,أَحْمَر,ADJ,"ALE, DAM","Syria, Lebanon, Jordan, Palestine",نبيدي,نبد,"Jordan, Lebanon, Palestine, Syria",196592,1,5,1,1,0,0,0
red,rouge,أَحْمَر,ADJ,"ALX, ASW, CAI",Egypt+Sudan,وردي,رد,Egypt+Sudan,196592,42247,5,1,6,5,0,1
possible,possible,مُمْكِن,ADJ,"ALE, AMM, BEI, DAM, DOH, JER, KHA, SAL, SFA, TUN","Syria, Lebanon, Jordan, Palestine, Qatar+Saudi+Oman+Yemen , Egypt+Sudan, Tunisia+Libya",احتمال,حمل,"Egypt+Sudan, Jordan, Lebanon, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1227075,94114,6,4,6,5,0,0
possible,possible,مُمْكِن,ADJ,SAN,Qatar+Saudi+Oman+Yemen ,اسكه,سكه,Qatar+Saudi+Oman+Yemen,1227075,85,6,1,1,2,0,0
possible,possible,مُمْكِن,ADJ,"AMM, JER, SAL","Syria, Lebanon, Jordan, Palestine",بيجوز,بجز,"Jordan, Lebanon, Palestine, Syria",1227075,1058,6,1,1,3,0,0
possible,possible,مُمْكِن,ADJ,"ALE, DAM","Syria, Lebanon, Jordan, Palestine",بيصير,بصر,"Jordan, Lebanon, Palestine, Syria",1227075,71498,6,1,2,5,0,0
possible,possible,مُمْكِن,ADJ,ALG,Morocco+Algeria,بلاك,بلك,Morocco+Algeria,1227075,76303,6,1,5,5,0,0
possible,possible,مُمْكِن,ADJ,"FES, RAB",Morocco+Algeria,بوسيبل,بسبل,Morocco+Algeria,1227075,286,6,1,1,2,0,1
possible,possible,مُمْكِن,ADJ,"BAG, BAS, MOS",Iraq,جائز,جز,"Egypt+Sudan, Iraq, Jordan, Lebanon, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1227075,10748,6,1,6,4,0,0
possible,possible,مُمْكِن,ADJ,"ALE, ALX, ASW, BAS, BEI, CAI, DAM, DOH, JED, KHA, MUS, RIY, SAL, SAN, SFA, TUN","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen , Tunisia+Libya",جايز,جز,"Egypt+Sudan, Iraq, Jordan, Lebanon, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1227075,30954,6,5,6,4,0,0
possible,possible,مُمْكِن,ADJ,"ALX, ASW, CAI",Egypt+Sudan,مباح,بح,Egypt+Sudan,1227075,31874,6,1,2,5,0,0
possible,possible,مُمْكِن,ADJ,"ALE, ALX, AMM, ASW, CAI, DAM, JED, JER, RIY, SAL","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Qatar+Saudi+Oman+Yemen ",محتمل,حمل,"Egypt+Sudan, Jordan, Lebanon, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1227075,12689,6,3,6,4,0,0
possible,possible,مُمْكِن,ADJ,ALG,Morocco+Algeria,مسموح,سمح,Morocco+Algeria,1227075,62838,6,1,6,5,0,0
possible,possible,مُمْكِن,ADJ,"ALE, BEI, DAM, SFA, TUN","Syria, Lebanon, Jordan, Palestine, Tunisia+Libya",معقول,معقل,"Jordan, Lebanon, Palestine, Syria, Tunisia+Libya",1227075,98544,6,2,6,5,0,0
possible,possible,مُمْكِن,ADJ,"ALE, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen , Morocco+Algeria",ممكن,مكن,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1227075,1683114,6,6,6,6,1,0
possible,possible,مُمْكِن,ADJ,"ALE, BAG, BEI, DAM, KHA, MUS, SAL, SAN, SFA, TUN","Syria, Lebanon, Jordan, Palestine, Iraq, Egypt+Sudan, Qatar+Saudi+Oman+Yemen , Tunisia+Libya",وارد,رد,"Egypt+Sudan, Iraq, Jordan, Lebanon, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1227075,61034,6,5,6,5,0,0
possible,possible,مُمْكِن,ADJ,"BAG, BAS",Iraq,يجوز,جز,"Egypt+Sudan, Iraq, Jordan, Lebanon, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1227075,157736,6,1,6,5,0,0
possible,possible,مُمْكِن,ADJ,DOH,Qatar+Saudi+Oman+Yemen ,يصير,صر,Qatar+Saudi+Oman+Yemen,1227075,509724,6,1,6,6,0,0
possible,possible,مُمْكِن,ADJ,"AMM, BEN, JED, JER, RIY, SAL, TRI","Syria, Lebanon, Jordan, Palestine, Tunisia+Libya, Qatar+Saudi+Oman+Yemen ",يمكن,مكن,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1227075,1611631,6,3,6,6,0,0
museum,musée,مَتْحَف,NOUN,"ALX, ASW, CAI",Egypt+Sudan,انتيكخانة,نتكخن,Egypt+Sudan,243007,0,5,1,1,0,0,0
museum,musée,مَتْحَف,NOUN,"ALE, ALG, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, MUS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen ",متحف,تحف,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",243007,59890,5,6,6,5,1,0
museum,musée,مَتْحَف,NOUN,ALG,Morocco+Algeria,ميوزيه,مزه,Morocco+Algeria,243007,0,5,1,1,0,0,1
door,porte,باب,NOUN,"ALE, ALG, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, FES, JED, JER, KHA, MOS, MUS, RAB, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Morocco+Algeria, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen ",باب,بب,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1943312,1179708,6,6,6,6,1,0
door,porte,باب,NOUN,"ALX, AMM, ASW, CAI, JER, KHA, SAL","Egypt+Sudan, Syria, Lebanon, Jordan, Palestine",بوابة,بب,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",1943312,3066,6,2,6,3,1,0
door,porte,باب,NOUN,MUS,Qatar+Saudi+Oman+Yemen ,دروازة,درز,Qatar+Saudi+Oman+Yemen,1943312,27,6,1,1,1,0,0
tea,thé,شاي,NOUN,"FES, RAB",Morocco+Algeria,اتاي,ت,"Morocco+Algeria, Tunisia+Libya",95351,1059,5,1,6,3,0,1
tea,thé,شاي,NOUN,"SFA, TUN",Tunisia+Libya,تاي,ت,"Morocco+Algeria, Tunisia+Libya",95351,13029,5,1,6,4,0,1
tea,thé,شاي,NOUN,"ALE, ALX, AMM, ASW, BAG, BAS, BEI, CAI, DAM, DOH, JED, JER, KHA, MOS, MUS, RIY, SAL","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Iraq, Qatar+Saudi+Oman+Yemen ",شاي,ش,"Egypt+Sudan, Iraq, Jordan, Lebanon, Palestine, Qatar+Saudi+Oman+Yemen, Syria",95351,75905,5,4,6,5,1,0
tea,thé,شاي,NOUN,"BEN, DOH, JED, MUS, SAN, TRI","Tunisia+Libya, Qatar+Saudi+Oman+Yemen ",شاهي,شه,"Qatar+Saudi+Oman+Yemen, Tunisia+Libya",95351,62424,5,2,4,5,0,0
tea,thé,شاي,NOUN,ALG,Morocco+Algeria,لتاي,لت,Morocco+Algeria,95351,115,5,1,1,2,0,0
white,blanc,أَبْيَض,ADJ,"ALE, ALX, AMM, ASW, BAG, BAS, BEI, BEN, CAI, DAM, DOH, JED, JER, KHA, MOS, MUS, RIY, SAL, SAN, SFA, TRI, TUN","Syria, Lebanon, Jordan, Palestine, Egypt+Sudan, Iraq, Tunisia+Libya, Qatar+Saudi+Oman+Yemen ",ابيض,بض,"Egypt+Sudan, Iraq, Jordan, Lebanon, Morocco+Algeria, Palestine, Qatar+Saudi+Oman+Yemen, Syria, Tunisia+Libya",172105,262393,5,5,6,5,1,0
white,blanc,أَبْيَض,ADJ,"BAG, BAS",Iraq,ابيضاني,بضن,Iraq,172105,202,5,1,1,2,0,0
